,biomass,gas,hard_coal,nuclear,other_fossil,solar,wind_offshore,wind_onshore,BE -> NL,DE -> NL,GB -> NL,NO -> NL,demand,NL -> BE,NL -> DE,NL -> GB,NL -> NO,mismatch
975,43.0,6743.0,0.0,545.0,0.0,153.0,751.0,873.0,0.0,1024.15,0.0,706.37,14134.0,1167.88,0.0,1042.8,0.0,-5506.16
976,46.0,6780.0,0.0,544.0,0.0,30.0,802.0,1160.0,0.0,1532.77,0.0,706.38,14895.0,1384.39,0.0,1014.63,0.0,-5692.870000000001
977,47.0,6661.0,0.0,544.0,0.0,0.0,807.0,1493.0,0.0,1936.09,0.0,705.8,15363.0,2191.59,0.0,1039.05,0.0,-6399.750000000001
978,47.0,6517.0,0.0,544.0,0.0,0.0,811.0,1882.0,0.0,1992.81,0.0,694.0,14935.0,2336.11,0.0,996.53,0.0,-5779.830000000001
979,44.0,4502.0,0.0,544.0,0.0,0.0,816.0,2170.0,0.0,1899.17,0.0,594.5,14357.0,1852.0,0.0,1018.0,0.0,-6657.33
980,35.0,3109.0,0.0,545.0,0.0,0.0,815.0,2360.0,0.0,1660.49,0.0,698.32,13669.0,1598.09,0.0,1021.37,0.0,-7065.650000000001
981,39.0,2715.0,0.0,545.0,0.0,0.0,816.0,2387.0,0.0,1987.41,0.0,414.61,13050.0,1817.15,0.0,1023.6,0.0,-6986.73
982,39.0,2498.0,0.0,545.0,0.0,0.0,816.0,2496.0,0.0,1698.12,0.0,6.97,12393.0,1195.23,0.0,999.17,0.0,-6488.3099999999995
983,39.0,1836.0,0.0,545.0,0.0,0.0,812.0,2611.0,0.0,1765.49,0.0,0.0,11880.0,1201.58,0.0,875.1,237.97,-6586.16
984,36.0,1638.0,0.0,545.0,0.0,0.0,816.0,2648.0,0.0,1942.83,0.0,0.0,11452.0,1352.36,0.0,785.25,399.59,-6363.37
985,37.0,1628.0,0.0,544.0,0.0,0.0,816.0,2732.0,0.0,1950.66,0.0,0.0,11171.0,1333.88,0.0,792.93,593.68,-6183.83
986,43.0,1658.0,0.0,545.0,0.0,0.0,816.0,2749.0,0.0,1901.09,0.0,0.0,11054.0,1425.89,0.0,808.24,627.66,-6203.7
987,44.0,1660.0,0.0,544.0,0.0,0.0,815.0,2744.0,0.0,1755.28,0.0,0.0,11007.0,1473.02,0.0,749.8,578.98,-6246.52
988,45.0,1606.0,0.0,545.0,0.0,0.0,815.0,2760.0,0.0,1724.02,0.0,0.0,11096.0,1111.32,0.0,749.32,722.4,-6184.0199999999995
989,44.0,1665.0,0.0,545.0,0.0,0.0,815.0,2709.0,0.0,1590.24,0.0,0.0,11388.0,872.52,0.0,748.57,534.76,-6175.610000000001
990,43.0,1696.0,0.0,545.0,0.0,54.0,815.0,2608.0,0.0,1802.35,0.0,0.0,11875.0,314.71,0.0,797.39,720.08,-6143.83
991,40.0,1805.0,0.0,545.0,0.0,229.0,814.0,2474.0,0.0,1451.77,0.0,0.0,12503.0,345.84,0.0,764.52,444.79,-6699.379999999999
992,45.0,1768.0,0.0,545.0,0.0,440.0,766.0,2518.0,0.0,1381.53,0.0,123.08,13103.0,807.16,0.0,776.22,0.0,-7099.77
993,46.0,1765.0,0.0,545.0,0.0,648.0,718.0,2590.0,0.0,1557.89,0.0,454.33,13384.0,1138.39,0.0,890.21,0.0,-7088.380000000001
994,45.0,1752.0,0.0,545.0,0.0,864.0,713.0,2678.0,0.0,1307.78,0.0,654.06,13499.0,1036.02,0.0,1022.44,0.0,-6998.62
995,45.0,1736.0,0.0,545.0,0.0,989.0,736.0,2716.0,0.0,1298.26,0.0,664.3,13500.0,1013.52,0.0,1022.22,0.0,-6806.18
996,44.0,1664.0,0.0,545.0,0.0,1026.0,749.0,2715.0,0.0,892.3,0.0,459.02,13257.0,424.67,0.0,1022.38,0.0,-6609.7300000000005
997,44.0,1662.0,0.0,545.0,0.0,853.0,806.0,2660.0,0.0,938.93,0.0,313.61,13144.0,287.97,0.0,1022.47,0.0,-6631.9
998,44.0,1699.0,0.0,545.0,0.0,474.0,811.0,2542.0,0.0,966.64,0.0,674.44,13263.0,538.07,0.0,1022.25,0.0,-7067.24
999,38.0,1806.0,0.0,545.0,0.0,150.0,812.0,2280.0,0.0,1282.01,0.0,689.33,13574.0,847.14,0.0,1024.03,0.0,-7842.83
1000,37.0,2227.0,0.0,545.0,0.0,25.0,807.0,2046.0,0.0,1835.65,0.0,705.67,14388.0,1217.38,0.0,877.09,0.0,-8254.150000000001
1001,44.0,3048.0,0.0,545.0,0.0,0.0,811.0,1639.0,0.0,2276.34,0.0,705.65,15029.0,1780.8,0.0,999.36,0.0,-8740.17
1002,47.0,3165.0,0.0,545.0,0.0,0.0,812.0,1544.0,0.0,2279.74,0.0,705.68,14768.0,1987.03,0.0,953.33,0.0,-8609.94
1003,48.0,3056.0,0.0,545.0,0.0,0.0,812.0,1478.0,0.0,2034.62,0.0,705.79,14208.0,1667.48,0.0,1028.93,0.0,-8225.0
1004,47.0,2798.0,0.0,546.0,0.0,0.0,812.0,1518.0,0.0,1851.96,0.0,705.69,13562.0,1388.73,0.0,1033.31,0.0,-7705.39
1005,45.0,2214.0,0.0,545.0,0.0,0.0,771.0,1697.0,0.0,1845.21,0.0,705.03,12896.0,1189.23,0.0,1027.92,0.0,-7290.91
1006,42.0,1744.0,0.0,546.0,0.0,0.0,802.0,1523.0,0.0,1766.46,0.0,669.49,12216.0,1255.17,0.0,1043.35,0.0,-7421.57
1007,46.0,1704.0,0.0,546.0,0.0,0.0,810.0,1507.0,0.0,1300.02,0.0,695.7,11754.0,1243.36,0.0,862.77,0.0,-7251.41
1008,47.0,1735.0,0.0,546.0,0.0,0.0,811.0,1089.0,0.0,1050.83,0.0,705.62,11394.0,971.14,0.0,870.57,0.0,-7251.26
1009,46.0,1609.0,0.0,545.0,0.0,0.0,808.0,1567.0,0.0,829.31,0.0,706.26,11262.0,1020.14,0.0,877.08,0.0,-7048.650000000001
1010,47.0,1690.0,0.0,546.0,0.0,0.0,806.0,1628.0,0.0,724.28,0.0,704.4,11233.0,743.34,0.0,874.4,0.0,-6705.0599999999995
1011,47.0,1892.0,0.0,545.0,0.0,0.0,759.0,1808.0,0.0,746.87,0.0,614.79,11382.0,731.21,0.0,855.4,0.0,-6555.950000000001
1012,46.0,2419.0,0.0,545.0,0.0,0.0,793.0,1302.0,0.0,1111.5,0.0,704.05,11873.0,1090.33,0.0,841.03,0.0,-6883.8099999999995
1013,41.0,3431.0,0.0,545.0,0.0,0.0,782.0,1349.0,0.0,1699.92,0.0,706.11,13186.0,1514.34,0.0,866.5,0.0,-7012.8099999999995
1014,42.0,5650.0,0.0,545.0,0.0,62.0,786.0,1478.0,0.0,2372.83,0.0,706.19,15111.0,2295.26,0.0,1015.91,0.0,-6780.15
1015,45.0,7023.0,0.0,545.0,0.0,376.0,786.0,1391.0,0.0,2090.2,0.0,706.23,16109.0,2083.49,0.0,876.19,0.0,-6106.25
1016,41.0,6892.0,0.0,545.0,0.0,770.0,786.0,1548.0,0.0,2213.5,0.0,706.36,16337.0,1838.47,0.0,1017.4,0.0,-5691.009999999999
1017,43.0,6733.0,0.0,545.0,0.0,852.0,732.0,1232.0,0.0,1932.08,0.0,706.29,15977.0,1594.78,0.0,1020.71,0.0,-5817.120000000001
1018,41.0,6619.0,0.0,545.0,0.0,880.0,738.0,1186.0,0.0,1983.26,0.0,705.68,15712.0,1720.17,0.0,1042.71,0.0,-5776.94
1019,38.0,6114.0,0.0,545.0,0.0,890.0,649.0,1274.0,0.0,1919.63,0.0,704.54,15631.0,1691.7,0.0,1041.94,0.0,-6230.47
1020,46.0,6146.0,0.0,545.0,0.0,852.0,706.0,1263.0,0.0,1964.68,0.0,646.39,15628.0,1710.29,0.0,1043.84,0.0,-6213.06
1021,45.0,6848.0,0.0,545.0,0.0,696.0,685.0,1287.0,0.0,1762.42,0.0,704.91,15512.0,1921.64,0.0,1044.32,0.0,-5904.63
1022,42.0,6897.0,0.0,545.0,0.0,435.0,591.0,1388.0,0.0,1435.98,0.0,706.35,15587.0,1751.57,0.0,991.14,0.0,-6289.38
1023,41.0,7087.0,0.0,545.0,0.0,180.0,560.0,1155.0,0.0,1505.95,0.0,706.37,15920.0,1605.9,0.0,890.97,0.0,-6636.55
1024,42.0,7133.0,0.0,545.0,0.0,44.0,565.0,1114.0,0.0,1812.5,0.0,706.37,16404.0,1581.36,0.0,816.31,0.0,-6839.800000000001
1025,42.0,7157.0,0.0,545.0,0.0,0.0,531.0,962.0,0.0,2194.19,0.0,706.38,16668.0,2030.97,0.0,972.77,0.0,-7534.17
1026,43.0,6875.0,0.0,545.0,0.0,0.0,606.0,983.0,0.0,2385.35,0.0,706.36,16314.0,2175.2,0.0,992.57,0.0,-7338.060000000001
1027,43.0,6741.0,0.0,545.0,0.0,0.0,607.0,1152.0,0.0,1764.07,0.0,706.36,15585.0,2131.1,0.0,1011.43,0.0,-7169.099999999999
1028,44.0,5830.0,0.0,545.0,0.0,0.0,489.0,1281.0,0.0,2054.23,0.0,706.38,14726.0,2069.92,0.0,999.57,0.0,-6845.879999999999
1029,44.0,4863.0,0.0,546.0,0.0,0.0,639.0,1306.0,0.0,2406.63,0.0,703.08,13757.0,2757.28,0.0,1014.57,0.0,-7021.140000000001
1030,43.0,4218.0,0.0,546.0,0.0,0.0,599.0,1449.0,0.0,2198.56,0.0,541.33,12905.0,2640.25,0.0,1032.38,0.0,-6982.740000000001
1031,43.0,4837.0,0.0,546.0,0.0,0.0,566.0,1409.0,0.0,1584.79,0.0,702.46,12193.0,2907.49,0.0,1044.39,0.0,-6456.63
1032,44.0,4365.0,0.0,546.0,0.0,0.0,652.0,1260.0,0.0,1349.16,0.0,706.37,11781.0,2642.75,0.0,991.53,0.0,-6492.749999999999
1033,42.0,3995.0,0.0,546.0,0.0,0.0,650.0,1253.0,0.0,1225.19,0.0,706.37,11562.0,2560.86,0.0,975.77,0.0,-6681.070000000001
1034,42.0,3843.0,0.0,546.0,0.0,0.0,568.0,1030.0,0.0,1197.95,0.0,706.38,11483.0,2347.25,0.0,963.15,0.0,-6860.07
1035,40.0,3777.0,0.0,546.0,0.0,0.0,620.0,987.0,0.0,1274.63,0.0,698.35,11579.0,2150.72,0.0,978.66,0.0,-6765.4
1036,34.0,4312.0,0.0,546.0,0.0,67.0,668.0,1128.0,0.0,1525.55,0.0,372.6,12043.0,2348.6,0.0,864.29,0.0,-6602.74
1037,33.0,6780.0,0.0,545.0,0.0,521.0,696.0,1174.0,0.0,975.23,0.0,695.15,13405.0,2581.87,0.0,975.22,0.0,-5542.709999999999
1038,0.0,16.0,3.0,0.0,101.0,1222.0,702.0,1187.0,0.0,1459.08,0.0,614.96,15361.0,2291.89,0.0,931.16,0.0,-13279.009999999998
1039,0.0,7257.0,0.0,545.0,0.0,1524.0,712.0,1167.0,0.0,1455.13,0.0,209.92,16273.0,2246.88,0.0,2.21,0.0,-5652.040000000001
1040,0.0,7287.0,0.0,545.0,0.0,1658.0,666.0,1142.0,0.0,1981.0,0.0,222.51,16365.0,2336.77,0.0,491.06,0.0,-5691.32
1041,0.0,7210.0,0.0,546.0,0.0,1595.0,695.0,1061.0,0.0,1754.8,0.0,279.86,15903.0,2091.72,0.0,1037.59,0.0,-5890.65
1042,0.0,9.0,3.0,0.0,103.0,1420.0,736.0,1077.0,0.0,1722.0,0.0,0.0,15477.0,2045.91,0.0,1031.0,95.0,-13578.91
1043,36.0,6506.0,0.0,546.0,0.0,1114.0,731.0,1292.0,0.0,1464.0,0.0,0.0,15077.0,1737.56,0.0,1056.0,141.0,-6322.5599999999995
1044,39.0,6667.0,0.0,546.0,0.0,689.0,737.0,1555.0,0.0,956.88,0.0,247.05,14902.0,2005.71,0.0,1049.58,0.0,-6520.36
1045,35.0,6985.0,0.0,546.0,0.0,280.0,743.0,1588.0,0.0,163.07,0.0,604.61,15014.0,1982.84,0.0,998.16,0.0,-7050.32
1046,32.0,7073.0,0.0,546.0,0.0,63.0,741.0,1508.0,0.0,0.0,0.0,704.05,15305.0,1497.41,68.89,1005.67,0.0,-7209.920000000001
1047,30.0,7301.0,0.0,546.0,0.0,0.0,703.0,1222.0,0.0,188.09,0.0,698.54,15791.0,1243.77,0.0,1011.71,0.0,-7357.85
1048,33.0,7236.0,0.0,546.0,0.0,0.0,684.0,1202.0,0.0,435.89,0.0,380.16,16461.0,1218.52,0.0,440.84,0.0,-7603.31
1049,32.0,7303.0,0.0,545.0,0.0,0.0,620.0,1205.0,0.0,1164.55,0.0,456.46,16774.0,1600.13,0.0,1027.02,0.0,-8075.139999999999
1050,32.0,7235.0,0.0,546.0,0.0,0.0,690.0,1386.0,0.0,1702.83,0.0,700.0,16435.0,2183.99,0.0,1049.8,0.0,-7376.96
1051,33.0,7071.0,0.0,545.0,0.0,0.0,752.0,1464.0,0.0,1612.2,0.0,705.67,15751.0,1899.37,0.0,1020.61,0.0,-6488.110000000001
1052,38.0,6147.0,0.0,546.0,0.0,0.0,754.0,1356.0,0.0,1967.98,0.0,705.67,14925.0,1969.67,0.0,1041.12,0.0,-6421.14
1053,0.0,31.0,3.0,0.0,95.0,0.0,740.0,1381.0,0.0,2137.06,0.0,705.74,13940.0,2322.43,0.0,1033.37,0.0,-12203.0
1054,0.0,3944.0,0.0,546.0,0.0,0.0,727.0,1281.0,0.0,2085.55,0.0,706.22,13072.0,2639.62,0.0,1021.68,0.0,-7443.529999999999
1055,0.0,3348.0,0.0,546.0,0.0,0.0,722.0,1156.0,0.0,2226.33,0.0,706.17,12359.0,2732.24,0.0,1031.83,0.0,-7418.57
1056,0.0,3302.0,0.0,546.0,0.0,0.0,713.0,1089.0,0.0,1864.41,0.0,706.03,11941.0,2623.15,0.0,1031.94,0.0,-7375.65
1057,0.0,3822.0,0.0,546.0,0.0,0.0,676.0,1014.0,0.0,1488.94,0.0,705.89,11723.0,2713.35,0.0,1000.09,0.0,-7183.610000000001
1058,0.0,3838.0,0.0,546.0,0.0,0.0,630.0,943.0,0.0,1648.97,0.0,681.86,11662.0,2732.64,0.0,1005.83,0.0,-7112.639999999999
1059,0.0,3873.0,0.0,546.0,0.0,0.0,647.0,962.0,0.0,1594.9,0.0,705.16,11729.0,2699.41,0.0,1013.53,0.0,-7113.88
1060,0.0,3900.0,0.0,546.0,0.0,82.0,665.0,1115.0,0.0,1905.29,0.0,705.68,12168.0,2790.5,0.0,1000.17,0.0,-7039.700000000001
1061,0.0,5637.0,0.0,546.0,0.0,561.0,637.0,1114.0,0.0,1597.95,0.0,705.74,13549.0,2374.69,0.0,910.66,0.0,-6035.66
1062,0.0,6973.0,0.0,545.0,0.0,1264.0,664.0,1140.0,0.0,1579.78,0.0,703.58,15579.0,2226.87,0.0,1.06,0.0,-4937.57
1063,0.0,7098.0,0.0,545.0,0.0,1572.0,683.0,1239.0,0.0,2267.07,0.0,705.73,16552.0,2223.54,0.0,105.14,0.0,-4770.880000000001
1064,0.0,7240.0,0.0,545.0,0.0,1714.0,639.0,1122.0,0.0,2976.75,0.0,705.65,16642.0,2524.22,0.0,591.71,0.0,-4815.530000000001
1065,0.0,7289.0,0.0,546.0,0.0,1628.0,683.0,1050.0,0.0,2789.08,0.0,705.67,16179.0,2563.84,0.0,1022.82,0.0,-5074.91
1066,24.0,6938.0,0.0,545.0,0.0,1370.0,704.0,1079.0,0.0,2836.26,0.0,706.18,15751.0,2763.95,0.0,1023.13,0.0,-5335.639999999999
