,biomass,gas,hydro,other_fossil,solar,wind_onshore,LV -> LT,PL -> LT,SE -> LT,demand,LT -> LV,LT -> PL,LT -> SE,mismatch
49,50.51,46.12,105.46,40.7,0.0,39.75,565.0,0.0,2.8,1028.0,0.0,46.54,0.0,-224.20000000000007
50,50.62,46.13,105.46,22.63,0.0,40.21,556.5,0.0,4.0,1036.0,0.0,0.0,0.0,-210.45000000000005
51,51.3,45.96,105.48,20.95,0.0,40.55,545.5,0.0,4.9,1096.0,0.0,1.83,0.0,-283.19
52,51.98,45.88,105.5,20.47,0.0,50.72,602.5,0.0,122.5,1291.0,0.0,125.91,0.0,-417.36
53,52.07,45.89,105.46,20.44,0.0,60.67,587.0,0.0,642.3,1504.0,0.0,485.07,0.0,-475.24000000000007
54,52.0,45.93,176.81,19.97,0.0,68.01,517.5,0.0,730.0,1648.0,0.0,486.56,0.0,-524.3399999999999
55,52.0,45.89,105.5,19.8,1.14,81.68,599.5,0.0,730.6,1698.0,0.0,486.51,0.0,-548.4000000000001
56,52.0,45.72,105.46,19.41,2.24,101.5,561.0,0.0,730.4,1718.0,0.0,486.68,0.0,-586.95
57,51.9,45.72,105.47,19.8,2.74,110.59,613.0,0.0,656.3,1729.0,0.0,486.97,0.0,-610.45
58,51.9,45.73,201.65,20.23,2.39,124.48,493.0,0.0,728.4,1717.0,0.0,486.94,0.0,-536.1599999999999
59,51.85,45.69,194.63,20.14,1.96,150.37,535.0,0.0,647.6,1734.0,0.0,486.96,0.0,-573.7200000000003
60,51.81,45.62,201.65,20.23,1.24,192.6,489.0,0.0,682.3,1726.0,0.0,486.96,0.0,-528.51
61,51.89,45.56,233.53,20.24,0.02,198.12,449.0,0.0,663.0,1727.0,0.0,486.16,0.0,-551.8
62,51.81,45.54,217.02,20.28,0.0,240.57,506.5,0.0,570.1,1766.0,0.0,486.84,0.0,-601.02
63,51.47,45.55,105.9,20.34,0.0,302.93,573.0,0.0,523.9,1769.0,0.0,487.14,0.0,-633.0499999999998
