,hydro,nuclear,solar,wind_onshore,AT -> CH,DE -> CH,FR -> CH,IT -> CH,demand,CH -> AT,CH -> DE,CH -> FR,CH -> IT,mismatch
40,1580.48,2815.0,0.26,10.8,942.49,3104.25,1408.11,0.0,7545.0,0.0,0.0,0.0,3627.0,-1310.6100000000006
41,1597.51,2818.4,0.25,13.28,1077.5,3268.22,1153.39,0.0,7636.0,0.0,0.0,0.0,3895.0,-1602.4500000000007
42,911.68,2818.9,0.25,23.1,893.06,3421.0,1836.63,0.0,7441.0,0.0,0.0,0.0,3563.0,-1099.380000000001
43,720.56,2819.8,0.25,23.58,844.04,3953.95,1975.09,0.0,7117.0,0.0,0.0,0.0,3794.0,-573.7299999999996
44,564.78,2819.0,0.25,21.59,859.65,3759.87,2326.88,0.0,7120.0,0.0,0.0,0.0,3815.0,-582.9799999999996
45,578.13,2821.1,0.25,24.43,661.55,3995.11,2318.16,0.0,7288.0,0.0,0.0,0.0,3546.0,-435.27000000000044
46,494.76,2824.8,0.25,24.27,713.32,4267.32,1996.95,0.0,7292.0,0.0,0.0,0.0,3390.0,-360.3299999999999
47,437.64,2824.9,0.25,25.98,657.2,3329.24,2159.01,0.0,7247.0,0.0,0.0,0.0,2906.0,-718.7800000000007
48,424.13,2823.2,0.25,27.33,497.83,3082.14,2171.59,0.0,7124.0,0.0,0.0,0.0,2596.0,-693.5300000000007
49,448.58,2822.8,0.24,27.12,603.75,3318.55,1933.24,0.0,7043.0,0.0,0.0,0.0,2801.0,-689.7200000000012
50,410.21,2820.1,0.23,27.81,575.98,3420.28,1908.51,0.0,7069.0,0.0,0.0,0.0,2817.0,-722.8799999999992
51,412.4,2817.7,0.23,26.14,410.33,3188.97,1974.41,0.0,6937.0,0.0,0.0,0.0,2622.0,-728.8199999999997
52,452.01,2813.1,0.14,26.55,520.37,3058.8,1744.72,0.0,7044.0,0.0,0.0,0.0,2410.0,-838.3099999999995
53,588.3,2804.1,0.11,27.12,444.64,2986.29,1724.65,0.0,6818.0,0.0,0.0,0.0,2611.0,-853.7900000000009
54,1096.71,2796.3,0.21,27.21,395.45,3386.81,1454.13,0.0,7061.0,0.0,0.0,0.0,2877.0,-781.1800000000003
55,1775.66,2793.1,1.38,23.4,226.78,3088.24,1307.44,0.0,7460.0,0.0,0.0,0.0,3162.0,-1406.0
56,1530.78,2749.0,8.29,16.73,152.97,2935.62,1564.33,0.0,7613.0,0.0,0.0,0.0,2506.0,-1161.2800000000007
57,1150.86,2753.2,11.15,12.94,146.85,3426.02,1781.32,0.0,7849.0,0.0,0.0,0.0,2495.0,-1061.6599999999999
58,1054.13,2789.6,21.22,12.4,208.42,3551.21,2113.65,0.0,7931.0,0.0,0.0,0.0,2687.0,-867.369999999999
59,1306.41,2811.7,12.78,12.06,167.53,3458.34,1944.75,0.0,8087.0,0.0,0.0,0.0,2275.0,-648.4300000000003
60,1140.03,2821.1,15.69,17.31,222.08,3272.09,1939.0,0.0,8000.0,0.0,0.0,0.0,2141.0,-713.7000000000007
61,1135.56,2813.7,19.25,19.37,229.59,3287.36,1831.62,0.0,7938.0,0.0,0.0,0.0,2429.0,-1030.550000000001
62,1206.03,2638.7,15.56,21.27,308.01,3372.92,1980.66,0.0,7739.0,0.0,0.0,0.0,2836.0,-1031.8500000000004
63,1171.86,2814.4,2.52,26.56,192.81,3245.07,2183.11,0.0,7857.0,0.0,0.0,0.0,2924.0,-1144.67
64,1736.76,2814.9,0.25,28.32,0.0,3113.48,1869.84,0.0,8198.0,8.87,0.0,0.0,2904.0,-1547.3200000000006
65,1935.26,2817.1,0.25,21.76,32.18,2704.69,1637.38,0.0,8193.0,0.0,0.0,0.0,2809.0,-1853.380000000001
66,1653.16,2350.8,0.19,23.2,252.65,3073.18,1555.57,0.0,7883.0,0.0,0.0,0.0,2952.0,-1926.25
67,1120.13,2325.7,0.15,23.82,378.92,3274.16,1624.32,0.0,7423.0,0.0,0.0,0.0,2896.0,-1571.7999999999993
68,842.4,2373.7,0.14,22.36,560.45,3218.04,1646.01,0.0,7038.0,0.0,0.0,0.0,2897.0,-1271.8999999999996
69,679.74,2324.5,0.14,22.13,634.94,3234.92,1325.93,0.0,7208.0,0.0,0.0,0.0,2536.0,-1521.7000000000007
70,474.41,2817.6,0.14,21.72,938.56,3832.67,891.29,0.0,7293.0,0.0,0.0,0.0,2661.0,-977.6100000000006
71,372.11,2816.5,0.01,5.27,1091.68,3824.99,1098.47,0.0,7976.0,0.0,0.0,0.0,2405.0,-1171.9699999999993
72,382.48,2818.5,0.03,5.06,1186.8,3981.2,911.3,0.0,7903.0,0.0,0.0,0.0,2519.0,-1136.6299999999992
73,409.71,2821.2,0.01,4.26,1294.84,4117.47,777.61,0.0,7892.0,0.0,0.0,0.0,2675.0,-1141.8999999999996
74,407.73,2820.9,0.02,3.45,1065.33,3853.54,1191.85,0.0,7808.0,0.0,0.0,0.0,2649.0,-1114.1800000000003
75,394.18,2821.5,0.02,4.2,1023.21,3306.52,1512.98,0.0,7703.0,0.0,0.0,0.0,2584.0,-1224.3900000000012
76,441.15,2820.9,0.01,4.57,811.57,2741.3,1918.58,0.0,7860.0,0.0,0.0,0.0,2004.0,-1125.9199999999983
77,673.73,2819.7,0.02,4.53,570.99,2512.23,2123.17,0.0,7548.0,0.0,0.0,0.0,2079.0,-922.6299999999992
78,942.38,2818.6,0.01,3.89,684.54,3128.58,1515.6,0.0,7376.0,0.0,0.0,0.0,2869.0,-1151.4000000000015
79,1448.06,2817.0,0.12,2.87,810.9,3131.41,1096.41,0.0,7787.0,0.0,0.0,0.0,2952.0,-1432.2299999999996
80,1686.44,2817.5,1.24,2.82,827.04,2878.12,1105.63,0.0,8017.0,0.0,0.0,0.0,2807.0,-1505.2099999999991
81,1359.69,2817.3,3.1,2.81,812.7,2789.89,1539.56,0.0,8208.0,0.0,0.0,0.0,2505.0,-1387.9500000000007
