,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,DE -> DK,NO -> DK,SE -> DK,demand,DK -> DE,DK -> NO,DK -> SE,mismatch
2416,482.96,395.36,743.04,184.72,151.77,1052.91,2469.79,0.0,0.0,0.0,4402.7,36.85000000000002,474.81,482.61,83.58000000000038
2417,483.2,389.2,983.5,187.4,39.93,1098.2,2141.32,0.0,0.0,0.0,4199.3,233.53,418.43,496.21,-24.720000000000255
2418,479.98,367.68,1160.49,177.86,1.62,1109.68,2036.74,0.0,0.0,0.0,4153.0,81.38999999999999,954.56,338.17,-193.0699999999997
2419,482.0,395.0,1123.0,181.0,0.01,1098.11,2138.1,219.39,0.0,0.0,4004.6,0.0,1242.09,319.96,69.95999999999981
2420,484.0,335.0,898.0,182.0,0.01,1077.47,2081.74,124.49,0.0,0.0,3669.5,0.0,1302.04,215.5,-4.330000000000837
2421,480.0,294.0,692.0,175.0,0.0,1075.21,2040.85,0.0,0.0,42.84,3362.1,85.50999999999999,1262.79,0.0,89.49999999999977
2422,487.0,209.0,467.0,170.0,0.0,1086.37,2088.75,0.0,0.0,157.07,3162.8,294.51,1304.44,0.0,-96.56000000000063
2423,487.0,186.0,465.0,157.0,0.0,1117.3,2110.79,0.0,0.0,105.06,3069.1,374.36,1265.66,0.0,-80.96999999999935
2424,486.0,194.0,472.0,161.0,0.0,1127.22,2160.85,0.0,0.0,0.0,3032.8,210.49,1274.42,131.89,-48.530000000000655
2425,487.0,202.0,468.0,160.0,0.0,1129.29,2245.39,0.0,0.0,0.0,3059.9,198.29,1350.94,11.889999999999995,70.66000000000008
2426,481.0,192.0,465.0,158.0,0.03,1101.35,2336.91,353.76,0.0,0.0,3144.7,0.0,1249.22,544.8,149.33000000000038
2427,480.0,203.0,569.0,163.0,0.13,1092.13,2367.22,0.0,0.0,0.0,3405.4,201.02,778.05,409.38,80.62999999999965
2428,496.96,269.36,911.97,168.72,1.44,1124.24,2415.09,105.26999999999998,0.0,0.0,3940.5,0.0,328.26,684.0,540.2900000000011
2429,502.4,314.4,888.63,176.8,29.62,1119.2,2492.52,0.0,0.0,0.0,4556.3,99.68999999999996,520.51,545.3,-198.23000000000047
2430,498.78,345.48,1014.04,178.46,110.59,1106.0,2608.07,125.76,0.0,0.0,4719.9,0.0,595.78,603.0,68.50000000000068
2431,466.3,310.8,776.29,188.1,234.43,1084.19,2705.36,132.99,0.0,0.0,4718.8,0.0,707.16,592.9,-120.400000000001
2432,461.54,255.64,759.44,180.78,373.65,1107.27,2718.5,0.0,0.0,0.0,4755.8,21.710000000000008,741.01,631.2,-292.90000000000055
2433,436.74,239.84,672.6,174.18,513.66,1127.81,2893.69,0.0,0.0,0.0,4686.3,33.41,819.36,775.0,-255.54999999999973
2434,412.58,250.28,580.94,175.06,570.66,1136.6,3059.58,391.14,0.0,0.0,4586.3,0.0,1203.22,778.3,9.019999999999982
2435,382.48,239.68,476.14,177.36,676.67,1125.27,3100.79,179.23,0.0,0.0,4578.0,0.0,1334.01,673.6,-227.99000000000024
2436,492.24,252.84,475.62,173.68,638.06,1110.86,3165.03,0.0,0.0,0.0,4463.1,638.7099999999999,867.27,500.9500000000001,-161.7000000000005
2437,495.84,308.44,493.25,175.88,507.82,1129.25,3204.54,0.0,0.0,0.0,4304.1,601.0400000000001,881.39,445.7,82.78999999999905
2438,482.64,309.24,505.11,176.48,367.23,1141.81,3224.21,0.0,0.0,0.0,4277.2,561.8399999999999,1000.46,97.53000000000004,269.6900000000005
2439,461.46,296.36,728.56,189.22,227.29,1151.76,3148.85,0.0,0.0,0.0,4487.1,646.64,881.32,187.74,0.6999999999995907
2440,458.98,288.68,927.21,191.86,101.34,1159.25,3127.31,0.0,0.0,0.0,4452.0,238.66,459.14,676.9699999999999,427.8599999999992
2441,459.4,244.4,761.62,177.8,30.17,1138.97,3004.02,0.0,0.0,0.0,4472.3,172.97000000000003,656.47,644.57,-129.9300000000003
2442,457.98,264.68,715.49,175.86,1.33,1154.0,3009.65,0.0,0.0,0.0,4258.3,384.76,1293.46,487.6700000000001,-645.2000000000007
2443,462.0,250.0,1103.0,176.0,0.02,1160.74,3048.62,0.0,0.0,0.0,4043.1,913.56,1247.41,175.5,-179.19000000000005
2444,458.0,213.0,943.0,176.0,0.01,1162.43,3070.91,0.0,0.0,0.0,3699.4,726.7,1350.81,275.3,-28.860000000000127
2445,455.0,192.0,682.0,171.0,0.0,1165.09,3093.16,0.0,0.0,0.0,3410.8,741.47,1322.04,288.2,-4.260000000000218
2446,460.0,176.0,582.0,160.0,0.0,1165.22,3045.39,0.0,0.0,0.0,3230.3,757.3,1347.64,257.6,-4.229999999999563
2447,457.0,172.0,559.0,156.0,0.0,1160.74,3015.11,0.0,0.0,0.0,3158.5,731.67,1334.83,295.0,-0.1499999999996362
2448,456.0,172.0,547.0,156.0,0.0,1157.73,2956.39,0.0,0.0,0.0,3093.5,851.03,1330.71,338.1,-168.2199999999998
2449,461.0,171.0,694.0,158.0,0.0,1161.61,2929.33,0.0,0.0,0.0,3053.2,891.78,1228.92,337.12,63.92000000000007
2450,454.0,188.0,746.0,164.0,0.01,1156.19,2938.73,0.0,0.0,0.0,3124.2,1190.41,1166.03,50.22,116.07000000000062
2451,457.0,237.0,910.0,169.0,0.04,1149.93,2943.93,0.0,0.0,0.0,3356.4,1583.97,618.67,127.08,180.77999999999975
2452,453.9,306.4,1347.42,169.3,4.38,1099.97,2899.41,0.0,0.0,0.0,3878.7,1596.84,109.54,340.65,355.0500000000011
2453,455.14,381.24,1473.88,169.98,43.17,1113.13,2893.8,0.0,0.0,0.0,4451.2,1234.64,49.33,594.79,200.38000000000034
2454,453.7,398.2,1390.9,175.9,115.95,1130.43,2857.9,0.0,0.0,0.0,4637.2,1260.36,62.15,565.22,-1.9500000000002728
2455,451.86,432.76,1376.64,182.02,206.67,1112.16,2787.46,0.0,15.96,0.0,4645.4,1629.86,0.0,260.32,29.950000000001182
2456,455.62,491.92,1317.72,187.34,269.01,1107.71,2702.81,0.0,258.47,0.0,4687.4,1682.81,0.0,422.88,-2.4899999999984175
2457,462.18,476.88,1288.75,182.26,341.43,1116.61,2648.8,0.0,0.0,0.0,4623.8,1579.0,101.46,286.77,-74.12000000000035
2458,467.42,483.72,1305.11,184.94,379.48,1076.22,2552.47,0.0,0.0,173.09999999999997,4432.2,1445.95,559.29,0.0,185.02000000000112
2459,458.9,509.4,1339.29,190.3,354.41,974.07,2420.05,0.0,0.0,229.94999999999996,4307.3,1615.54,627.33,0.0,-73.80000000000018
2460,465.58,456.28,1455.09,176.06,370.72,929.64,2296.23,0.0,0.0,0.0,4161.9,1422.01,496.54,17.310000000000002,51.83999999999992
2461,460.92,436.72,1416.92,177.44,354.46,943.48,2221.79,0.0,0.0,0.0,4003.7,1413.63,243.69,10.269999999999982,340.4400000000005
2462,482.56,479.96,1424.12,184.92,271.37,866.83,2062.47,0.0,127.75,338.44,3982.7,1634.34,0.0,0.0,621.3799999999994
2463,460.52,445.32,1397.63,180.64,174.19,812.62,1901.02,0.0,586.55,115.12000000000003,4184.5,1624.69,0.0,0.0,264.4200000000005
2464,456.28,445.48,1431.83,183.96,85.49,789.42,1685.76,0.0,631.74,167.25,4140.2,1692.13,0.0,0.0,44.88000000000011
2465,471.56,443.96,1390.71,180.92,21.94,780.09,1509.22,0.0,545.62,320.54,3921.5,1720.73,0.0,0.0,22.330000000000382
2466,546.98,371.68,1284.49,175.86,0.79,767.76,1548.27,0.0,157.09,649.28,3787.8,1678.93,0.0,0.0,35.46999999999957
2467,540.0,310.0,1242.0,164.0,0.01,730.98,1621.7,0.0,0.0,1185.4,3641.2,1723.22,344.66,0.0,85.01000000000022
2468,495.0,301.0,1174.0,163.0,0.01,665.65,1516.97,0.0,0.0,1319.23,3373.8,1290.64,604.04,0.0,366.38000000000034
2469,464.0,294.0,913.0,165.0,0.0,666.28,1311.99,0.0,0.0,1345.58,3120.0,246.22,1211.63,0.0,581.9999999999993
2470,375.0,224.0,612.0,160.0,0.0,613.35,1135.34,0.0,0.0,1465.25,2928.2,205.15,1280.58,0.0,171.00999999999976
2471,356.0,212.0,567.0,159.0,0.0,551.21,1016.18,126.06,0.0,1180.02,2802.1,0.0,1288.97,0.0,76.39999999999941
2472,360.0,210.0,562.0,160.0,0.0,534.04,962.46,352.99999999999994,0.0,825.35,2727.8,0.0,1272.32,0.0,-33.27000000000021
2473,374.0,211.0,563.0,157.0,0.0,532.57,1029.93,902.58,0.0,365.55,2709.3,0.0,1242.65,0.0,183.67999999999984
2474,403.0,218.0,582.0,160.0,0.01,493.68,926.51,770.21,0.0,473.02,2709.6,0.0,1052.1,0.0,264.73
2475,422.0,214.0,575.0,157.0,0.04,395.23,922.53,1068.19,0.0,0.0,2788.7,0.0,492.03,392.34,80.92000000000053
2476,484.92,214.72,676.94,162.44,4.71,346.45,887.05,1539.97,0.0,0.0,2908.4,0.0,456.53,905.0,47.269999999999754
2477,549.16,219.56,995.43,166.12,41.42,400.46,769.94,836.14,0.0,0.0,3235.6,0.0,78.58,415.8,248.2500000000001
2478,495.02,246.32,1199.27,170.14,99.24,403.82,630.76,1636.36,0.0,0.0,3496.1,0.0,308.19,895.3,181.33999999999946
2479,508.72,279.52,1213.98,170.04,163.57,405.22,613.81,2094.97,0.0,0.0,3692.9,0.0,464.3,1122.3,170.32999999999993
2480,488.84,339.44,1199.36,172.88,208.42,388.82,598.02,2105.12,0.0,0.0,3783.4,0.0,466.9500000000001,1052.5,198.0499999999995
2481,427.96,334.36,1218.62,171.72,252.38,346.27,523.36,2118.07,0.0,0.0,3727.6,0.0,467.39,946.8,250.94999999999982
2482,385.62,329.92,1104.9,171.34,269.63,250.66,573.89,2131.23,0.0,0.0,3648.1,0.0,466.9,967.7,134.48999999999978
2483,437.96,286.36,1153.7,172.72,252.35,179.41,553.78,2126.0,0.0,0.0,3617.8,0.0,467.19,801.6,275.6899999999996
2484,420.76,267.16,1122.19,173.32,211.18,136.42,498.24,2123.93,0.0,0.0,3585.8,0.0,453.34,682.0,232.06000000000063
2485,422.74,268.84,1086.38,174.18,162.52,103.11,436.23,2125.31,0.0,0.0,3539.8,0.0,236.45,770.2,232.86000000000013
2486,434.68,275.88,1112.58,172.76,116.63,111.93,374.7,2036.03,0.0,0.0,3606.8,0.0,19.88,361.33,647.1799999999994
