,gas,hard_coal,hydro,other_fossil,wind_onshore,demand,mismatch
4303,1631.0,508.0,39.0,452.0,146.0,3534.96,-758.96
4304,1613.0,510.0,12.0,448.0,92.0,3712.62,-1037.62
4305,1606.0,485.0,23.0,446.0,75.0,3727.15,-1092.15
4306,1627.0,422.0,12.0,457.0,119.0,3731.9,-1094.9
4307,1591.0,359.0,10.0,466.0,219.0,3737.13,-1092.13
4308,1544.0,354.0,11.0,452.0,256.0,3678.92,-1061.92
4309,1465.0,360.0,11.0,458.0,241.0,3633.53,-1098.5300000000002
4310,1392.0,356.0,11.0,473.0,227.0,3583.81,-1124.81
4311,1440.0,410.0,14.0,484.0,219.0,3561.56,-994.56
4312,1528.0,468.0,13.0,474.0,229.0,3591.38,-879.3800000000001
4313,1502.0,472.0,32.0,479.0,230.0,3522.1,-807.0999999999999
4314,1612.0,480.0,77.0,483.0,218.0,3369.25,-499.25
4315,1481.0,390.0,16.0,475.0,231.0,3209.35,-616.3499999999999
4316,1497.0,351.0,16.0,474.0,270.0,3053.41,-445.40999999999985
4317,1504.0,227.0,17.0,480.0,308.0,3017.74,-481.7399999999998
4318,1519.0,202.0,95.0,477.0,294.0,2879.82,-292.82000000000016
4319,1486.0,200.0,72.0,467.0,264.0,2659.17,-170.17000000000007
4320,1582.0,210.0,99.0,487.0,239.0,2494.55,122.44999999999982
4321,1637.0,201.0,148.0,481.0,227.0,2393.61,300.3899999999999
4322,1563.0,201.0,147.0,482.0,225.0,2343.33,274.6700000000001
4323,1507.0,201.0,146.0,480.0,229.0,2311.88,251.1199999999999
4324,1484.0,203.0,145.0,487.0,199.0,2256.82,261.17999999999984
4325,1567.0,211.0,143.0,492.0,169.0,2382.49,199.51000000000022
4326,1566.0,202.0,11.0,483.0,162.0,2655.7,-231.69999999999982
4327,1643.0,202.0,19.0,486.0,133.0,2982.48,-499.48
4328,1653.0,208.0,20.0,488.0,106.0,3239.71,-764.71
4329,1636.0,204.0,18.0,480.0,104.0,3309.76,-867.7600000000002
4330,1609.0,200.0,16.0,474.0,108.0,3305.11,-898.1100000000001
4331,1542.0,200.0,16.0,466.0,142.0,3288.25,-922.25
4332,1417.0,200.0,16.0,468.0,178.0,3209.92,-930.9200000000001
4333,1262.0,201.0,17.0,453.0,198.0,3141.01,-1010.0100000000002
4334,1311.0,214.0,23.0,462.0,250.0,3115.07,-855.0700000000002
4335,1530.0,201.0,17.0,466.0,300.0,3135.11,-621.1100000000001
4336,1633.0,281.0,16.0,460.0,293.0,3223.12,-540.1199999999999
4337,1664.0,299.0,16.0,465.0,264.0,3204.34,-496.34000000000015
4338,1675.0,382.0,19.0,470.0,226.0,3082.41,-310.40999999999985
4339,1645.0,401.0,35.0,461.0,238.0,2951.18,-171.17999999999984
4340,1635.0,368.0,18.0,466.0,283.0,2867.62,-97.61999999999989
4341,1602.0,321.0,16.0,441.0,412.0,2844.37,-52.36999999999989
4342,1591.0,306.0,17.0,404.0,532.0,2720.11,129.88999999999987
4343,1591.0,241.0,14.0,394.0,559.0,2537.63,261.3699999999999
4344,1450.0,200.0,113.0,372.0,558.0,2384.24,308.7600000000002
4345,1462.0,199.0,149.0,369.0,630.0,2302.99,506.0100000000002
4346,1184.0,203.0,147.0,381.0,752.0,2245.4,421.5999999999999
4347,1129.0,200.0,147.0,370.0,746.0,2192.45,399.5500000000002
4348,1028.0,199.0,146.0,237.0,762.0,2114.92,257.0799999999999
4349,1053.0,209.0,144.0,243.0,912.0,2184.2,376.8000000000002
4350,1123.0,199.0,71.0,250.0,940.0,2361.89,221.11000000000013
4351,1188.0,217.0,47.0,319.0,993.0,2612.5,151.5
4352,1412.0,244.0,19.0,381.0,950.0,2845.23,160.76999999999998
4353,1344.0,267.0,56.0,365.0,947.0,2992.86,-13.860000000000127
4354,1243.0,230.0,56.0,372.0,1066.0,3065.15,-98.15000000000009
4355,1264.0,231.0,57.0,376.0,1051.0,3102.42,-123.42000000000007
4356,1202.0,224.0,55.0,355.0,1071.0,3070.96,-163.96000000000004
4357,1110.0,227.0,18.0,375.0,1034.0,2997.75,-233.75
4358,1031.0,228.0,16.0,280.0,1050.0,2950.99,-345.9899999999998
4359,1171.0,247.0,24.0,335.0,1089.0,2986.4,-120.40000000000009
4360,1286.0,225.0,16.0,474.0,1105.0,3036.28,69.7199999999998
4361,1301.0,230.0,16.0,477.0,1159.0,3072.38,110.61999999999989
4362,1233.0,233.0,17.0,478.0,1163.0,2998.48,125.51999999999998
4363,1233.0,240.0,20.0,419.0,1216.0,2913.58,214.42000000000007
4364,1219.0,229.0,19.0,458.0,1243.0,2811.14,356.8600000000001
4365,1316.0,235.0,43.0,425.0,1279.0,2837.75,460.25
4366,1277.0,216.0,33.0,412.0,1212.0,2653.63,496.3699999999999
4367,1194.0,224.0,150.0,377.0,1172.0,2436.32,680.6799999999998
4368,1130.0,217.0,149.0,275.0,1161.0,2290.01,641.9899999999998
4369,1115.0,216.0,148.0,251.0,1099.0,2201.91,627.0900000000001
4370,1024.0,209.0,147.0,233.0,1112.0,2179.92,545.0799999999999
4371,916.0,216.0,146.0,237.0,1201.0,2198.64,517.3600000000001
4372,930.0,216.0,145.0,231.0,1217.0,2201.57,537.4299999999998
4373,1147.0,299.0,142.0,301.0,1226.0,2481.38,633.6199999999999
4374,1256.0,408.0,14.0,426.0,1116.0,2921.02,298.98
4375,1410.0,432.0,22.0,478.0,977.0,3302.08,16.920000000000073
4376,1419.0,415.0,16.0,459.0,848.0,3504.6,-347.5999999999999
4377,1264.0,409.0,28.0,473.0,749.0,3544.73,-621.73
4378,1289.0,397.0,74.0,495.0,675.0,3608.11,-678.1100000000001
4379,1348.0,354.0,55.0,481.0,729.0,3655.29,-688.29
4380,1320.0,351.0,56.0,480.0,742.0,3612.31,-663.31
4381,1401.0,291.0,21.0,494.0,682.0,3594.34,-705.3400000000001
4382,1422.0,245.0,17.0,485.0,638.0,3596.28,-789.2800000000002
4383,1446.0,219.0,32.0,488.0,554.0,3623.55,-884.5500000000002
4384,1559.0,249.0,45.0,493.0,535.0,3678.79,-797.79
4385,1471.0,220.0,58.0,487.0,560.0,3569.22,-773.2199999999998
4386,1487.0,226.0,41.0,492.0,585.0,3395.36,-564.3600000000001
4387,1529.0,225.0,18.0,483.0,577.0,3225.3,-393.3000000000002
4388,1550.0,223.0,18.0,478.0,563.0,3089.97,-257.9699999999998
4389,1498.0,220.0,16.0,472.0,682.0,3049.53,-161.5300000000002
4390,1515.0,221.0,15.0,476.0,681.0,2861.35,46.65000000000009
4391,1567.0,224.0,149.0,478.0,725.0,2612.09,530.9099999999999
4392,1506.0,231.0,148.0,488.0,708.0,2442.09,638.9099999999999
4393,1532.0,238.0,146.0,490.0,669.0,2372.1,702.9000000000001
4394,1447.0,229.0,146.0,483.0,659.0,2330.81,633.19
4395,1489.0,236.0,145.0,485.0,531.0,2325.64,560.3600000000001
4396,1476.0,256.0,144.0,478.0,508.0,2316.83,545.1700000000001
4397,1598.0,361.0,142.0,482.0,441.0,2583.19,440.80999999999995
4398,1661.0,359.0,13.0,476.0,367.0,3036.7,-160.69999999999982
4399,1688.0,349.0,16.0,466.0,280.0,3424.87,-625.8699999999999
4400,1638.0,300.0,16.0,458.0,241.0,3608.36,-955.3600000000001
4401,1659.0,260.0,16.0,461.0,205.0,3637.87,-1036.87
4402,1650.0,237.0,16.0,461.0,291.0,3649.14,-994.1399999999999
4403,1637.0,202.0,17.0,473.0,320.0,3654.04,-1005.04
4404,1614.0,199.0,35.0,463.0,299.0,3592.16,-982.1599999999999
4405,1570.0,200.0,17.0,469.0,280.0,3566.76,-1030.7600000000002
4406,1573.0,204.0,18.0,485.0,276.0,3570.08,-1014.0799999999999
4407,1608.0,205.0,17.0,495.0,273.0,3617.33,-1019.3299999999999
4408,1632.0,301.0,16.0,528.0,267.0,3680.24,-936.2399999999998
4409,1593.0,357.0,16.0,529.0,221.0,3582.8,-866.8000000000002
4410,1572.0,361.0,16.0,534.0,184.0,3400.59,-733.5900000000001
4411,1515.0,333.0,37.0,547.0,201.0,3236.18,-603.1799999999998
4412,1525.0,304.0,18.0,543.0,250.0,3099.55,-459.5500000000002
4413,1537.0,309.0,42.0,552.0,299.0,3084.43,-345.42999999999984
