,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,CZ -> SK,HU -> SK,PL -> SK,demand,SK -> CZ,SK -> HU,SK -> PL,mismatch
40,29.1,193.0,65.4,1078.93,192.6,1901.2,502.3,36.4,0.1,606.08,0.0,221.4,3734.47,0.0,749.06,0.0,342.9800000000005
41,29.0,186.1,62.8,984.63,190.4,1902.2,497.6,36.6,0.0,688.85,0.0,219.9,3705.83,0.0,794.09,0.0,298.15999999999997
42,28.6,187.1,62.8,946.5,191.4,1902.5,499.7,37.6,0.0,638.03,0.0,220.9,3656.94,0.0,631.82,0.0,426.37
43,28.4,190.9,64.2,736.31,192.7,1901.1,501.7,38.2,0.0,662.13,0.0,230.2,3595.43,0.0,710.41,0.0,239.99999999999943
44,28.5,196.5,66.8,704.59,194.1,1901.0,506.4,38.4,0.0,660.43,0.0,237.4,3408.5,0.0,822.55,0.0,303.06999999999994
45,28.6,190.9,64.0,692.7,191.7,1902.8,499.1,38.8,0.0,781.75,0.0,274.7,3264.19,0.0,1018.94,0.0,381.9200000000001
46,28.8,194.8,63.1,682.59,191.6,1903.3,501.6,38.3,0.0,671.3,0.0,316.0,3102.96,0.0,1080.17,0.0,408.2600000000002
47,28.5,189.7,60.8,670.46,190.7,1904.7,497.2,39.1,0.0,640.1,0.0,388.5,2982.43,0.0,1087.15,0.0,540.1800000000003
48,29.0,178.8,57.1,597.79,186.6,1900.9,493.7,39.1,0.0,501.55,0.0,391.5,2878.23,0.0,1079.31,0.0,418.5
49,29.1,179.1,57.4,596.29,185.8,1902.7,494.2,37.8,0.0,737.58,0.0,424.3,2863.61,0.0,1154.86,0.0,625.8000000000004
50,29.7,180.7,57.3,590.75,185.7,1903.2,494.8,37.6,0.0,838.58,0.0,445.8,2850.54,0.0,1242.52,0.0,671.0700000000011
51,29.1,179.9,57.1,591.61,185.5,1903.3,495.3,38.7,0.0,848.53,0.0,400.5,2907.09,0.0,1182.86,0.0,639.5899999999999
52,29.2,180.4,57.5,609.01,186.1,1904.4,498.8,38.4,0.0,930.08,0.0,367.3,3070.41,0.0,1098.1,0.0,632.6800000000007
53,30.1,184.1,58.6,613.1,187.3,1906.0,502.9,37.9,0.0,1087.08,0.0,327.7,3367.15,0.0,1147.75,0.0,419.87999999999965
54,29.7,193.6,65.5,630.97,190.1,1906.4,511.7,37.6,0.0,1148.7,0.0,355.3,3509.74,0.0,1252.72,0.0,307.1099999999999
55,29.6,193.0,64.0,814.08,188.4,1908.0,506.6,36.4,0.8,1154.9,0.0,317.9,3622.64,0.0,1164.16,0.0,426.88000000000034
56,29.5,188.7,63.5,846.66,185.4,1907.6,499.9,36.9,27.5,1115.43,0.0,318.0,3715.11,0.0,1037.64,0.0,466.3399999999999
57,29.7,184.4,62.2,812.67,184.5,1907.4,495.6,36.6,71.0,1085.9,0.0,296.9,3732.19,0.0,939.33,0.0,495.3499999999998
58,32.2,182.9,61.8,699.27,185.6,1906.7,492.6,36.6,116.9,1148.7,0.0,307.3,3846.39,0.0,922.47,0.0,401.7099999999998
59,33.6,187.2,63.2,697.71,188.6,1908.1,491.7,36.5,101.1,1176.53,0.0,331.1,3859.07,0.0,929.24,0.0,427.03
60,32.4,212.2,71.7,737.11,194.4,1907.2,497.1,36.6,39.6,1215.55,0.0,339.6,3907.75,0.0,970.66,0.0,405.05000000000007
61,32.3,222.5,76.0,769.37,198.0,1906.3,508.8,36.7,17.1,1267.7,0.0,373.9,3892.99,0.0,1045.78,0.0,469.9000000000003
62,30.0,220.7,73.9,798.12,191.2,1905.7,504.8,36.3,8.0,1306.33,0.0,375.7,3876.67,0.0,1108.98,0.0,465.0999999999999
63,31.1,230.3,77.4,830.62,193.6,1905.5,511.8,37.6,6.7,1513.75,0.0,387.0,3964.72,0.0,1168.1,0.0,592.5500000000002
64,30.5,204.2,68.6,846.46,187.4,1906.2,496.5,38.2,6.3,1433.55,0.0,374.5,3960.52,0.0,1255.04,0.0,376.8499999999999
