,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,AT -> SI,IT -> SI,demand,SI -> AT,SI -> IT,mismatch
0,11.39,30.41,89.23,238.29,696.49,10.53,0.08,0.7,770.79,0.0,1103.0,0.0,890.8501923076922,-145.9401923076923
1,11.41,28.92,64.58,224.7,696.39,10.49,0.08,0.61,799.77,0.0,1058.0,0.0,869.1767307692309,-90.22673076923104
2,11.4,31.2,177.36,233.87,696.4,10.42,0.08,0.57,763.85,0.0,1022.0,0.0,843.1442307692306,60.00576923076949
3,11.38,35.48,141.32,233.06,696.45,10.53,0.08,0.62,809.64,0.0,1010.0,0.0,756.4205769230769,172.1394230769231
4,11.42,32.2,143.14,235.81,696.31,10.79,0.08,0.56,791.75,0.0,1023.0,0.0,623.4184615384614,275.6415384615383
5,11.43,37.68,145.31,234.65,696.21,9.27,0.08,0.24,828.01,0.0,1061.0,0.0,595.6786538461538,306.2013461538463
6,11.42,34.5,105.86,216.78,696.22,10.21,0.08,0.42,739.48,0.0,1092.0,0.0,667.0546153846151,55.91538461538494
7,11.38,36.07,182.94,227.95,696.19,10.45,1.48,0.59,730.72,0.0,1139.0,0.0,739.3155769230772,19.454423076922808
8,11.38,36.25,242.99,239.96,696.36,9.13,5.35,0.63,694.38,0.0,1224.0,0.0,723.8834615384616,-11.453461538461283
9,11.38,39.99,226.25,236.73,696.4,8.6,7.41,0.33,703.87,0.0,1300.0,0.0,697.5011538461538,-66.54115384615375
10,10.95,40.4,252.46,237.02,696.43,7.96,8.13,0.53,748.8,0.0,1378.0,0.0,630.2432692307694,-5.563269230769379
11,11.38,38.67,394.99,241.6,696.62,9.17,6.07,0.47,715.1,0.0,1399.0,0.0,636.8028846153848,78.26711538461541
12,10.6,41.21,495.08,234.85,696.58,9.79,4.15,0.32,620.93,0.0,1376.0,0.0,729.8967307692309,7.613269230769333
13,10.76,41.54,569.36,237.33,696.39,10.95,1.95,0.32,417.72,0.0,1350.0,0.0,787.2230769230771,-150.90307692307692
14,10.88,41.87,625.22,233.02,696.4,9.09,4.2,0.3,306.3,0.0,1345.0,0.0,776.2586538461536,-193.97865384615386
15,10.94,42.01,666.26,236.67,696.14,7.63,0.08,0.29,195.13,0.0,1385.0,0.0,719.5651923076923,-249.41519230769222
16,10.78,37.79,792.77,231.57,696.06,7.02,0.07,0.59,370.14,0.0,1439.0,0.0,740.5303846153845,-32.74038461538453
17,11.21,36.61,831.63,231.3,696.32,12.43,0.07,0.53,394.9,0.0,1456.0,0.0,764.874423076923,-5.874423076922994
18,11.06,38.64,976.61,229.36,696.14,14.64,0.07,0.41,417.68,0.0,1486.0,0.0,752.9757692307696,145.6342307692305
19,11.13,42.18,822.9,231.51,696.12,9.3,0.07,0.53,513.16,0.0,1439.0,0.0,817.2488461538463,70.65115384615376
