,biomass,gas,hard_coal,hydro,other_fossil,solar,wind_onshore,ES -> PT,demand,PT -> ES,mismatch
292,200.3,1375.2,1376.7,286.5,118.6,0.0,2689.5,0.0,4882.0,102.64,1062.1599999999992
293,198.5,1378.3,1409.3,298.4,121.7,0.0,2263.9,0.0,4953.0,610.85,106.25000000000034
294,199.7,1656.1,1409.0,419.0,118.8,0.0,2104.3,0.0,5065.0,810.48,31.420000000000528
295,200.0,2306.0,1470.0,536.5,119.5,0.0,1625.0,0.0,5388.0,1134.02,-265.02
296,200.8,3185.2,1416.7,953.3,119.4,7.6,1130.5,0.0,5958.0,1602.43,-546.9300000000001
297,205.0,3391.6,1412.2,1774.9,118.8,58.3,795.1,0.0,6297.0,1781.94,-323.0399999999986
298,204.3,3656.9,1410.2,1705.4,119.5,116.8,754.3,0.0,6531.0,1655.17,-218.76999999999862
299,204.1,3605.9,1411.4,1497.6,119.3,240.6,798.5,0.0,6585.0,1326.61,-34.209999999999354
300,206.0,3554.5,1411.0,1490.2,117.1,256.9,1186.2,0.0,6423.0,1620.44,178.45999999999958
301,200.4,3448.0,1411.5,704.8,114.7,263.1,1588.6,0.0,6326.0,1291.47,113.63000000000034
302,202.3,3350.2,1412.6,415.4,118.0,227.9,1793.5,0.0,6196.0,1175.74,148.15999999999963
303,188.2,3398.4,1411.8,366.5,119.9,166.3,1825.6,0.0,6149.0,1178.34,149.359999999999
304,184.8,3500.8,1411.0,420.2,121.7,83.4,1688.9,0.0,6401.0,1246.82,-237.02000000000066
305,185.9,3470.8,1411.2,616.3,116.9,3.8,1517.5,0.0,7103.0,908.25,-688.8499999999995
306,193.7,3446.7,1411.7,692.0,116.3,0.0,1563.5,0.0,7332.0,303.57,-211.67000000000036
307,195.1,3607.1,1412.4,1008.3,121.0,0.0,1392.6,0.0,7195.0,387.34,154.16000000000003
308,192.9,3435.5,1411.8,990.2,118.3,0.0,1180.6,0.0,6825.0,116.98,387.31999999999925
309,195.5,3400.9,1411.3,968.1,117.7,0.0,1018.9,0.0,6504.0,272.85,335.5499999999996
310,201.0,3254.8,1411.6,759.1,120.3,0.0,890.8,0.0,6041.0,121.14,475.4600000000004
311,204.7,2143.2,1573.6,826.5,119.9,0.0,819.2,368.73,5495.0,0.0,560.8299999999999
312,208.3,1120.9,1695.9,794.3,121.0,0.0,853.5,727.24,5024.0,0.0,497.1400000000003
313,209.1,884.2,1694.2,423.4,121.6,0.0,813.3,902.38,4738.0,0.0,310.1800000000003
314,206.4,902.6,1694.3,404.4,121.8,0.0,613.0,855.87,4587.0,0.0,211.3700000000008
315,209.2,904.7,1694.6,449.8,120.0,0.0,554.9,675.56,4498.0,0.0,110.76000000000022
316,212.0,909.0,1683.5,344.2,118.9,0.0,618.6,634.49,4465.0,0.0,55.6899999999996
317,208.9,945.8,1582.7,334.9,119.1,0.0,775.4,626.75,4538.0,0.0,55.55000000000018
318,203.0,1131.9,1563.4,446.3,116.5,0.0,806.8,518.27,4558.0,0.0,228.17000000000007
319,206.0,1512.5,1682.9,553.8,120.7,0.0,640.8,0.0,4750.0,88.64,-121.94000000000018
320,207.4,1713.2,1698.0,591.2,119.5,35.7,628.2,0.0,5254.0,226.36,-487.1600000000002
321,208.1,2765.2,1697.9,792.0,120.2,179.3,555.2,0.0,5736.0,979.98,-398.0800000000004
322,211.5,3216.9,1697.6,1014.6,119.0,239.2,443.9,0.0,6105.0,1189.96,-352.2600000000002
323,209.9,3230.5,1697.6,1065.3,118.4,267.9,391.9,0.0,6282.0,860.67,-161.17000000000087
324,209.1,3222.4,1700.0,926.4,116.8,276.3,458.9,0.0,6068.0,610.33,231.5699999999996
