,gas,hydro,other_fossil,wind_onshore,DK -> NO,FI -> NO,NL -> NO,SE -> NO,demand,NO -> DK,NO -> FI,NO -> NL,NO -> SE,mismatch
2477,359.23,11431.78,113.58,432.32,78.58,0.0,0.0,0.0,14203.0,0.0,18.06,0.0,244.14,-2049.71
2478,356.68,14194.07,112.69,425.13,308.19,0.0,0.0,0.0,14892.0,0.0,7.68,0.0,584.5999999999999,-87.51999999999964
2479,352.64,14712.58,111.86,428.1,464.3,0.0,0.0,0.0,15313.0,0.0,8.64,0.0,520.12,227.71999999999957
2480,349.16,14541.99,110.6,370.31,466.9500000000001,0.0,0.0,0.0,15305.0,0.0,11.51,0.0,378.48,144.0200000000002
2481,351.45,14062.0,107.2,338.25,467.39,0.0,0.0,0.0,14936.0,0.0,12.61,0.0,105.09999999999997,272.5800000000009
2482,349.31,13467.2,103.82,297.52,466.9,0.0,0.0,288.72,14566.0,0.0,24.44,0.0,0.0,383.03000000000117
2483,349.87,12758.3,98.88,266.44,467.19,2.63,0.0,437.0799999999999,14206.0,0.0,0.0,0.0,0.0,174.38999999999942
2484,350.01,12381.25,96.48,243.04,453.34,5.35,0.0,230.00000000000003,13979.0,0.0,0.0,0.0,0.0,-219.52999999999884
2485,350.92,12476.26,95.54,244.16,236.45,0.0,0.0,35.379999999999995,13856.0,0.0,3.28,0.0,0.0,-420.569999999999
2486,352.84,12822.74,95.66,144.39,19.88,6.05,0.0,0.0,13684.0,0.0,0.0,0.0,325.57,-568.0100000000004
2487,356.48,13473.4,94.04,162.44,0.0,5.4,0.0,0.0,13796.0,415.18,0.0,0.0,1073.35,-1192.7699999999998
2488,353.81,14778.98,93.74,161.34,0.0,7.47,0.0,0.0,13878.0,476.58,0.0,0.0,1891.82,-851.0600000000018
2489,356.29,15711.76,93.43,152.3,0.0,19.12,0.0,0.0,13922.0,480.88,0.0,0.0,1878.73,51.29000000000133
2490,353.05,15748.29,93.41,159.44,0.0,11.65,0.0,0.0,13986.0,481.01,0.0,0.0,1912.39,-13.559999999999945
2491,356.21,15919.55,93.62,111.02,0.0,6.19,0.0,0.0,14070.0,481.04,0.0,0.0,1593.6,341.94999999999663
2492,354.16,15362.83,94.4,110.86,0.0,12.76,0.0,0.0,13832.0,480.38,0.0,0.0,706.3799999999999,916.2500000000005
2493,356.8,14054.72,97.18,108.26,0.0,19.3,0.0,801.5,13432.0,457.06,0.0,0.0,0.0,1548.6999999999985
