,biomass,gas,hard_coal,hydro,nuclear,other_fossil,other_renewable,wind_onshore,NO -> FI,SE -> FI,demand,FI -> NO,FI -> SE,mismatch
1569,1032.8,1004.6,1585.2,2417.8,2790.7,1294.84,34.5,347.12,0.0,2188.91,12868.55,47.16,0.0,-219.2399999999981
1570,1032.3,1018.1,1590.2,2272.8,2788.5,1258.86,38.79,266.93,0.0,2313.2,12683.62,41.08,0.0,-145.01999999999686
1571,1027.2,1010.8,1595.5,2119.3,2790.5,1234.37,38.9,239.79,0.0,2396.0,12533.74,38.81,0.0,-120.19000000000102
1572,1034.9,1005.3,1594.8,1980.6,2790.4,1232.0,38.9,227.69,0.0,2528.7,12414.7,37.92,0.0,-19.329999999999856
1573,1032.3,997.49,1580.7,2013.5,2791.1,1218.97,38.9,260.33,0.0,2309.7,12293.77,37.35,0.0,-88.13000000000247
1574,1039.8,1008.1,1577.8,2044.3,2791.7,1222.95,38.9,305.16,0.0,2191.4,12275.49,37.92,0.0,-93.2999999999992
1575,1051.4,1036.6,1586.1,2093.3,2791.4,1233.08,38.9,426.28,0.0,2249.9,12433.62,43.12,0.0,30.21999999999833
1576,1058.5,1037.8,1588.6,2187.7,2791.4,1262.38,38.9,629.99,0.0,2117.31,12955.34,41.67,0.0,-284.43000000000023
1577,1044.1,1029.3,1577.9,2216.0,2791.6,1294.63,38.9,822.81,0.0,1713.24,13229.87,50.3,0.0,-751.690000000003
1578,1047.4,1057.6,1575.3,2105.2,2791.4,1304.27,38.9,940.25,0.0,953.96,13072.01,51.78,0.0,-1309.5100000000014
1579,1052.3,1052.8,1578.1,1825.9,2791.1,1294.93,39.25,984.38,0.0,319.85,12519.44,67.31,0.0,-1648.1399999999999
1580,1053.8,1036.8,1510.0,1605.8,2792.1,1248.65,39.3,963.3,0.0,461.78,12572.71,59.66,0.0,-1920.8400000000004
1581,1038.4,999.32,1413.0,1531.5,2791.3,1114.48,36.18,797.71,0.0,487.52,12439.06,63.87,0.0,-2293.5199999999995
1582,1034.6,908.4,1367.8,1354.7,2790.9,1104.76,38.4,653.12,0.0,416.67,11979.78,64.77,0.0,-2375.2000000000003
1583,1015.4,911.11,1352.3,1349.0,2791.6,1108.53,38.4,573.83,0.0,333.6,11658.01,63.29,0.0,-2247.5299999999997
1584,1019.3,906.85,1353.6,1338.3,2791.8,1110.0,38.4,575.79,0.0,299.79,11534.62,65.85,0.0,-2166.639999999999
1585,1008.0,895.67,1344.8,1335.2,2791.6,1113.33,38.4,560.78,0.0,126.4,11509.41,68.55,0.0,-2363.7799999999997
1586,1024.6,915.31,1344.3,1312.6,2792.3,1105.97,36.67,575.25,0.0,371.46,11659.29,69.99,0.0,-2250.8200000000015
1587,1018.8,904.97,1350.1,1379.2,2792.2,1118.54,38.0,585.51,0.0,898.4,12092.35,68.87,0.0,-2075.500000000001
1588,1022.0,919.54,1372.5,1380.0,2792.0,1125.94,39.16,625.46,0.0,1538.04,12860.69,64.83,0.0,-2110.880000000001
1589,1035.9,1014.7,1427.9,1785.0,2792.0,1160.88,40.98,676.68,0.0,1213.85,12970.49,53.26,0.0,-1875.8599999999985
1590,1057.9,1083.4,1532.4,2194.1,2793.2,1288.58,42.4,652.45,0.0,951.95,13152.46,76.31,0.0,-1632.389999999998
1591,1040.0,1074.5,1563.7,2318.6,2792.9,1305.18,42.4,411.57,0.0,1357.46,13168.15,76.86,0.0,-1338.7000000000019
1592,1058.4,1014.0,1541.4,2275.5,2793.5,1274.49,42.4,260.85,0.0,1616.75,13022.91,69.99,0.0,-1215.6100000000008
