,hydro,lignite,wind_onshore,demand,s_l,s_r
0,0.0,154.61,0.0,405.0,376.35,0.0
1,0.0,154.66,0.0,292.19688697029994,273.8968869703,0.0
2,0.0,154.61,0.0,235.08567414248466,234.91567414248465,0.0
3,0.0,154.99,0.0,393.5588851560847,341.7,0.0
4,0.0,155.32,0.0,186.61693174185302,210.186931741853,0.0
5,0.0,154.66,0.0,336.0,401.51,0.0
6,0.0,31.65322340759358,0.0,-49.19395666926766,123.02281992313874,0.0
7,0.0,155.49,0.0,371.0,411.03,0.0
8,0.0,155.1,0.0,407.0,436.96,0.0
9,0.0,154.55,0.0,15.176109456129325,40.14610945612932,0.0
10,0.0,60.09154862568148,0.0,477.40409677921105,453.58,0.0
11,0.0,154.72,0.0,601.7061475846236,451.84,0.0
12,0.0,155.27,0.0,448.0,448.21,0.0
13,0.0,153.89,0.0,264.80603750224213,295.3760375022422,0.0
14,0.0,139.77185720183144,0.0,505.94021287085457,414.9090608398304,0.0
15,0.0,147.31954957540387,0.0,455.3495495754038,507.61,0.0
16,0.0,179.41,0.0,475.99999999999994,504.49,0.0
17,0.0,115.69844798650978,0.0,244.15250507866995,323.7040570921601,0.0
18,0.0,204.93,0.0,616.1760209256863,441.83,0.0
19,0.0,205.7,0.0,472.0,350.62,0.0
20,0.0,206.31,0.0,236.01224863148238,109.2022486314824,0.0
21,0.0,206.47,0.0,445.0,336.19,0.0
22,0.0,205.81,0.0,496.83209941936565,363.74,0.0
23,0.0,179.41,0.0,425.553960616389,256.43,0.0
24,0.0,65.04182941759808,0.0,265.16796461624205,204.06,0.0
25,0.0,178.2,0.0,233.58106103705956,54.24356360683908,0.0
26,0.0,178.15,0.0,323.99999999999994,129.51999999999998,0.0
27,0.0,171.6271217244787,0.0,307.2071217244788,131.04000000000002,0.0
28,0.0,128.66613233395805,0.0,208.37798258595714,73.89794295341468,0.0
29,0.0,107.14002482919246,0.0,233.4749795719478,126.08,0.0
30,0.73,205.76,0.0,344.99999999999994,159.43,0.0
31,192.06,138.5102890093847,0.0,323.534512337211,55.207812296567305,0.0
32,88.5731389916932,123.57061384375356,0.0,281.56586679115935,117.8,0.0
33,116.11450290440524,186.4230199782931,0.0,327.0175228826983,134.09000000000003,0.0
34,210.82,205.87,0.0,477.8021190848408,90.5240673771998,0.0
35,314.56,206.09,0.0,453.0,61.140000000000015,0.0
36,109.63326790140056,205.98,0.0,218.56642567054575,5.083157769145206,0.0
37,87.59317816437122,206.25,0.0,207.93317816437116,29.78999999999992,0.0
38,315.4,206.91,0.0,437.0,44.36000000000004,0.0
39,209.93119166168847,207.02,0.0,357.2611916616885,137.20999999999995,0.0
40,211.33194757413352,205.81,0.0,509.7100802663638,166.74999999999997,0.0
41,314.59,206.69,0.0,629.8108846891496,153.42000000000002,0.0
42,312.35,206.42,0.0,494.97042904224617,175.22000000000003,0.0
43,206.66,205.32,0.0,474.0,165.11,0.0
44,71.35,72.8145904747668,0.0,230.41013357354342,151.3955430987766,0.0
45,0.0,178.37,0.0,341.26993009203886,178.6505585924625,0.0
46,0.0,40.733866517451446,0.0,235.02359946272142,214.04973294527,0.0
47,0.0,154.5,0.0,409.0000000000001,301.66,0.0
48,0.0,154.55,0.0,260.12155299077705,146.75155299077704,0.0
49,0.0,114.2021254542566,0.0,318.92762541568095,229.01,0.0
50,0.0,154.94,0.0,321.0,221.83,0.0
51,0.0,154.94,0.0,286.6176172512623,156.22165812386876,0.0
52,0.0,155.27,0.0,190.68109470577718,63.41286049063929,0.0
53,0.0,154.66,0.0,368.3862097995841,229.5,0.0
54,0.8816781123077259,154.72,0.0,379.8216781123078,299.8,0.0
55,81.72,174.3,0.0,425.0,336.0,0.0
56,200.81,204.66,0.0,450.99999999999994,271.77,0.0
57,159.92,206.97,0.0,499.47693355279233,277.13,0.0
58,160.69,207.08,0.0,376.8156396909342,55.60421355506897,0.0
59,138.81,207.13,0.0,439.0,242.65,0.0
60,140.73,207.02,0.0,239.52627810091474,62.62627810091471,0.0
61,142.18,43.76879474440357,0.0,264.0187947444035,258.27,0.0
62,228.06,207.24,0.0,434.0,250.76,0.0
63,243.05,206.03,0.0,331.742760199048,152.86276019904798,0.0
64,271.74,205.59,0.0,505.00234523614876,289.29,0.0
65,269.69,99.138730395937,0.0,307.03430905603454,12.876448998575494,0.0
66,295.99,206.2,0.0,390.4995090742311,157.5495090742312,0.0
67,0.0,206.2,0.0,534.7619779687403,386.7000000000001,0.0
68,0.0,138.57599094159218,0.0,336.9562816548769,250.1002907132847,0.0
69,0.0,155.87,0.0,349.7994659593696,214.33397235342352,0.0
70,0.0,90.43366093553708,0.0,399.17366093553704,380.46,0.0
71,0.0,177.54,0.0,440.0000000000001,322.15000000000003,0.0
72,0.0,178.64,0.0,395.0,296.46000000000004,0.0
73,0.0,178.64,0.0,250.8512124777119,195.5612124777119,0.0
