,biomass,gas,hydro,lignite,nuclear,other_fossil,solar,wind_onshore,demand,s_l,s_r
0,11.39,30.41,89.23,238.29,684.8722805015385,10.53,0.08,0.7,947.54518315765,145.9401923076923,0.0
1,0.9493328224646472,28.92,64.58,224.7,696.39,7.749203079514664,0.08,0.61,957.8378220975019,3.266016964753143,0.0
2,11.4,31.2,177.36,84.56940278628801,696.4,10.42,0.08,0.0038389521308195,876.3977342662798,0.0,55.74127670290841
3,6.362753907693818,35.48,141.32,233.06,696.45,10.53,0.08,0.3076632213552241,1013.9832081940409,0.0,172.1394230769231
4,11.42,32.2,143.14,235.81,696.31,10.79,0.08,0.56,1598.1904584860506,0.0,275.6415384615383
5,11.43,37.68,145.31,234.65,696.21,9.27,0.0433241187555318,0.24,932.4767438041048,0.0,202.63701951120427
6,11.42,34.5,7.733172292111286,158.05121709895374,292.8050162097529,5.4153136542001485,0.08,0.42,909.7330871859897,0.0,55.91538461538494
7,1.391382715228726,23.504477762266976,182.94,169.61078973438927,696.19,10.45,1.4732759396306347,0.1422644493143764,1057.65219060083,0.0,19.454423076922808
8,11.38,36.25,242.99,43.39570603608279,696.36,8.714027452973598,5.35,0.553139762916539,1026.9428732519727,11.453461538461283,0.0
9,11.38,39.99,159.55511082467677,236.73,457.8705387450004,8.6,7.41,0.33,994.7756495696771,66.54115384615375,0.0
10,10.95,40.4,252.46,177.34712596364812,622.1273768505251,7.96,8.13,0.53,604.1171949829368,5.563269230769379,0.0
11,11.38,38.67,20.11927072823554,241.6,696.62,9.17,6.07,0.1299126417507806,1383.464833579406,0.0,78.26711538461541
12,7.2664459014037,41.21,495.08,42.78892203725969,683.4478160318696,9.64507872828566,2.232145838686101,0.32,1013.2637250440414,0.0,7.613269230769333
13,0.943192513575569,41.54,569.36,86.06957907027837,130.05955667384558,10.95,1.95,0.32,548.8847090056943,77.19545767107203,0.0
14,10.88,41.87,625.22,233.02,696.4,9.09,4.2,0.3,1774.0959516540495,97.52752274149964,0.0
15,10.94,42.01,666.26,189.23731340905468,696.14,7.63,0.0116971787553313,0.0558338414433132,1337.2648444292536,249.41519230769225,0.0
16,8.937579310938922,37.79,437.8198889861212,231.57,696.06,7.02,0.07,0.4785903132178821,1080.6119674705935,32.74038461538453,0.0
17,11.21,36.61,831.63,231.3,696.32,12.43,0.07,0.53,1551.5365164287,5.874423076922994,0.0
18,11.06,38.64,580.2811110298702,229.36,696.14,14.64,0.07,0.0069757320215773,1218.4748364234813,0.0,16.427481107641135
19,7.228650192679969,0.2215694278279501,822.9,231.51,696.12,3.905674675084366,0.07,0.3887067318848721,1426.1304188043155,0.0,70.65115384615376
20,11.15,0.124468826053777,813.11,12.736962858338222,696.39,13.19,0.07,0.4495743287954876,1022.8012811237071,0.0,9.781730769230762
21,11.2,24.61,732.1476461139334,238.06,696.39,12.11,0.07,0.75,1177.1683113025883,69.88374211173235,0.0
22,1.2970561695956344,22.17,776.3,229.66,696.29,11.5,0.0043986095744828,0.4864914628601601,1180.5417494821786,153.65213492122035,0.0
