,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_onshore,demand,s_l,s_r
0,275.0,3269.0,959.0,1845.0,0.0,2368.255473269329,480.0,77.0,9.0,11156.0,17417.059306173505,0.0,2514.9100000000003
1,278.0,3541.0,1014.0,885.0616611191814,0.0,1733.1613326804354,478.0,79.0,9.0,1263.350562711914,6143.57355651153,0.0,2160.920000000001
2,278.0,1654.679927014218,1043.0,1735.0,0.0,7061.0,481.0,79.0,9.0,6474.0,15834.88317213597,0.0,2200.0200000000013
3,279.0,3318.0,360.3476301484848,1694.0,0.0,1113.135217753376,268.14489443318587,11.895198904573036,5.017983232992899,6329.0,12027.54092447261,0.0,2639.6500000000005
4,80.16042545361597,2084.7711427044096,1054.0,1625.0,0.0,7069.0,480.0,77.0,9.0,6172.0,15931.5410514186,0.0,2627.880000000001
5,278.0,3395.0,716.1564563324442,1734.0,0.0,7077.0,474.0,12.284817067720564,4.505232744756186,1510.8266213503075,16589.936804362103,0.0,663.7459214775914
6,283.0,3909.0,740.0971926956363,1848.0,0.0,7102.0,484.0,75.0,0.7790896750207845,2732.2556234688773,15946.131905839537,0.0,2383.849999999999
7,287.0,3241.0,1027.0,1613.0,0.0,1264.5718646706302,485.0,76.0,34.0,601.3917523220589,6157.946959096695,0.0,2152.129999999999
8,275.0,3398.0,1095.0,1744.0,0.0,1943.200861022696,171.58685732088972,13.310233151052604,601.0,5770.0,12373.293983106489,0.0,1544.6853242123254
9,273.0,2616.0,1039.0,1149.098161393834,0.0,7112.0,487.0,45.17115428468871,814.9197248496209,5312.166957259066,18654.355997787214,0.0,1816.899999999998
10,270.0,2555.0,597.9106935406933,2058.0,0.0,7108.0,60.1931528319835,77.0,1574.3130272908645,1103.4363107812298,15299.180545070874,0.0,1088.1400000000012
11,279.0,2564.0,918.4573234542504,580.5460052353758,0.0,7107.0,181.6565715445948,78.0,2942.0,8335.0,21124.65990023422,0.0,968.6000000000004
12,281.0,2226.2763891383192,863.6682114582238,2292.0,0.0,7106.0,300.3975935930214,80.0,2540.735078524264,9002.0,22312.267308928436,0.0,921.9100000000016
13,284.0,2452.0,989.0,2038.0,0.0,7103.0,359.6146861189605,79.0,2778.0,11860.0,24880.978783270042,0.0,1177.8199999999997
14,270.0,2558.0,1001.0,1815.0,0.0,5178.786242819265,385.6571621596607,78.0,2429.3321289176915,6699.903175851205,15489.666714395087,0.0,1504.44
15,265.0,2515.0,777.5666446526183,1265.3376517527524,0.0,7089.0,494.0,75.0,1876.0,12635.0,23025.95687618776,0.0,1366.2399999999998
16,5.824208052351516,2681.0,968.0,2195.0,0.0,1457.8620628993062,186.20793188178808,77.0,781.0,10301.15332557147,13389.889707472803,0.0,1002.7278209321172
17,268.0,18.488553829190927,982.0,1460.3573332066646,0.0,2046.2641906536571,450.31652600844274,77.0,177.0,14629.0,16389.788169547115,0.0,573.6799044688793
18,132.05517621953817,2558.5713637140107,963.0,3530.0,0.0,3296.260263553906,498.0,51.47408533591773,86.91631245327514,14358.0,23311.753885446717,0.0,804.0100000000002
19,270.0,2784.0,943.0,3141.0,0.0,7086.0,494.0,3.5690220870996385,115.0,14342.0,27169.5690220871,0.0,767.7800000000002
20,277.0,882.8884661085101,916.0,3460.0,0.0,7088.0,242.06422586967915,35.20317271489024,33.21561479584181,14041.0,25235.37147948892,0.0,764.5200000000002
21,279.0,1315.6563091174812,771.0917872294757,3554.0,0.0,7086.0,495.0,78.0,60.0,11434.683581797692,23841.236221722604,0.0,926.61
22,5.475327676258034,3208.0,795.9861419723654,2759.0,0.0,7087.0,495.0,74.0,50.0,13271.0,24827.78216244818,0.0,868.5099999999998
23,151.99320934296796,1321.6051778361282,1023.0,1865.0,0.0,7090.0,491.0,74.0,16.0,12151.0,19912.510537354392,0.0,1901.02
24,266.0,3753.0,1007.0,1581.8960242620517,0.0,7086.0,443.04793367920985,74.0,2.690376831013258,3970.773268707588,12750.407603479864,0.0,2509.86
25,160.38854122731928,148.07580327216036,1033.0,1593.0,0.0,4853.9193908286325,488.0,74.0,7.654259356052546,6744.834942768902,9351.872937453067,0.0,2693.63
26,27.74388153591554,164.6529666967703,1018.0,371.7292355644001,0.0,6092.879624893778,487.0,59.655828895668776,11.0,472.4812488886224,3644.4070594022833,0.0,2943.98
27,265.0,3692.0,1020.0,1451.0,0.0,7084.0,488.0,74.0,1.5492121931268146,10444.0,19194.549212193124,0.0,3235.76
28,156.8331115755134,2087.8139715539496,64.44369901637529,1587.0,0.0,7083.0,371.1022341782166,73.0,2.8029390004032733,10996.0,17715.430215048513,0.0,2320.0557402759428
29,276.0,4059.0,1002.0,1762.0,0.0,7081.0,490.0,1.1410031769018474,17.0,12030.0,23926.632502452747,0.0,951.5168779103984
30,277.0,4338.0,1088.0,2147.0,0.0,7083.0,523.0,90.0,18.0,2219.3548871352587,16904.354887135258,0.0,739.2599999999995
31,288.0,4534.0,1156.0,1749.8194594401425,0.0,7089.0,98.6715396044995,91.0,38.0,3432.4218104720867,19815.327044571706,0.0,549.7000000000007
32,105.4631486916149,4094.0,880.9187425212189,2880.0,0.0,7091.0,666.0,88.0,458.0,12344.0,31647.331931593526,0.0,253.17995961930745
33,293.0,3647.0,1472.0,3070.0,0.0,7098.0,680.0,93.0,1301.0,12548.0,29670.200856144354,0.0,863.739999999998
34,125.44447793895624,3911.0,1528.0,381.9652057973529,0.0,7103.0,513.4266575142041,93.0,1926.0,3606.406778264676,21839.41089539441,0.0,866.8700000000026
