,biomass,gas,hard_coal,other_fossil,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,90.5230443895638,32.0215068974357,252.1806194555137,102.27022803334364,0.0,917.03,1551.51,2371.4953987758563,0.0,235.29
1,502.0,256.0,170.4802420006368,81.23029279122699,0.0,815.06,1465.03,2810.410534791863,0.0,259.02000000000044
2,488.0,39.0150559184409,259.0,179.0,0.0,350.91728990369563,1494.61,1813.4804979010082,0.0,191.2400000000007
3,482.0,251.0,266.0,84.7879999204701,0.0,839.894889895317,333.1035414899189,-367.6011000479626,0.0,142.91999999999962
4,390.0,204.0,254.0,184.0,0.0,917.27,1423.11,2896.9,0.0,66.92000000000007
5,385.0,211.0,210.24965705323788,180.0,0.0,959.88,1501.38,2978.4496570532374,16.06999999999971,0.0
6,417.0,222.0,283.0,185.0,0.0,513.8709423046774,1470.82,3549.91979689514,0.0,59.01999999999998
7,431.98,74.88773438826509,242.48,172.86,0.850498180880356,6.689581564180688,484.9956988674468,1324.247370251046,77.97999999999956,0.0
8,469.78,59.56788277280032,236.35,120.33542163611128,1.8020875534981255,184.66178872946915,1637.26,3027.248157391298,136.15378998356115,0.0
9,582.28,252.48,272.51,166.96,34.319248887866934,558.4901257259916,2003.35,1652.3484449758535,61.41877159532083,0.0
10,575.92,280.72,304.40763990307266,85.40259653646366,54.12,1121.65,2026.74,4013.0986726666797,182.13999999999945,0.0
11,153.7166048085758,277.44,92.98116917213927,168.88,58.55,1136.89,2106.35,3624.668338874826,123.95709449403634,0.0
12,660.8,258.8,251.25,160.6,59.87,845.8438759188776,2367.24,4698.908736143988,277.3500000000008,0.0
13,641.04,15.78254715456007,254.38,163.28,40.44373056115894,1129.89,2275.46,3677.8438581976143,194.98000000000047,0.0
14,615.62,279.92,303.25,175.34,15.227816553178997,1123.73,2110.87,4001.2378165531773,68.70999999999958,0.0
15,633.98,345.6731632904458,486.49,184.86,0.9,1096.24,1845.83,4480.2883800641985,0.0,1.4700000000002549
16,639.0,321.0150000844058,716.0,10.192369980820702,0.0,1099.52,1588.51,3857.634231426461,0.2763030230575762,0.0
17,576.2802663786679,338.44632857960033,737.0,190.0,0.0,1062.02,1485.56,4226.061576040831,3.43498108256225,0.0
18,712.0,377.0,603.0,199.0,0.0,136.12550799615076,938.1341504828468,2700.4496584789977,0.0,44.8100000000004
19,140.67116297689728,336.0,91.31044392936774,60.73845084580026,0.0,965.93,1130.788733630386,3079.3104092160165,57.82000000000016,0.0
20,656.0,319.0,75.74209366206183,179.0,0.0,689.2760564076706,1467.44,4457.3025012285725,71.48999999999978,0.0
21,599.0,348.0,306.0,168.58569838577074,0.0,191.177101620652,1368.64,1491.4800186202065,0.0,37.32000000000062
22,546.4883082746004,141.83119858938068,352.0662002037242,184.0,0.0,734.9171782101986,1136.890125098122,2674.663010376025,0.0,39.55000000000064
23,527.0,259.0,464.0,160.37722138932037,0.0,790.03,961.7233573582698,2101.972373350196,38.22000000000071,0.0
24,526.0,166.33805750135866,506.0,177.0,0.0,769.68,30.767497074825343,1739.3225473560155,40.976992779831534,0.0
25,526.0,45.55826857661396,496.0,3.4341670124986963,0.0,319.053721144617,1065.32,3441.2607199689182,31.550000000000185,0.0
26,526.0,242.0,81.59573836758412,178.0,0.0,589.29,963.61,2669.7230063889187,4.660000000000764,0.0
27,528.0,244.0,497.0,165.60805770748942,0.0,577.9,467.64109947053294,1336.8247409114483,0.0,3.0801399179451447
28,549.0,262.0,537.0,45.489560907153,0.0,487.93,484.8277654396984,1739.131818040516,0.0,29.20999999999958
29,642.0,277.0,592.0,191.0,0.0,420.381555315698,903.62,3618.831555315698,0.0,120.69999999999992
30,324.1197846996719,383.0,815.0,66.67375692236665,0.0,539.86,904.41,3809.923321964314,0.0,81.40021965772509
31,732.96,645.36,386.8135768467016,54.27992890375311,1.28,115.08293660585716,507.172777537216,3063.343334013517,0.0,3.7958858800110815
32,748.42,706.72,1013.12,203.94,29.12,503.15,828.49,4983.947228667974,3.728798422851716,0.0
33,747.08,608.1728801786345,1021.77,136.4841267718048,95.8,471.42,783.36,4078.3656388040245,35.932943094972174,0.0
34,748.0,706.0,912.09,202.0,150.17,477.05,665.54,4745.529970825376,76.67999999999961,0.0
35,74.71371421443968,703.64,700.9257637700083,198.78,173.15,51.02059468606384,137.4042695497365,3140.691047265252,60.006705045003166,0.0
36,740.14,709.24,847.65,106.42607221463491,142.66,532.52,25.35278478327433,5038.792280634243,15.282669111050089,0.0
37,742.34,708.44,1021.42,17.87026106401496,82.86,237.26202769134864,724.56,4455.605561788843,7.724107485162107,0.0
38,744.56,733.96,1064.71,90.50823708710706,21.94,487.51,39.58531451743868,4258.585272886478,0.0,0.4408802477712196
39,354.7124117223756,726.68,1194.49,186.4600113277648,1.03,230.71414583400303,699.53,4386.686568884144,0.0,28.38999999999919
40,234.02300396557277,447.9700955747473,1247.0,204.0,0.0,50.44366165551184,818.33,4255.076761195832,28.38000000000079,0.0
41,692.0,254.6878779137143,1307.0,186.39050967424183,0.0,558.78,801.29,4099.868462891118,71.26000000000045,0.0
42,640.0,702.0,990.0,199.0,0.0,28.198574831912104,834.91,2878.12318138302,0.0,37.88000000000011
43,123.71294204001576,645.0,629.0,192.0,0.0,409.9698021204021,541.6754050764954,2467.9819506524245,0.0,15.399999999999809
44,581.0,493.0,461.0,189.0,0.0,175.75198242676635,1018.77,3082.641741943151,0.0,13.779999999999404
45,24.62820316721301,461.0,423.0,193.0,0.0,319.0890598753721,581.9598791501278,1445.9059317889632,0.0,1.1693968986495105
46,258.20017877380195,170.45378933278636,103.04113658502192,187.0,0.0,526.1441417378226,1347.42,2305.099246429433,0.0,6.289999999999964
47,253.47866531225196,295.0,388.0,107.89328451757235,0.0,963.5,1535.6,3021.571949829825,0.0,46.80999999999949
48,530.0,244.0,325.0,159.0,0.0,1093.01,1686.6031876537463,3249.0258958879467,41.802708234200566,0.0
49,559.0,183.0,282.0,149.0,0.0,253.10266120806924,2138.55,3244.2903806785375,147.18229235370558,0.0
50,526.0,219.0,130.22411610091856,26.185471364946988,0.0,794.63,2374.22,3176.6003900334003,221.02,0.0
51,376.72119337077606,219.0,282.0,135.0,0.01,785.16,2653.84,4423.581122771167,251.62000000000037,0.0
52,520.0,231.0,295.0,112.92548253649387,0.0,785.61,2919.06,3797.4254825364933,124.87000000000036,0.0
53,538.0,241.0,325.0,182.0,0.0,851.169608529308,2912.02,4446.076020997413,148.88999999999942,0.0
54,660.0,315.9346131937191,519.0,38.681642528400765,0.0,1092.59,1360.9984119034702,3235.1646676255905,105.80000000000018,0.0
55,441.05491925738266,28.308328698211948,676.0,191.0,0.4545542272907588,1049.22,2707.34,4771.624754333469,52.43000000000029,0.0
56,654.94,459.04,676.46,141.80715596228197,2.99,1031.48,2349.9,5316.334454892779,21.10065276056421,0.0
57,693.74,274.32447861357383,651.33,197.18,13.48,979.8,1507.636114850653,3538.4635250885913,5.0499999999995,0.0
58,641.42,428.72,546.14,186.94,29.06,995.98,457.896783812615,4357.036783812615,64.99000000000001,0.0
59,643.22,444.52,536.03,184.54,39.29,584.4982138986078,947.4368135469872,3274.3346814646466,47.38000000000068,0.0
60,615.96,304.66132607050884,691.35,193.72,51.84,691.55,856.4,5180.263387268136,0.0,51.88
61,619.12,472.92,403.7554574402193,193.84,44.75,579.56,600.66,4786.245862855154,0.0,77.51999999999998
62,685.66,480.56,3.0623850142356104,195.62,17.15,377.29,461.1,4072.6013495644047,0.0,152.93000000000004
63,692.98,19.355200481469502,201.2515412483351,57.59662460211479,0.97,360.94,363.71,3920.114892713878,0.0,13.50847361804063
64,717.0,449.0,935.0,110.04217623499396,0.0,293.84,334.63,5470.274972183044,0.0,7.367204051949311
65,56.439882074330335,459.0,923.0,82.87904999733755,0.0,127.93,275.8435333936484,4414.452465465316,0.0,123.10000000000036
66,753.0,467.0,677.0,190.0,0.0,147.72,317.456802256864,5002.2528913302185,0.0,52.71391092664548
67,765.0,124.1897406893372,491.0,190.0,0.0,362.4,291.72,4193.473811947915,0.0,148.2599999999989
68,729.0,389.0,176.20627870983225,180.0,0.0,466.64,296.9,4028.406278709832,0.0,67.68000000000015
69,678.0,366.0,424.0,182.0,0.0,507.42,136.64983091602872,3665.8269370331873,0.0,17.49289388284223
70,677.0,353.0,418.0,180.0,0.0,127.2359901566828,538.35,3281.6264009639835,0.0,5.019589192700149
71,639.0,359.0,482.0,183.0,0.0,469.95,546.02,2186.5555402750606,0.0,98.95999999999913
72,617.0,331.0,460.0,120.21863081153558,0.0,468.8620027507124,632.01,4238.889394024242,4.3562548111164086,0.0
73,607.0,329.0,118.61763575436242,173.0,0.0,251.37867300625317,368.2235947188604,2091.949903479476,29.39999999999964,0.0
74,437.4964008984755,335.0,425.0,170.0,0.0,725.29,942.8,2489.8642075525195,8.8799999999992,0.0
75,560.0,337.0,112.96824458796718,173.0,0.0,712.94,1045.33,3028.068244587967,39.9399999999996,0.0
76,585.0,349.0,443.0,175.0,0.0,175.46102599101337,1049.31,3055.92341311144,11.472929176084646,0.0
77,594.0,367.0,503.0,179.0,0.0,536.9266583864296,151.6784611238026,3268.415119510232,0.0,21.77999999999986
78,634.0,451.0,745.0,183.0,0.0,539.13,908.15,4525.362145664668,0.0,28.44000000000051
