,biomass,gas,hydro,other_fossil,solar,wind_onshore,demand,s_l,s_r
0,4.468173735328767,35.68670790775018,105.57,40.56,0.0,84.622067582645,732.9762300641212,126.31000000000006,0.0
1,30.13579029305229,45.91,104.22,40.67,0.0,288.27,927.7686367979045,88.10284650485207,0.0
2,34.61182603583899,45.88,13.399576993377243,40.12,0.0,276.39,633.7670415513614,12.85140609697918,0.0
3,51.53,18.30650724030929,14.688604831627826,25.816707075885414,0.0,256.84,851.2298678322584,48.97999999999993,0.0
4,51.76,0.1651865764099915,105.38,39.92,0.0,269.47,933.8927704832649,0.0,20.620000000000037
5,37.91429714946901,45.54,83.69475542423261,29.870827489377785,0.0,289.13,834.5936667151702,3.042990641923869,0.0
6,51.61,45.64,105.39,39.79,0.95,306.19,1037.0000000000002,106.8300000000002,0.0
7,51.4,45.42,105.41,23.79038694626216,0.5421259873028035,292.84557983960656,1092.866138610677,89.39000000000006,0.0
8,50.06783877146812,13.888263018890646,105.44,39.75,0.5810439609480706,86.89556596101465,806.0027117123213,110.64999999999982,0.0
9,37.34607342529828,15.395928579825142,6.683398870415845,40.48,2.78,384.38,933.8813234413279,100.90592256578869,0.0
10,51.46,44.96,72.01653269583889,40.57,3.47,287.7860038841598,1066.1125365799987,189.6500000000001,0.0
11,50.36347519808273,44.98,32.98735332258887,6.566287431605758,3.21,364.06,883.5428247328038,222.0299999999999,0.0
12,50.95,44.95,16.994497280770453,38.67,1.39,331.43,960.4116872512911,72.3927083947342,0.0
13,50.97,45.18,15.98669951080436,38.11,0.02,262.83,1146.5166995108043,292.72,0.0
14,50.99,45.23,105.32,39.18,0.0,214.29,1161.189069500479,118.17906950047916,0.0
15,50.95,45.26,105.46,39.52,0.0,196.5157172614984,1282.7757172614984,237.04999999999995,0.0
16,50.96,39.02425698227858,105.42,39.49,0.0,209.1433734811973,1107.940032570824,170.77240210734814,0.0
17,44.67125698007995,11.166951048620186,105.44,40.97,0.0,280.11433542942405,1127.7101890070267,181.4276455489027,0.0
18,51.04,45.32,82.89008851130086,40.12,0.0,336.05,1322.450088511301,367.26,0.0
19,50.91,45.56,19.752417119280867,32.66585478207299,0.0,271.83307647062406,625.2813697729048,397.1900000000001,0.0
20,22.58657929675798,39.789333789288,105.4,39.68,0.0,160.5614797705166,724.9704880245729,85.75309516801038,0.0
21,50.14,4.251639352428226,103.06,39.74,0.0,35.55315297417846,714.6559624342776,528.1800000000001,0.0
22,49.84,45.84,76.42,39.61,0.0,298.41,908.9391686507024,220.52998563580653,0.0
23,26.740592879838218,45.96,55.37,32.733884662541065,0.0,148.90385293434252,590.9606210124651,125.30580924768668,0.0
24,49.93,46.05,55.37,40.34,0.0,343.42,880.7885416885131,272.7,0.0
25,50.04,45.99,37.44047078772155,30.373584551029552,0.0,311.23,740.8061170376662,229.26999999999995,0.0
26,50.23,46.02,55.4,40.17,0.0,320.29,946.0,265.19,0.0
27,51.08,46.08,55.39,27.51167053736636,0.0,304.91,932.7405392998812,199.1688687625148,0.0
28,48.677492965944765,45.88,55.36,38.57650904407188,0.0,288.61,793.8861069898668,310.69000000000005,0.0
29,52.03,11.609715331084162,6.05600627334579,39.39,0.0,271.02,1292.286403565021,468.0548792584545,0.0
30,52.17,36.81958803762408,105.63,39.06,0.94,230.68,1232.0611232707938,202.96153523316977,0.0
31,8.959432321911379,46.1,105.7,23.60912471100037,1.2478058646162506,168.71527865084573,749.0722066521075,138.535175946294,0.0
32,48.37852953994927,45.94,105.68,40.44,1.568269187093997,147.56,2091.8724260453355,670.6199999999999,0.0
33,49.85096666843972,45.9,105.68,21.05702556546544,6.52,125.82,499.6853986366745,296.6547803284026,0.0
34,52.04,13.127192592907996,101.17879743321284,40.41,5.06,90.57,1059.0046464265981,357.95344490610324,0.0
35,51.92,46.11,147.1,39.92,3.14,78.42,1450.9346309312248,701.1199999999999,0.0
36,22.070411912421807,18.713795343023875,140.2515753979475,10.684093004899326,1.68,38.59536102542938,1488.1579782746653,560.6090745932843,0.0
37,51.69,46.12,105.64,29.619330678669183,0.03,81.97,1167.667233220135,719.8399999999999,0.0
38,51.56,46.17,140.25106225421862,0.5000229304597293,0.0,71.58001861548243,475.1115926625934,558.4864457094285,0.0
39,50.48412315004936,45.43552609327712,61.688864479836006,32.69656987211761,0.0,139.02,1268.5150835952802,599.08,0.0
40,32.237073886164794,8.863917861318646,532.68,38.73,0.0,135.73,1629.4909917474838,559.85,0.0
41,47.7054787401844,46.08,117.79,38.84,0.0,113.87,705.8262589701474,712.1499999999999,0.0
42,51.63,46.06,105.37,39.3,0.0,88.57,1727.5763342655184,735.3299999999999,0.0
43,51.5,6.648448500703345,105.38,31.019963294699554,0.0,70.43,1446.343051765346,656.6899999999998,0.0
