,biomass,gas,hard_coal,hydro,nuclear,other_fossil,solar,wind_onshore,demand,s_l,s_r
8325,339.0,6577.889936202842,0.0,3132.167862362468,53887.0,439.0,0.0,3900.0,69956.62890197028,2252.0800000000013,0.0
8326,303.5604227180841,6789.693243433711,0.0,4185.764842336321,53151.0,442.0,0.0,3710.0,69128.97161118162,506.8200000000015,0.0
8327,339.0,1978.943756778028,0.0,7147.0,27602.818754005115,426.4172894693701,0.0,3457.0,38316.42357319519,0.0,1232.7200000000012
8328,198.4768525910468,6629.421457575148,0.0,6284.0,53049.0,442.0,0.0,3199.0,68854.27721757101,0.0,60.5168157935564
8329,339.0,7273.0,0.0,6056.0,52751.0,444.0,0.0,3057.0,67906.74524250675,0.0,2412.429999999993
8330,251.1299209424952,7217.0,0.0,1149.5779293864923,52609.0,180.0687040559055,0.0,2954.0,61614.263059925244,0.0,1398.1899999999996
8331,271.8641499665166,7202.0,0.0,5214.0,52644.0,445.0,0.0,2810.0,66833.71573282001,0.0,251.27999999999335
8332,333.3333,7433.3333,0.0,7180.3334,4676.30071549749,560.3333,0.0,2683.0,21920.368591159524,928.8034000000044,0.0
8333,327.6667,7664.6667,0.0,9146.6666,53066.6667,460.1674946123007,0.0,2556.0,77113.02995221035,3272.9665999999943,0.0
8334,322.0,7896.0,0.0,4024.3094974893993,53278.0,67.28123861989475,0.0,352.26855072053496,69946.85928682983,1602.300000000001,0.0
8335,22.21251431131424,7894.0,0.0,14525.0,40000.61676030718,1459.0,142.0,2496.0,69709.16632008816,418.80000000000246,0.0
8336,326.0,6358.049832099045,0.0,13865.0,53273.0,109.01808806634166,471.0,1325.022077929501,78347.44850657214,118.8848273591051,0.0
8337,39.611988618390775,8081.0,0.0,13291.0,53471.0,1701.0,1268.0,1141.1995395675203,79828.35725172704,262.2600000000048,0.0
8338,284.2425459855069,8121.0,0.0,10144.166916748944,48399.37496387089,455.2980817489045,17.99976203028448,1828.0,71277.25338106503,8.21111068049568,0.0
