,hydro,nuclear,other_fossil,wind_onshore,demand,s_l,s_r
0,3972.970655429998,8542.0,1135.0,1577.5534833536994,14658.321832811038,699.3499999999995,0.0
1,4291.0,8540.0,924.6069644838772,517.5858489045148,13655.662529855297,651.0599999999986,0.0
2,1897.0730501333544,341.8167340792669,1056.0,1614.845181792813,3835.7853349444813,260.3925959086812,0.0
3,4242.0,8542.0,572.8539633550681,2154.0,15244.052583943048,740.1200000000013,0.0
4,3255.327387867731,8540.0,1053.0,2183.0,14138.152829502227,806.2900000000018,0.0
5,4638.0,8541.0,1060.0,2236.0,16534.240786056354,862.5000000000014,0.0
6,3402.9679304479696,8539.0,1064.0,2023.369729461822,13175.19880531933,630.9200000000014,0.0
7,5454.0,6709.09368466324,1070.0,2378.0,13716.270857824624,326.3590762491615,0.0
8,5895.0,8539.0,1101.0,2462.0,15870.564268528276,558.3799999999992,0.0
9,6725.0,8362.180144206272,238.8016783617445,2504.0,17024.435364055993,136.15237511486168,0.0
10,6763.577183773685,8539.0,200.2204009412303,515.3067091179336,15685.262735736891,394.9980448524662,0.0
11,7340.0,8537.0,1130.0,2479.0,19237.42007391394,0.1898625129358016,0.0
12,7461.0,1352.7841987596405,1122.0,1782.3665192448443,10470.608542463087,711.3699999999999,0.0
13,7703.0,8538.0,1132.0,27.91491150439967,16712.909842127134,710.2399999999984,0.0
14,8112.0,6182.417929338229,7.167967892123827,2439.0,15073.49152672716,656.1700000000005,0.0
15,8496.0,8213.231691265113,1135.0,2436.0,18656.90834921948,704.9699999999998,0.0
16,8655.0,4180.640944281292,1141.0,2482.0,13920.798575472301,54.52000201591986,0.0
17,8273.341212877534,8535.0,1141.0,2512.0,18352.406753868607,628.5506368398057,0.0
18,8517.0,8535.0,1137.0,2509.0,18695.689917127336,571.139999999999,0.0
19,8193.0,8536.0,1152.0,2454.0,18067.054809982536,630.69,0.0
20,8158.0,8538.0,1116.0,2416.0,18690.06666900288,661.5500000000011,0.0
21,6530.747687906461,8305.104572094942,284.0475920664932,2362.0,14501.930091298827,512.8545994965529,0.0
22,6679.0,8537.0,1109.0,766.9176987194379,15543.978950462904,14.409999999998943,0.0
23,5262.0,8537.0,248.76219825446077,2077.0,14487.834382884914,195.4799999999991,0.0
24,4989.0,8537.0,1090.0,2001.0,14879.019091872866,162.96909187286627,0.0
25,4908.0,8336.359273038264,1092.0,1663.5513294932575,14404.91060253152,328.4600000000014,0.0
26,95.8583784053197,2700.360195008398,1092.0,569.3132587803938,2925.877941145296,706.1700000000005,0.0
27,5354.0,7338.0,1095.0,1526.446219809123,15273.35831312523,1159.4543122100845,0.0
28,6135.0,7337.0,1108.0,1815.0,15300.114455618379,156.48837808159533,0.0
29,8340.0,1931.6399916276127,1078.6014743018247,1766.0,12000.712604703916,96.17999999999984,0.0
30,10743.0,5542.330980587624,1202.0,1043.057087230531,18198.611786336278,0.0,30.299999999998363
31,11711.0,6346.388663502302,537.3290844982344,1488.240809271961,17660.6460177493,0.0,208.42999999999984
32,12097.0,7330.0,1193.0,180.6276935781102,19255.136692395216,0.0,42.307566454012445
33,12253.0,730.7816293025352,300.5129899130479,310.12617198134313,11045.512984573865,120.81000000000132,0.0
34,12290.0,7320.0,688.4095014086622,378.1496739089851,18826.55917531765,208.39000000000124,0.0
35,12240.0,7319.0,1208.0,222.6468928719588,19244.529395188467,319.9300000000012,0.0
36,11354.61003566781,7318.0,1203.0,1266.0,18459.721934429097,206.20000000000076,0.0
37,10554.542715719988,7232.079213034195,1192.0,444.7669745181482,18421.603606966633,97.48000000000228,0.0
38,12352.0,1765.5046874776183,1132.0,451.0391053773708,15492.246580611809,136.54999999999927,0.0
39,12057.78017989017,7317.0,1112.0,1374.0,20923.9656091421,184.6399999999985,0.0
40,12213.0,7316.0,1138.0,1410.0,20982.959341164104,37.29464575547309,0.0
41,12031.0,7312.0,398.45021550617577,1445.0,20693.8752724771,20.233894607719268,0.0
42,11774.0,7318.0,1140.0,1429.0,20723.306364184267,94.31999999999972,0.0
43,10878.0,6139.718315667463,1115.0,1381.0,18733.87574676595,20.190967861742827,0.0
44,1399.5011484069505,7326.0,52.03193041411842,1326.0,10437.85315145966,68.56087066817301,0.0
45,8834.0,7329.0,1094.0,153.67144159716804,15818.373643175524,0.0,56.73999999999933
46,7654.0,6208.669095008587,1085.0,74.72097495873928,14559.052322042386,0.0,221.82999999999947
47,5614.0,848.2757537064386,128.0275074220065,1055.0,8666.303261128449,374.1600000000015,0.0
48,5413.0,2153.072317476178,1104.0,1038.0,10926.135541538071,369.5,0.0
49,5390.0,6852.882372257649,1097.0,145.21960515327945,14022.298467698121,339.8400000000008,0.0
50,2100.6426657351453,1780.418911379908,1110.0,1150.0,7398.431829483108,323.31999999999834,0.0
51,5637.0,7335.0,94.80089323669964,1259.0,13858.975675443173,224.19734545824727,0.0
52,5924.0,7335.0,1138.0,1436.0,16985.77968234094,295.10091799265103,0.0
53,663.6706482627817,482.0051842151731,1161.0,1597.0,4164.159226079639,0.0,254.77122716458285
54,9671.0,7333.0,1185.0,1756.0,18794.9040526962,0.0,336.0199999999986
55,3970.64989966263,7335.0,1142.0,1952.0,13093.876621596633,0.0,12.1299999999992
56,10067.0,7337.0,540.484223684114,1920.0403685503784,18259.996152339634,117.04999999999882,0.0
57,4136.417003740962,505.32499971213366,1079.0324585743786,2361.0,7556.762074092769,237.9976120652942,0.0
58,8001.636158068421,7335.0,1136.0,1113.0857726421634,16323.135088267656,557.9399999999991,0.0
59,9905.0,6559.3368139782815,1040.4158757352152,2283.156949349574,19676.026702037245,587.1800000000017,0.0
60,9721.0,1560.4240400329393,1048.1031295006092,2455.0,14544.771213091259,12.16122094211563,0.0
61,9819.0,7332.0,1154.0,395.6651001619682,19616.75187437177,1139.199999999998,0.0
62,9983.0,4174.253515906103,178.82512012668934,2398.0,17776.32100028424,935.8799999999984,0.0
63,10540.0,5854.009053521513,1237.0,2386.0,20969.938427282243,669.6599999999994,0.0
64,5923.3095878036565,7333.0,1112.0024463091577,2345.0,16693.899298786997,124.2632466735942,0.0
65,10120.0,7334.0,1240.0,2239.0,23482.881743335343,909.8700000000008,0.0
66,9548.0,7334.0,997.2372592121314,2128.0,21594.47037328544,1072.8700000000013,0.0
67,9093.0,7337.0,1237.0,1998.0,19632.564944514877,79.51741070608227,0.0
68,8569.0,7328.0,1066.4321436642483,1897.0,19508.30294637221,766.5399999999986,0.0
69,7554.90912278745,2521.986943847532,1246.0,1835.0,14199.84289794516,656.0300000000018,0.0
70,6709.0,7326.0,1225.0,1776.0,17408.90031601684,473.4503160168391,0.0
71,56.42135746551291,7414.0,1103.909978270024,1786.0,10955.346107583113,845.3699999999992,0.0
72,5406.676943640062,7277.648648225363,1230.0,1786.0,15642.213175342336,144.81635598355982,0.0
73,5449.0,7452.0,1222.0,1743.0,16177.707812074725,894.9500000000014,0.0
74,5420.0,7794.0,1238.0,2.75256564770911,14037.580671711119,531.5000000000005,0.0
75,5886.0,8028.0,1245.0,1749.0,16139.205949552601,0.0,13.159999999998943
76,6061.0,8135.0,293.0365052920576,1724.0,16773.41192956274,289.53999999999905,0.0
77,6257.740271771214,6358.310102628914,1309.0,1723.0,15911.434435228295,585.8690833501744,0.0
78,6927.442034181187,7816.0,406.2114884459029,1748.0,17002.93961427201,1356.429999999999,0.0
79,11549.0,2920.628834179784,1400.0,1691.0,14426.611341741527,782.3500000000013,0.0
80,4835.333738486298,8054.0,1386.0,1634.0,14803.04941050947,97.8599823435259,0.0
81,11880.0,7973.270403231854,911.8136769086636,1598.0,21488.04891691329,381.4977100333628,0.0
82,4206.378948645327,3435.202423798436,858.432811612715,1658.0,9044.75979856666,494.4499999999989,0.0
83,4054.73455237626,8225.0,312.30534111937186,1657.0,12090.43819139558,718.3499999999995,0.0
84,11479.0,8255.0,1410.0,1691.0,22664.835516807943,668.9598565181511,0.0
85,6615.37454631064,753.8883293122298,800.5370766714127,764.536081745995,7686.435258192215,519.9799999999977,0.0
86,11654.0,6618.530574140526,1397.0,1747.0,20934.96108849827,801.9499999999989,0.0
87,11700.0,8209.0,1344.1317980199967,532.5942795400956,21019.10946387877,704.5699999999993,0.0
88,11692.0,8209.0,54.381667706576266,1961.0,21702.527503340665,645.2000000000016,0.0
89,11260.0,8228.0,1425.0,1491.1265522522733,22150.498413961257,540.1299999999992,0.0
90,5531.306916449538,8336.0,1437.0,1998.0,16119.942481545775,744.460000000001,0.0
91,909.773957243104,8426.0,1412.0,1958.0,10897.366170746094,143.27982574872655,0.0
92,9267.752835454485,8451.0,1401.0,2006.0,20204.401165356332,537.2699999999995,0.0
93,8535.0,8454.0,1376.0,1988.0,19189.73559554336,939.69,0.0
94,6883.0,8456.0,873.2840788393709,2032.0,17660.88337451179,337.0699999999986,0.0
95,5644.0,3575.2921298419915,1361.0,1974.0,11387.521729230511,145.38983980439716,0.0
96,5506.0,8458.0,1356.0,1841.5970069340333,18279.041704982403,708.71,0.0
97,3158.5932089803027,8458.0,1359.0,1093.6183370495717,15327.887087844183,695.0700000000011,0.0
98,3845.992962976536,8347.958039818486,1364.0,2035.0,14911.244737589945,553.2155552540928,0.0
99,6181.0,8458.0,1399.0,2058.0,18381.531339033096,398.5693473823157,0.0
100,6574.0,3463.1784194941592,1081.3006157645634,2044.0,12798.882641370863,395.6899999999987,0.0
