,biomass,gas,hydro,oil,other_fossil,other_renewable,solar,waste,wind_onshore,demand,s_l,s_r
545,9.697338753795204,1.0000000009402592,2.450165206322259,1429.0912090698957,20.8776141386706,0.8923371439038303,0.7000000006579907,9.031156902321241,14.760179469397661,1311.0000005435609,0.0,177.5000001423441
546,225.0840155401863,0.9960097363960998,2.7000000028773434,667.2029656773661,170.95735471745493,4.6000000054145715,0.7000000006783959,16.40000005502892,423.45965430515554,1272.2000000210187,0.0,239.90000001953956
547,71.8000000605254,1.0000000009378582,2.700000002525392,1209.8000003883287,62.50000005339537,4.600000004289596,0.7000000006568139,16.60000001519167,157.10000011804237,1223.4000000925016,0.0,303.40000055139126
548,72.1000000719936,0.7031200126949058,1.7825192971989763,1221.743833973381,58.680343816296364,4.600000004337416,0.6901834564280246,16.100000015326373,178.00000019585897,1138.9000005525738,0.0,415.5000002909418
549,72.20000008375493,1.0000000009418333,2.7000000025544226,1349.6277652531694,59.30000006601915,4.093085546024587,0.7000000006587611,6.036646917862096,7.342502587012292,1032.6000002606872,0.0,470.40000019731025
550,71.40000007169088,1.0000000009402004,2.700000002542447,1114.9458198694983,57.60000005707459,4.600000004339036,0.700000000657962,11.754180575657236,195.40000022286392,968.2000004852924,0.0,491.9000003199721
551,40.057773102345585,1.0000000009374919,2.7000000025227373,703.10000027579,56.80000004795203,1.8395679241649303,0.7000000006566343,13.696863285966021,36.42670717887155,739.3209116760836,0.0,117.00000014312337
552,71.10000004130751,1.0000000009312722,2.7000000024781987,611.4000000910988,56.80000003574208,4.60000000415519,0.7000000006535769,15.90000001312515,210.00000006990436,924.4000001770299,0.0,49.80000008236625
553,70.70000010997065,1.000000000944644,2.700000002575204,551.1843579452665,54.70000007408659,4.600000004435321,0.7000000006601349,15.282290745292956,273.133351292762,926.2000001405771,0.0,47.800000035416765
554,67.50000003535814,1.0000000009284407,0.11259468892986983,604.400000070067,55.10000003141563,1.1173714977406963,0.7000000006521809,10.49649770416651,30.968551335828554,727.3950152794993,0.0,44.000000085587764
555,69.00000007949262,1.000000000941872,1.582123212627771,605.4262870031405,53.50000005865201,2.3683950413265116,0.03827022142791908,11.00000001064624,233.70000058596764,977.7000002539666,0.08492403974342766,0.0
556,68.90000007161446,1.0000000009406658,2.700000002545852,783.3002381301775,12.446006016898199,4.600000004348964,0.6408908995190644,16.900000016258904,248.80000035821774,1106.000000408208,0.0,33.287135092313335
557,45.08083238424783,1.0000000009385788,2.7000000025306226,978.2000005089174,56.700000050885286,3.2092151323482887,0.7000000006571672,16.80000001556576,244.00000019085297,1341.8522797692588,0.0,6.537768517684954
558,68.30000010526271,1.1737389464063133,2.7000000025760156,877.6197976505347,56.30000007798958,4.455465735082038,0.7000000006601883,16.000000016542952,358.19631046700687,1385.100000145876,0.0,0.34531285618532354
559,65.60000000615013,1.5517934701288953,2.7000000018496144,990.1000000067822,58.88332971927617,0.03532397794627775,0.23358286018951688,9.078976257535164,241.50000000663223,1380.2720253908435,10.589019084353271,0.0
560,67.50000005853107,1.0549442587474596,2.700000002527828,983.500000417354,61.00000005328929,0.21191800531715,0.7000000006569786,16.400000015099792,25.204273360177396,1176.271136188242,18.00000001654071,0.0
561,68.10000006961162,2.108073407893425,2.7000000025444253,1153.0347078196435,59.40000006004201,3.9589869985836965,0.7000000006580943,16.40000001571203,79.79823211095069,1393.300000492366,7.100000006726141,0.0
562,68.20000008202636,2.7000000025584296,1.1301282148133445,926.586808548522,57.60000006638443,4.600000004385796,0.35334303457975536,16.2000000160525,256.40000136290996,1334.9702813333643,1.2000000011316276,0.0
563,68.30000006924645,1.1251016195708279,2.256627375443867,1051.3442341550362,13.558653257405732,1.6900506310730468,0.7000000006580417,16.200000015487447,255.40000033081841,1410.8000005263161,0.22533307157580518,0.0
