,biomass,gas,hydro,nuclear,other_fossil,solar,wind_offshore,wind_onshore,FR -> BE,NL -> BE,demand,BE -> FR,BE -> NL,mismatch
1023,354.80000112463546,3238.370004792519,64.65000014141391,4970.800006682076,1006.2200003691473,304.1200005370313,329.0800006248034,195.1300005539698,0.0,1605.9000000912129,11589.000137279974,480.06987763683514,0.0,2.2737367544323206e-13
1024,351.780001136059,3627.89000573899,218.8900004761683,4971.850007496606,997.5700003682072,51.52000009274348,314.60000060382123,200.69000057471408,0.0,1581.3600000899582,11860.000044533508,456.14997204375913,0.0,1.3642420526593924e-12
1025,356.2800013601646,3646.9000254156254,959.1300027552248,4995.839983979077,1017.1500003952839,0.0,326.630000684101,220.68000068952696,0.0,2030.9700001171425,12564.00000649165,989.5800089044972,0.0,-2.2737367544323206e-13
1026,354.88000135847705,3641.5200269824477,671.7000017751008,5115.179981795972,1032.9900004021047,0.0,338.1300007113084,303.27000097785395,0.0,2175.200000125542,12343.000006360839,1289.8700077679696,0.0,-3.637978807091713e-12
1027,354.1900013539514,3452.170021680422,76.48000017147776,5077.329988056333,985.2500003825967,0.0,388.9900008278047,421.08000141726285,0.0,2131.100000122951,11784.000006309792,1102.590007703005,0.0,4.092726157978177e-12
1028,353.650001349498,3145.7400159398085,216.00000050170425,5023.989994489259,935.1400003621944,0.0,453.5700009793225,478.19000164204,0.0,2069.920000119241,11179.000006256658,1497.2000091264088,0.0,2.2737367544323206e-13
1029,340.810001296188,2712.30001124537,44.76000009956477,5101.329998861425,932.2100003612275,0.0,638.5700014464762,529.2100018591183,0.0,2757.280000158788,11279.000006209564,1777.470009118595,0.0,-1.8189894035458565e-12
1030,321.3100010670659,2471.1700045325024,43.49000009567292,4972.300009171301,936.6000003488224,0.0,768.6200014988397,540.1100015705517,0.0,2640.2500001490644,11254.000020288086,1439.8499981457358,0.0,-4.547473508864641e-13
1031,321.05000104964654,2281.1200039386185,42.6200000936289,4973.130008078336,941.0300003486652,0.0,783.9300014949413,571.360001621746,0.0,2907.490000164092,10833.000027521834,1988.7299892678407,0.0,1.3642420526593924e-12
1032,317.85000105796826,2269.8400041991586,42.42000009333753,4972.330009357214,923.5600003442188,0.0,678.0700013257601,536.4400015651256,0.0,2642.750000149438,10424.000018110723,1959.2599999815013,0.0,-3.865352482534945e-12
1033,308.5700010064246,2435.8200041395867,42.48000009329621,4972.250007888749,921.3500003410682,0.0,635.9200012130274,521.2100014758496,0.0,2560.8600001441546,10046.00002682054,2352.4599894816165,0.0,0.0
1034,308.24000100143644,2425.4800040578857,42.490000093284166,4973.9900076550775,944.6100003491533,0.0,608.6000011566694,464.580001312233,0.0,2347.2500001321014,9825.000028906863,2290.23998685098,0.0,-1.8189894035458565e-12
1035,336.53000109047144,2302.030003857287,42.84000009404494,4972.650007612781,946.3800003497176,0.0,682.9000012929823,649.5900018131457,0.0,2150.720000121165,9859.0000296671,2224.639986564493,0.0,1.3642420526593924e-12
1036,352.9400011626891,2274.5300040514626,43.090000094729795,4971.850008615277,944.5300003509134,0.0,701.3200013543839,733.3100021023066,0.0,2348.6000001327698,10249.000021312408,2121.1699965521243,0.0,1.3642420526593924e-12
1037,352.4900011726693,2811.8700051987344,43.11000009484934,4971.330009287979,965.0400003595993,0.0,761.0800014871778,727.690002123659,0.0,2581.8700001469315,11142.000019571982,2072.4800002996167,0.0,1.3642420526593924e-12
1038,350.03000133321854,3052.030014635608,43.43000009655652,5008.499994254829,948.8200003676792,0.0,800.4100018848742,736.3900028043473,0.0,2291.8900001155653,11858.0000063761,1373.500009116576,0.0,4.320099833421409e-12
1039,352.5800013445159,3190.6300165420053,172.30000039569777,5012.439991892742,957.6900003712683,83.28000015279514,816.6300019315512,738.480002815379,0.0,2246.8800001298146,12003.000006395796,1567.9100091799733,0.0,2.2737367544323206e-12
1040,339.9900011305066,3146.7900058153014,132.07330029070104,4971.630009257946,941.6600003508353,489.40000088462773,823.6500016090326,720.5400021011071,0.0,2336.770000133102,11958.000021083926,1944.5033004892318,0.0,-1.5916157281026244e-12
1041,340.6700011339851,2987.650005546382,90.39670019896501,4970.0800093363205,953.3200003553023,1039.0000018855897,817.1600015987146,679.0300019832263,0.0,2091.720000119196,11694.000020243708,2275.026701913972,0.0,3.637978807091713e-12
1042,343.1500011433888,2825.9200052647525,50.95000011212185,4971.320009413937,924.8600003447854,1419.0600025867116,827.210001620724,753.8100022073351,0.0,2045.9100001049503,11586.000019731653,2576.190003067055,0.0,-1.8189894035458565e-12
1043,346.22000115431297,2793.6500052165397,41.190000090639884,4969.800009454078,917.9600003422667,1538.9200028115088,830.3000016281045,914.3500026860386,0.0,1737.5600000990212,11186.000018926627,2903.950004555883,0.0,4.547473508864641e-13
1044,350.3400011467483,2689.4300046455655,37.43000008225471,4970.16000821536,918.0500003404414,1534.850002683894,829.2600015849274,1097.270003072834,0.0,2005.71000011404,11173.000027069895,3259.4999948161726,0.0,-1.3642420526593924e-12
1045,354.6600011605679,2812.640004844289,35.930000078960724,4971.7500082111665,904.3500003353691,1299.780002283057,827.3900015811704,1012.0400028411018,0.0,1982.8400001127625,11093.000026887994,3108.3799945604496,0.0,3.637978807091713e-12
1046,351.93000117100297,2912.9900053925826,37.75000008305492,4970.840009299589,920.1100003428597,896.5700016246095,829.6900016221981,938.7400027450913,0.0,1497.4100000853857,11169.000019559235,2187.0300028071388,0.0,9.094947017729282e-13
1047,358.52000118725425,2949.2500053424797,124.90000027463427,4971.690008963616,944.9200003516107,351.0400006327527,826.9000016061879,840.600002431934,0.0,1243.7700000709478,11307.000021517482,1304.5899993439377,0.0,-3.410605131648481e-12
1048,355.0100011708705,3208.5200056937874,441.9900009677109,4971.180008692403,1011.0900003757297,42.09000007590358,813.5800015717514,615.170001770313,0.0,1218.520000069489,11810.000024392577,867.1499959953817,0.0,-1.8189894035458565e-12
1049,354.2200013540109,3228.640017495515,881.5400024808911,5070.479989774788,1006.1000003910435,0.0,799.8700018880738,484.49000167075826,0.0,1600.1300000921426,12478.000006414659,947.4700087325685,0.0,-6.707523425575346e-12
1050,351.9300013450878,3235.350017805889,505.47000127204024,5096.8999897265985,991.400000385177,0.0,801.9300018962621,470.66000161606013,0.0,2183.990000126099,12307.000006364076,1330.630007809137,0.0,2.0463630789890885e-12
1051,352.93000134638913,3211.1200169014805,463.07000114916036,5020.479990594058,999.6500003882662,0.0,806.560001903363,543.1000019125813,0.0,1899.3700001095258,11800.000006356744,1496.2800079480814,0.0,-1.1368683772161603e-12
1052,350.6200013353546,3256.7000174447394,272.22000064143384,4992.939990556319,983.950000381835,0.0,795.0900018688582,568.100002018383,0.0,1969.670000113495,11192.000006277063,1997.290008083357,0.0,0.0
1053,354.31000135416326,3234.1500175448946,183.51000042285435,5067.989992237656,987.1800003833529,0.0,738.0000017134366,494.31000171075823,0.0,2322.4300001188885,11332.00000624471,2049.8800092412944,0.0,-1.3642420526593924e-12
1054,355.70000136021696,3198.1500169656574,159.4700003651792,5066.999993121578,1003.1500003898205,0.0,699.5600016079427,455.010001550917,0.0,2639.6200001512043,11308.00000624234,2269.660009270178,0.0,-2.2737367544323206e-12
1055,356.1200011620336,2462.5800042277924,46.30000010169854,4970.930008052799,995.7100003687772,0.0,649.5500012424814,481.1500013698167,0.0,2732.240000152724,10828.000027758637,1866.579988919484,0.0,1.8189894035458565e-12
1056,353.9100013511518,2199.280007276076,72.49000016234528,5038.980002974515,1022.460000397558,0.0,608.0200013640297,491.8700016987207,0.0,2623.1500001494596,10437.000006114624,1973.160009259233,0.0,-2.2737367544323206e-12
1057,355.32000115965343,2093.070003627267,42.87000009417561,4972.540008063745,974.69000036105,0.0,623.8000011942438,478.05000136141757,0.0,2713.3500001523726,10106.00002519353,2147.689990820392,0.0,4.092726157978177e-12
1058,351.72000114130543,2026.8300034550587,43.22000009489683,4973.100007740386,946.1600003498997,0.0,633.4300012048085,420.01000119146175,0.0,2732.640000153348,9931.000028198774,2196.1099871323927,0.0,-3.183231456205249e-12
1059,355.7300011517936,2047.8500034681276,43.840000096240054,4972.640007639904,953.9900003525669,0.0,708.0300013400531,440.9000012466936,0.0,2699.4100001515153,9967.000029777517,2255.3899856693793,0.0,-2.2737367544323206e-12
1060,355.9800011614468,2149.3100037163713,44.1100000968937,4974.050008049776,962.32000035646,0.0,745.9000014229217,505.5300014376257,0.0,2790.500000156737,10365.000026236257,2162.6999901619756,0.0,9.094947017729282e-13
1061,353.19000117151336,2735.7400049921876,44.0500000968942,4973.320009078336,970.8400003614306,0.0,765.9900014911511,594.1200017245197,0.0,2374.6900001348954,11333.000020947582,1478.939998103348,0.0,-2.2737367544323206e-12
1062,353.1400013468481,2982.3200137899694,195.27000045108633,5013.2099951233495,1009.2400003921148,0.0,797.9900018780028,630.4200022976116,0.0,2226.8700001286456,12018.00000640069,1190.4600090069368,0.0,-2.5011104298755527e-12
1063,356.9900011864772,3289.4200060640296,256.38000056449266,4973.230009218547,1010.4000003763955,100.12000018067482,822.6900016058567,698.5700020346678,0.0,2223.5400001266903,12164.000021656313,1567.339999701521,0.0,-6.821210263296962e-13
1064,350.560001166948,3290.6700061177294,265.5300005851333,4973.280009337504,1006.6600003751972,486.43000087993266,814.3800015930988,621.9400018153244,0.0,2524.2200001437895,12180.00002105723,2153.6700009574265,0.0,2.2737367544323206e-12
1065,349.02000116234115,3211.570005982076,40.37000008882681,4975.320009376139,987.430000368076,986.8500017914957,800.0100015658255,470.3300013716517,0.0,2563.8400001460377,11938.000020492924,2446.740001359545,0.0,1.8189894035458565e-12
1066,351.38000117076945,2694.970005012657,40.45000008900599,4975.090009410167,961.8500003585792,1403.1400025565663,779.1900015257663,474.18000138368336,0.0,2763.950000157314,11811.000020131834,2633.200001532675,0.0,9.094947017729282e-13
1067,351.2600011712797,2369.5100044097826,42.28000009303993,4973.250009465806,945.80000035267,1563.5400028575039,666.8400013057801,525.1200015347887,0.0,2840.0000001616095,11437.00001929421,2840.6000020580527,0.0,-4.547473508864641e-13
