,hydro,nuclear,other_fossil,wind_onshore,DE -> SE,DK -> SE,FI -> SE,LT -> SE,NO -> SE,PL -> SE,demand,SE -> DE,SE -> DK,SE -> FI,SE -> LT,SE -> NO,SE -> PL,mismatch
0,4407.000017112049,9241.349986244117,1135.0000002081358,2199.0000059537933,75.9000001586742,1123.9000084171576,0.0,0.0,0.0,3.740000442354072,15714.000009768703,0.0,0.0,966.1000000002917,206.30000000207608,1299.490008765214,0.0,-4.547473508864641e-12
1,4291.000016077266,9191.059966911898,1142.0000002094234,2253.0000061486808,76.00000015891048,1340.0000200409424,0.0,137.50000120470713,0.0,173.49001125060497,15745.00000980877,0.0,0.0,937.8000000002831,0.0,1921.2500121933842,0.0,-3.637978807091713e-12
2,4259.000015818262,9187.64995965089,1056.0000001934443,2224.000006035736,75.90000015872891,1312.6000185089467,0.0,157.90000250471186,0.0,249.40001346505406,15508.000009763367,0.0,0.0,782.2000000002362,0.0,2232.25000657217,0.0,-4.547473508864641e-13
3,4242.000015857364,9282.119958792577,1053.000000192913,2154.000005794253,75.90000015873747,1262.4000153066388,0.0,156.9000032778856,0.0,371.580017028581,15324.000009660034,0.0,0.0,789.0000000002383,0.0,2484.900006748677,0.0,2.7284841053187847e-12
4,4376.0000167210355,9173.425059363903,1053.0000001928845,2183.000005877093,76.00000015958074,1207.300011454042,0.0,149.72000332147115,0.0,510.5149194283078,15516.000009773128,0.0,0.0,805.7700000002433,0.0,2407.1900067449433,0.0,0.0
5,4638.000018753539,9078.052944627758,1060.0000001941557,2236.000006051705,75.80000015927027,991.8000017280991,0.0,20.100001987077064,0.0,524.6870508146208,15784.000009898875,0.0,0.0,543.350000000164,0.0,2297.0900144171865,0.0,-1.8189894035458565e-12
6,5051.0000222363215,8871.486118850311,1064.0000001948417,2309.000006274143,75.80000015923042,1284.8000123697484,0.0,116.30000049025817,0.0,539.7938646298567,16028.000010099633,0.0,0.0,769.1200000002323,0.0,2515.060015104847,0.0,-1.8189894035458565e-12
7,5454.000027059032,8857.867353119103,1070.000000195949,2378.00000653573,75.80000015921692,1244.3000020453335,0.0,121.20000088264304,0.0,486.9026273781299,16258.000010163067,0.0,0.0,701.5000000002118,0.0,2728.570007211861,0.0,-4.092726157978177e-12
8,5895.00003402379,8839.814181404498,1101.0000002016975,2462.0000068662,69.3000001453949,1062.7000017946089,0.0,125.20000217849778,0.0,442.9757994726363,16580.00001023901,0.0,0.0,775.2000000002341,0.0,2642.790015848075,0.0,1.3642420526593924e-12
9,6725.000064875471,9154.52994996799,1111.0000002036486,2504.000007152827,65.80000013746361,1295.4000018937772,0.0,0.0,0.0,0.21000002532243153,17108.000010104137,0.0,0.0,1151.3000000003476,64.5000000006471,2532.140014151366,0.0,1.3642420526593924e-12
10,7081.000092475858,9210.669915436243,1122.0000002057113,2449.0000069429325,65.90000013767681,1302.1000019553628,0.0,0.0,0.0,0.0,17322.000010099782,0.0,0.0,1223.5900000003694,69.70000000069925,2615.3800070529333,0.0,9.094947017729282e-13
11,7340.00012634458,9222.389881587857,1130.0000002072038,2479.0000070748333,65.90000013765595,1319.2000019475774,0.0,0.0,0.0,0.0,17577.00001013366,0.0,0.0,1168.0000000003527,96.60000000097004,2714.890007164728,0.0,-2.2737367544323206e-12
12,7461.000153874712,9249.369854264334,1122.0000002057238,2435.0000068990657,65.90000013762501,1339.600001963379,0.0,0.0,0.0,0.0,17674.000010131957,0.0,0.0,1196.4000000003614,22.800000000228568,2779.670007212294,0.0,9.094947017729282e-13
13,7703.00024052179,9248.239767725136,1132.0000002075833,2373.0000066434222,65.9000001375858,1331.000001986184,0.0,0.0,0.0,0.0,17940.00001017924,0.0,0.0,1339.6200000004044,10.200000000102232,2562.2200070419276,1.1000000000307801,-4.092726157978177e-12
14,8112.001106144643,9194.168901473642,1129.0000002070087,2439.000006896849,65.90000013748985,1300.10000195158,0.0,0.0,0.0,0.0,18464.000010309945,0.0,0.0,1414.6300000004273,190.50000000193018,1988.6400064938018,182.40000000510466,2.7284841053187847e-12
15,8664.110195667281,9074.859808836269,1135.000000208086,2436.0000068426953,66.00000013755931,985.5000044080397,0.0,0.0,0.0,0.0,18882.000010475407,0.0,0.0,1394.9600000004214,211.5000000021351,1373.910005608,499.1000000139701,-2.7284841053187847e-12
16,8909.512501098616,8985.857504414911,1141.000000209175,2482.0000070027695,65.90000013728171,690.2000012274036,0.0,0.0,0.0,0.0,18964.0000105569,0.0,0.0,1569.390000000474,545.7000000055572,597.9800035105011,597.4000000167237,1.8189894035458565e-12
17,8761.354660770381,9027.325344823692,1141.0000002091883,2512.0000071431245,100.50000020977491,365.0000007185387,0.0,0.0,0.0,0.0,18724.00001048265,0.0,0.0,1485.1400000004485,536.4000000054673,564.2400033694057,597.4000000167241,2.7284841053187847e-12
18,8632.374432543891,8990.765573042303,1137.0000002084334,2509.000007117016,172.50000036150638,701.2000025197857,0.0,0.0,0.0,0.0,18444.00001046411,0.0,0.0,1444.6200000004362,430.3000000043764,1226.5200053072858,597.400000016724,1.8189894035458565e-12
19,8193.002509455438,9166.687498139438,1152.000000211279,2454.000006951222,198.6000004167912,680.4000012151521,0.0,0.0,0.0,0.0,17962.000010241725,0.0,0.0,1273.2600000003845,283.1000000028729,1728.830006127613,597.5000000167264,-3.637978807091713e-12
20,8158.002089002336,9199.547918935677,1116.0000002045938,2416.0000068037684,248.10000052223307,541.2000009720957,0.0,0.0,0.0,0.0,17307.00001010255,0.0,0.0,1555.5600000004697,324.90000000332,1893.8900063176334,597.5000000167271,3.637978807091713e-12
