,biomass,gas,hydro,lignite,nuclear,other_fossil,other_renewable,wind_onshore,AT -> HU,RO -> HU,RS -> HU,SK -> HU,demand,HU -> AT,HU -> RO,HU -> RS,HU -> SK,mismatch
0,112.0000008741722,622.0000007658878,5.000000011480554,283.0000004364211,1937.0000023392072,101.00000000298917,9.00000020011413,141.00000027815122,340.91000001690435,0.0,0.0,1431.7000000002054,4015.819923968191,0.0,266.95008437620555,699.8399965811361,0.0,4.547473508864641e-13
1,88.0000006995168,634.0000007703192,5.00000001147866,299.0000004563881,1901.0000022362728,96.00000000284112,6.000000134491078,143.00000028079285,371.8600000184346,0.0,0.0,1335.7300000001917,3831.6384971929074,0.0,384.4214941924148,663.5300132254054,0.0,-4.547473508864641e-13
2,78.00000062229806,530.0000006511038,5.00000001147667,267.00000040829747,1861.0000021351857,96.000000002841,6.000000134218764,158.00000030732411,346.03000001715236,0.0,0.0,1332.9100000001913,3758.2194773931665,0.0,501.0804768488046,420.64005004811844,0.0,-6.821210263296962e-13
3,77.00000061302232,513.0000006302758,5.00000001147591,266.0000004059243,1719.0000020079094,100.00000000295925,6.000000134115079,154.00000029944198,312.7500000155022,0.0,0.0,1363.3800000001957,3750.198495200707,0.0,445.7914704443466,320.1400384757684,0.0,-4.547473508864641e-13
4,80.00000063569291,648.0000007748143,5.000000011476425,265.00000040515346,1636.0000019607642,112.0000000033142,7.000000155920549,119.0000002345472,318.44000001578434,0.0,0.0,1345.000000000193,3716.0698467217962,0.0,510.43013078185345,308.94002669401056,0.0,2.2737367544323206e-13
5,98.0000007618327,661.0000007910719,5.000000011477045,267.00000040876904,1636.0000019789165,117.00000000346212,11.000000241413163,97.00000019287076,387.41000001919855,0.0,0.0,1369.4900000001965,3791.8048240954895,0.0,560.975159552105,296.12002076161343,0.0,2.2737367544323206e-13
6,114.00000087022754,640.0000007716995,5.0000000114775665,264.0000004051533,1638.000001996254,115.00000000340302,13.00000028343906,81.00000016206845,366.29000001815194,0.0,0.0,1433.9800000002058,3841.631429761757,0.0,551.5485582286864,277.0900165316371,0.0,-4.547473508864641e-13
7,115.00000087963305,665.00000080013,5.000000011478067,283.0000004328538,1639.0000020124116,113.00000000334391,13.000000283743507,43.000000087206054,432.26000002141325,0.0,0.0,1404.9600000002015,4014.654504427368,0.0,428.1254835678664,270.44001653718044,0.0,4.547473508864641e-13
8,116.00000089462318,676.0000008186851,5.00000001147948,283.00000043487313,1671.000002084002,113.00000000334403,14.00000030544695,21.00000004293101,393.94000001951986,0.0,0.0,1402.8800000002013,4244.069902951331,0.0,212.0800880255034,239.6700136382719,0.0,8.526512829121202e-13
9,114.00000088840034,644.0000007903285,5.000000011480671,263.00000040760324,1786.000002221983,108.00000000319623,14.000000306290055,49.00000009936595,372.63000001846734,0.0,0.0,1503.5000000002156,4428.269963786385,0.0,166.6300257307304,264.23001523021554,0.0,2.2737367544323206e-13
10,117.00000091452391,681.0000008350593,5.000000011481607,259.00000040292457,1785.0000022566367,110.00000000325548,14.000000306957102,44.00000008941794,406.1800000201298,0.0,0.0,1503.7000000002158,4572.379980326343,0.0,118.2100126026982,234.29001191156152,0.0,3.410605131648481e-13
11,116.00000091048672,714.0000008731021,5.000000011482051,261.00000040641345,1785.0000022738736,114.00000000337383,14.000000307273742,25.00000005109345,406.01000002012364,0.0,0.0,1434.6400000002059,4600.339988272501,0.0,82.19000757510875,192.12000900981928,0.0,2.2737367544323206e-13
12,116.00000090791136,712.0000008685945,5.0000000114816405,264.00000041029506,1783.0000022561255,112.00000000331464,14.000000306979912,12.000000024613271,436.70000002164153,0.0,0.0,1304.050000000187,4511.269989173955,0.0,84.93000810130714,162.55000753588115,0.0,1.0800249583553523e-12
13,116.00000091035731,694.0000008514288,5.000000011482033,260.0000004049223,1782.00000227079,114.00000000337383,13.00000028617889,2.0000000041141766,407.6100000202033,0.0,0.0,1224.5300000001757,4391.699990164622,0.0,90.3400086539782,136.100005944425,0.0,1.3642420526593924e-12
14,114.0000008973756,719.0000008791243,5.000000011482161,265.00000041243,1906.0000023824778,108.00000000319636,14.00000030734884,2.000000004114193,392.25000001944267,0.0,0.0,1144.8000000001641,4417.199985797858,0.0,119.58001327615354,133.27000584314413,0.0,2.8421709430404007e-13
15,115.0000014670014,680.0000012977338,5.000000011538371,288.00000055014874,1975.7900024810538,108.0000000032007,13.000000325813705,1.0000000020594755,394.7800000196846,0.0,0.0,1073.5600000001539,4503.360002437335,0.0,82.55000185097902,68.22000187007433,0.0,-8.526512829121202e-13
16,117.00000153832262,682.000001329092,5.000000011540381,275.00000052573427,2088.6400003265458,106.00000000314152,14.000000355307005,1.0000000020595394,349.74000001742843,0.0,0.0,1017.1300000001459,4607.63000236635,0.0,35.750001301533594,12.130000441433696,0.0,2.913225216616411e-13
17,118.000001556023,667.0000012873628,5.0000000115402905,266.0000005057262,2090.459999976557,110.00000000326017,13.00000032734604,5.00000001032332,328.1000000163443,0.0,9.590000000863055,1012.8700000001453,4587.770002367233,0.0,37.2500013282586,0.0,0.0,-7.034373084024992e-13
18,119.00000155964607,663.0000012662475,5.000000011539432,270.0000005128089,2049.8999998681224,109.00000000323043,13.000000326657865,10.000000020708326,321.2000000159957,0.0,16.88000000151929,1038.000000000149,4585.650002403757,0.0,29.330001182868408,0.0,0.0,-5.897504706808832e-13
