,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,CH -> AT,CZ -> AT,DE -> AT,HU -> AT,IT -> AT,SI -> AT,demand,AT -> CH,AT -> CZ,AT -> DE,AT -> HU,AT -> IT,AT -> SI,mismatch
0,316.0,71.00000018649438,150.0000004278908,3345.000004293915,122.00000178950503,,0.0,832.000001167398,0.0,1351.4000000002627,3195.600004680764,0.0,46.000006284027826,0.0,7406.90000084382,910.4000179552747,0.0,0.0,340.91000001690435,0.0,770.7900000142589,4.547473508864641e-13
1,316.0,70.0000001837125,149.00000042407834,3275.000004135852,122.00000177060942,,0.0,926.000001273193,0.0,1226.1000000002382,3217.700004595318,0.0,58.00000377324757,0.0,7237.689999020144,950.4800171028792,0.0,0.0,371.8600000184346,0.0,799.7700000147912,0.0
2,316.0,69.00000018099253,149.00000042328833,3167.000003985244,122.00000175688892,,0.0,692.0000009796646,0.0,1147.9000000002231,3244.8000045453073,0.0,82.0000055674916,0.0,6957.999999184637,921.8200182234702,0.0,0.0,346.03000001715236,0.0,763.8500000138403,1.3642420526593924e-12
3,316.0,72.00000018884482,149.000000424002,3160.000004044279,122.0000017692195,,0.0,453.00000066713693,0.0,1204.6000000002339,3035.7000044862116,0.0,102.00000570873526,0.0,6724.690000092916,767.2200171655951,0.0,0.0,312.7500000155022,0.0,809.6400000146496,9.094947017729282e-13
4,316.0,75.00000019663827,149.00000042439277,3330.0000042066395,122.00000177602105,,0.0,321.00000048289394,0.0,1205.600000000234,2977.0000050754848,0.0,162.0000058979526,0.0,6841.850009193702,705.5600088364525,0.0,0.0,318.44000001578434,0.0,791.7500000143189,-1.1368683772161603e-12
5,316.0,92.00000024028013,149.00000042485684,3357.0000042726965,122.00000178417717,,0.0,323.00000048636343,0.0,1169.9000000002275,3033.5000053397366,0.0,186.00000608751387,0.0,6950.680015006464,582.3000035952183,0.0,0.0,387.41000001919855,0.0,828.0100000149716,-4.547473508864641e-13
6,316.0,93.00000024333178,149.00000042639655,3424.000004486587,122.0000018116411,,8.0,332.00000050137857,0.0,1279.7000000002486,2917.800005467775,0.0,194.00000645561454,0.0,7341.280017601118,388.45000176029697,0.0,0.0,366.29000001815194,0.0,739.4800000134054,1.3642420526593924e-12
7,316.0,86.00000022581861,149.0000004279457,3496.000004724705,122.00000183991982,,21.0,304.0000004626505,0.0,1321.5000000002567,2768.800005541244,0.0,173.00000664714042,0.0,7332.8700188383655,261.45000099664946,0.0,0.0,432.26000002141325,0.0,730.7200000132525,2.2737367544323206e-13
8,316.0,86.00000022613602,149.00000042908704,3504.0000048747174,122.00000186119554,,66.0,276.00000042260274,0.0,1331.9000000002588,2904.100005892162,0.0,188.00000717104365,0.0,7620.960019995199,233.72000084968394,0.0,0.0,393.94000001951986,0.0,694.3800000127991,1.3642420526593924e-12
9,316.0,84.00000022114703,149.00000042977732,3526.000004985423,122.00000187425485,,125.0,337.0000005134019,0.0,1381.4000000002684,3208.7000054017008,0.0,210.00000781024434,0.0,7979.8700193643745,402.7300018403908,0.0,0.0,372.63000001846734,0.0,703.8700000129855,-2.2737367544323206e-12
10,316.0,81.00000021343243,149.00000043003516,3762.00000523358,122.00000187917331,,169.0,523.0000007818577,0.0,1398.9000000002718,3279.7000054964683,0.0,186.00000807677725,0.0,8278.550018844084,553.0700032335697,0.0,0.0,406.1800000201298,0.0,748.8000000138119,2.2737367544323206e-12
11,316.0,80.00000021074051,149.00000042963723,3741.0000051570746,122.00000187160688,,184.0,781.0000011341663,0.0,1269.2000000002467,3378.300005477334,0.0,170.00000803345245,0.0,8330.080015111638,739.3100071695164,0.0,0.0,406.01000002012364,0.0,715.1000000129816,-2.2737367544323206e-13
12,316.0,79.0000002080984,149.0000004294356,3698.0000050911494,122.00000186778657,,165.0,994.0000014098789,0.0,1141.700000000222,3288.5000053200683,0.0,183.0000078065303,0.0,8302.840011738233,775.7300103620141,0.0,0.0,436.70000002164153,0.0,620.9300000112801,0.0
13,316.0,102.00000026747287,150.00000043215567,3697.000005080461,122.00000186645788,,115.0,885.0000012690016,0.0,1030.1000000002,2384.200004426294,0.0,189.00000852367057,0.0,7952.540021019359,212.4300008184766,0.0,0.0,407.6100000202033,0.0,417.72000000767486,2.2737367544323206e-13
14,316.0,325.00000081827693,150.00000043246993,3797.000005211035,122.00000187232267,,56.0,739.0000010781479,114.53000306841986,871.7000000001694,1951.7000038829096,0.0,194.0000086292549,0.0,7938.380024967947,0.0,0.0,0.0,392.25000001944267,0.0,306.30000000561563,2.2737367544323206e-13
15,316.0,360.00000101078615,151.0000004594443,4020.0000155297257,122.00000241996761,,18.0,495.00000081404545,170.57000876057955,893.7000000001736,1623.4000057116211,0.0,601.2399740553718,0.0,8181.000008738461,0.0,0.0,0.0,394.7800000196846,0.0,195.13000000356877,1.3642420526593924e-12
16,316.0,604.0000018149013,152.00000046661654,4993.000042686614,122.00000253549675,,8.0,233.00000037789584,0.0,969.1000000001883,917.4000032766372,0.0,1028.7899570093768,0.0,8445.000007615121,178.4100005283998,0.0,0.0,349.74000001742843,0.0,370.1400000067771,9.094947017729282e-13
17,316.0,640.0000019575696,152.00000046778268,4736.000043383037,122.00000257029873,,8.0,197.0000003187874,18.69000283752147,1026.4000000001995,996.100003648012,0.0,889.8099521337157,0.0,8379.00000729335,0.0,0.0,0.0,328.1000000163443,0.0,394.90000000722944,-1.4779288903810084e-12
