,biomass,gas,hydro,lignite,other_fossil,BG -> RS,HU -> RS,ME -> RS,RO -> RS,demand,RS -> BG,RS -> HU,RS -> ME,RS -> RO,mismatch
0,5.0,2.000000491968111,1246.0000023678667,2951.0000092444984,66.0,22.25000000001266,699.8399965811361,125.96000000804945,23.950000000678802,5142.00000869421,0.0,0.0,0.0,0.0,0.0
1,5.0,2.0000004828866498,1119.0000019623583,2957.000006841981,65.0,0.0,663.5300132254054,136.360000008665,0.0,4908.000012224676,0.7900039521984273,0.0,0.0,39.10000634442216,2.7000623958883807e-13
2,5.0,2.0000004694758644,1085.0000017126913,2958.0000048711313,64.0,0.0,420.64005004811844,154.44000000968762,0.0,4564.0000323166605,36.610005940368595,0.0,0.0,88.47001885407455,1.2505552149377763e-12
3,5.0,2.000000460017707,1182.0000017036489,2942.000004004106,63.0,0.0,320.1400384757684,159.69000001000614,0.0,4481.06931888616,42.90000754203648,0.0,0.0,149.8607182253504,1.1937117960769683e-12
4,5.0,2.0000004590306357,1083.0000015789906,2916.0000039137935,62.0,0.0,308.94002669401056,178.89000001102033,0.0,4295.019013992624,77.67000758867128,0.0,0.0,183.14101107555018,1.1368683772161603e-13
5,5.0,2.000000458513274,992.0000014676401,2928.0000038841345,62.0,0.0,296.12002076161343,220.17000001294386,0.0,4186.259499688705,107.38000836694779,0.0,0.0,211.65051852919171,6.252776074688882e-13
6,5.0,2.000000457987776,914.0000013695251,2935.0000038510316,62.0,0.0,277.0900165316371,203.8700000121588,0.0,4148.745900672926,103.1500111604053,0.0,0.0,147.06411038900893,-3.410605131648481e-13
7,5.0,2.0000004592616665,1029.0000015191222,2938.000003945349,63.0,0.0,270.44001653718044,195.52000001170958,0.0,4315.726917678207,47.910014257131444,0.0,0.0,139.32309053728437,-4.831690603168681e-13
8,5.0,2.0000004613480282,1204.0000017471873,2928.000004098088,61.0,17.190000000009782,239.6700136382719,185.06000001109547,0.0,4530.439925416973,0.0,0.0,0.0,111.48009453902854,-5.826450433232822e-13
9,5.0,2.0000004628126615,1384.0000019711042,2945.0000042286733,66.0,31.830000000018106,264.23001523021554,179.52000001072992,0.0,4806.82999430859,0.0,0.0,0.0,70.75002759496289,1.3073986337985843e-12
10,5.0,2.0000004630284614,1454.0000020508746,2936.000004240015,69.0,56.930000000032386,234.29001191156152,155.74000000954246,88.59000000251065,5001.550018677566,0.0,0.0,0.0,0.0,-9.094947017729282e-13
11,5.0,2.0000004630269363,1461.0000020583295,2945.0000042463803,67.0,73.95000000004207,192.12000900981928,152.56000000937158,168.14000000476491,5066.770015791735,0.0,0.0,0.0,0.0,-9.094947017729282e-13
12,5.0,2.0000004628363848,1412.0000020019834,2938.0000042254414,66.0,51.6900000000294,162.55000753588115,155.48000000954187,182.2200000051639,4974.940014240878,0.0,0.0,0.0,0.0,0.0
13,5.0,2.000000462335571,1352.0000019276524,2945.0000041889903,65.0,57.47000000003269,136.100005944425,184.46000001093233,164.15000000465176,4911.18001253902,0.0,0.0,0.0,0.0,0.0
14,5.0,2.0000004627613963,1404.0000019918648,2941.000004221306,65.0,0.0,133.27000584314413,227.55000001282994,148.19000000419948,4918.509998944219,7.5000135918875035,0.0,0.0,0.0,-3.2152058793144533e-13
15,5.0,2.000000520963133,1449.0000040212565,3024.37999792217,62.0,51.43000000002926,68.22000187007433,199.5800000116675,199.39000000565764,5061.0000043518185,0.0,0.0,0.0,0.0,0.0
16,5.0,2.0000005204345586,1544.0000043903804,3031.1199990848077,62.0,125.59000000007146,12.130000441433696,207.90000001256053,238.26000000676197,5228.00000445645,0.0,0.0,0.0,0.0,-9.094947017729282e-13
17,5.0,2.000000520253148,1551.0000044078463,3001.21999951454,62.0,150.02000000008536,0.0,195.2500000123447,248.10000000704167,5205.000004461249,0.0,9.590000000863055,0.0,0.0,2.007283228522283e-13
18,5.0,2.000000520057119,1554.0000044068681,2961.1299995229624,63.0,157.79000000008975,0.0,171.7600000110517,288.20000000818175,5186.000004467692,0.0,16.88000000151929,0.0,0.0,-3.232969447708456e-13
19,5.0,2.0000004654011145,1526.0000021781225,2950.0000044592375,61.0,170.66000000009709,33.50000135892107,84.32000000573959,352.57000000999074,5185.050008477509,0.0,0.0,0.0,0.0,0.0
20,5.0,2.000000465078479,1411.000002043464,2946.000004426436,63.0,175.7800000001,45.810001889792204,79.50000000543224,343.2300000097265,5071.32000884003,0.0,0.0,0.0,0.0,0.0
21,5.0,2.0000005200522413,1404.0000037882567,2945.8999941382726,65.0,189.79000000010797,59.67000595006502,97.66000000662221,277.98000000789204,5047.000004411269,0.0,0.0,0.0,0.0,0.0
22,5.0,2.0000004649036893,1416.0000020457592,2947.0000044115177,66.0,154.95000000008812,106.34000504288305,134.55000000891187,232.62000000659262,5064.460011980656,0.0,0.0,0.0,0.0,0.0
23,5.0,2.0000004646254554,1452.0000020803932,2946.000004385781,67.0,215.3900000001225,88.11000419833293,31.840000002226976,271.49000000769445,5078.830011139177,0.0,0.0,0.0,0.0,-1.8189894035458565e-12
24,5.0,2.000000462178506,1383.0000019585282,2945.0000041759135,68.0,197.69000000011246,45.170001907713335,12.260000000867471,285.2100000080828,4943.330008513396,0.0,0.0,0.0,0.0,9.094947017729282e-13
25,5.0,2.0000004590657547,1238.0000017517248,2953.000003939426,66.0,186.350000000106,18.42000073526399,0.0,301.2300000085358,4766.520006890974,0.0,0.0,3.4800000031487914,0.0,-1.4668266601347568e-12
