,gas,lignite,solar,wind_onshore,BG -> GR,IT -> GR,demand,GR -> BG,GR -> IT,mismatch
0,1242.0000077293175,3035.5899885201748,0.0,149.00000042688222,294.0000017481825,301.00000364185814,5021.590002066416,0.0,0.0,-9.094947017729282e-13
1,1060.0000052193395,2902.659990835614,0.0,147.00000042465098,274.00000162051475,355.0000038415805,4738.660001941699,0.0,0.0,0.0
2,1114.0000077199657,2624.189985952678,0.0,144.00000042035083,260.0000015754226,338.0000061339928,4480.190001802411,0.0,0.0,-9.094947017729282e-13
3,1182.0000067855437,2456.0599884789294,0.0,179.0000005321347,264.0000015224521,337.00000465774826,4418.060001976809,0.0,0.0,0.0
4,1073.0000044877995,2585.7699912044714,0.0,244.0000007706335,245.0000012899323,338.0000043190882,4485.770002071925,0.0,0.0,0.0
5,902.0000030401412,2758.7599917044267,1.0000000019479507,284.0000009444879,239.0000012265784,358.0000051389446,4542.760002056527,0.0,0.0,0.0
6,896.0000032421431,2705.569991789854,188.00000042748997,367.00000140659444,244.0000012690268,302.00000383555886,4702.570001970667,0.0,0.0,-9.094947017729282e-13
7,796.0000030893392,2730.559989591414,738.000004344946,439.0000021881925,271.00000166557976,115.00000086995722,5089.560001749429,0.0,0.0,-9.094947017729282e-13
8,774.0000028098256,2328.532455844602,1308.107516117012,439.00000214226424,263.0000015233827,409.0000233709545,5521.640001808041,0.0,0.0,-9.094947017729282e-13
9,775.0000026279289,2067.178883768541,1727.3419280309379,466.000002277882,307.00000203175574,542.4091831818558,5884.930001918901,0.0,0.0,0.0
10,781.0000026759371,1985.2182962254449,1812.627353887852,473.00000234995264,333.00000251518304,547.4843442650862,5932.330001919456,0.0,0.0,0.0
11,785.0000026887742,1930.9355141941712,1538.9012188550373,501.0000026317619,338.0000026808019,546.4732608612239,5640.310001911771,0.0,0.0,0.0
12,775.0000025039756,1867.6595353520408,1072.0000148026218,584.0000035440837,301.0000019641091,495.00044377126636,5094.660001938098,0.0,0.0,-9.094947017729282e-13
13,985.0000055295292,2132.5099593190535,587.0000023935172,654.0000061623472,356.00000329080217,392.00002508569827,5106.510001780947,0.0,0.0,0.0
14,1082.0000143251389,2538.7868507525286,158.0000003649903,685.0000124376145,326.0000027958655,416.02312095136875,5205.8100016275075,0.0,0.0,-9.094947017729282e-13
15,1597.911630675465,2618.228286836634,2.0000000039013734,728.0000746276145,348.0000034634964,268.00000595895693,5562.140001566068,0.0,0.0,0.0
16,2015.826500272519,2904.270764187463,0.0,748.7327312885021,359.00000472507605,115.0000009937075,6142.830001467269,0.0,0.0,-9.094947017729282e-13
17,2280.012084607174,2810.9656444963066,0.0,773.7422677227329,362.00000463375795,7.000000040174341,6233.720001500146,0.0,0.0,0.0
18,2359.515832373204,2658.543940679696,0.0,742.0002241286311,359.00000385511163,80.00000057097849,6199.06000160762,0.0,0.0,1.8189894035458565e-12
19,2315.09895826367,2583.7710213353535,0.0,740.000017992004,374.00000382444364,50.00000031822386,6062.870001733696,0.0,0.0,-9.094947017729282e-13
20,2021.1434235435963,2374.02655697902,0.0,816.000017437228,352.000002699971,162.00000121601028,5725.170001875826,0.0,0.0,0.0
21,1521.434880304589,2491.7950896165735,0.0,814.0000260809024,368.0000034352968,223.00000235262365,5418.230001789985,0.0,0.0,0.0
22,1122.0000117099698,2691.5799358589115,0.0,819.000050139899,366.00000400234916,1.0000000056338874,4999.580001716763,0.0,0.0,9.094947017729282e-13
23,739.0000029180671,2564.5397721217296,0.0,791.0002198027626,371.00000584356053,116.00000091323163,4581.540001599352,0.0,0.0,0.0
24,699.0000025775427,2374.6202232104624,0.0,980.959770167912,345.0000045304831,132.00000110126385,4531.580001587664,0.0,0.0,0.0
25,705.0000024410343,2180.4667150700725,0.0,1172.023280604912,333.00000356350296,0.0,4344.490001651184,0.0,46.000000028338306,-2.7000623958883807e-13
26,700.0000021945292,1983.654489628649,0.0,1202.6955073168692,314.0000026088568,1.0000000056362564,4201.350001754541,0.0,0.0,-9.094947017729282e-13
27,735.000002503301,2062.0097632458646,0.0,1092.780232657597,329.00000298812455,50.000000325114705,4268.790001720003,0.0,0.0,-9.094947017729282e-13
28,782.0000035301787,2361.354851404185,0.0,1028.5051428574452,332.0000032766266,72.00000049859317,4575.860001567029,0.0,0.0,0.0
29,953.0000078485429,2472.2104063563615,0.0,964.1995797969478,320.0000026979735,262.0000048620993,4971.410001561925,0.0,0.0,0.0
30,1393.9869143976318,2555.569608305296,118.00000025989746,926.3334758367348,278.0000017005833,134.00000115328214,5405.890001653425,0.0,0.0,0.0
31,1100.0000125486738,3195.315586385973,554.0000022970127,835.7343987923043,286.0000017320295,0.0,5920.050001724648,0.0,51.00000003134453,1.2079226507921703e-12
32,949.0000049438344,3163.8199484419656,983.0000159825581,823.000030929897,279.00000156010145,0.0,6145.820001826377,0.0,52.00000003197992,-2.7000623958883807e-13
33,898.0000043368967,2839.407082444628,1436.1828867814424,799.0000264360804,275.00000154024667,42.00000026322682,6289.590001802521,0.0,0.0,0.0
34,891.0000042559734,2551.2909062239883,1646.130855580463,884.4282331470758,292.0000017591773,109.0000008365035,6373.850001803182,0.0,0.0,-9.094947017729282e-13
35,882.0000042874781,2632.5495174701673,1345.3993864276276,951.4310883031688,300.0000019032433,240.00000338173527,6351.380001773421,0.0,0.0,-9.094947017729282e-13
36,1084.0000097916682,2677.3807211278545,939.0000144181915,869.4692495999768,287.0000017310775,279.0000051000309,6135.8500017688,0.0,0.0,-9.094947017729282e-13
