,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,AT -> IT,CH -> IT,FR -> IT,GR -> IT,SI -> IT,demand,IT -> AT,IT -> CH,IT -> FR,IT -> GR,IT -> SI,mismatch
920,444.00002138543516,17654.9099516666,3509.0000096396593,6663.000018160501,12566.000001389166,644.0000023440638,3067.0000115938337,1737.0000034403067,186.00001225496553,2032.0000000107073,175.00000070389626,459.00000025154765,891.0900000001318,50028.00003284081,0.0,0.0,0.0,0.0,0.0,0.0
921,451.0000231895837,16953.14993945726,3274.0000090917706,5886.000016044927,12608.000001399021,642.0000023507747,4688.00002127035,2034.000004119549,174.00001143253127,1938.0000000102125,413.00000171121167,347.00000019675764,745.8500000001103,50154.00003027406,0.0,0.0,0.0,0.0,0.0,7.275957614183426e-12
922,447.00002386495044,16487.609932128275,3172.000008893885,5111.000013633287,12370.00000137521,642.0000023608022,5484.000028450967,2500.0000052210057,167.0000111075837,2155.0000000113555,468.0000019587608,0.0,628.3900000000929,49571.00002860107,0.0,0.0,0.0,61.00000040510765,0.0,3.11928260998684e-12
923,454.0000255595001,15770.939932188832,3133.000008898781,4217.000010840335,11846.000001318162,642.0000023706616,5489.000029999892,2785.000005962849,174.00001086185173,1562.0000000082312,133.00000053446632,0.0,600.0600000000887,46631.00002673111,0.0,0.0,0.0,175.00000181253853,0.0,4.376943252282217e-12
924,458.00002633971286,14734.60993524434,2963.0000083531154,3602.0000089426353,11535.000001283383,641.0000023700559,4905.000025131938,3064.000006689474,209.00001003900263,2271.000000011965,685.0000029721499,0.0,992.3900000001468,45930.000026193964,0.0,0.0,0.0,130.0000011839555,0.0,-4.405364961712621e-12
925,457.0000252901209,15172.52994267841,2656.00000724393,3708.000009148619,11442.000001270366,641.0000023620204,4407.00002052968,3237.0000070661094,214.00000962053375,3392.0000000178684,1201.0000055893875,0.0,1039.4700000001537,47368.00002748275,0.0,0.0,0.0,199.00000333445468,0.0,2.8421709430404007e-13
926,454.00002372435654,15912.549950550989,2727.0000073537585,4242.00001057302,11688.000001294897,643.0000023576245,2965.000011527392,3416.000007408634,223.00000998141087,3626.0000000190994,1014.0000045474335,23.000000014226565,1002.4500000001483,47936.00002935298,0.0,0.0,0.0,0.0,0.0,7.275957614183426e-12
927,441.00002089881195,17171.55996378612,2754.0000072352295,5192.000013007169,12051.000001329616,652.0000023709564,1135.000003742167,2800.000005764287,229.00001123219613,3705.0000000195164,814.0000035088491,418.00000023463383,990.4400000001465,48353.0000331297,0.0,0.0,0.0,0.0,0.0,1.4551915228366852e-11
928,430.0000197169572,17448.399965597513,3061.000008090788,6883.000018358853,12161.000001339984,662.0000024022913,47.000000145023805,2505.0000050680774,214.00001155549728,3927.000000020689,525.000002107973,471.00000026570945,816.6000000001208,49151.00003466948,0.0,0.0,0.0,0.0,0.0,-7.275957614183426e-12
929,434.00002020980105,17234.84995758234,3303.0000088789343,7956.000022672775,12662.000001397746,662.0000024057852,0.0,2414.000004882295,205.00001217493855,3570.0000000188093,940.0000038292403,493.0000002788889,755.1500000001116,50629.00003433167,0.0,0.0,0.0,0.0,0.0,0.0
