,gas,lignite,solar,wind_onshore,demand,s_l,s_r
0,1485.3593596462326,962.1713751932016,243.3593596462326,392.35935964623263,5021.59,1151.9493596462326,2.394322862574974e-13
1,806.0569573866617,2053.678370870338,38.678370870337766,134.14760101635372,4738.660000000002,926.3383708703376,1.5064773037514518e-12
2,1114.0,314.6010099854454,6.866199241739373e-14,144.00000000000006,3781.6395263582804,783.1899999999997,848.6221534039782
3,1182.0000000000011,1771.0425816363575,1.0800751230015034e-12,35.37988210761324,4472.008180660142,562.0600000000015,53.948180660141546
4,1073.0000000000002,2000.0000000000002,1.2535018261486605e-13,164.08529375915862,3353.281542377609,585.7700000000006,464.84246489917246
5,902.0000000000002,1629.6276137998477,1.0000000000002542,284.0000000000002,4771.975483048633,601.5002934003509,229.21548304863205
6,896.0000000000006,1966.0000000000007,188.00000000000063,367.0000000000006,3471.734791010688,739.5700000000003,93.98152982960693
7,67.409080278889,1814.0000000000002,738.0000000000003,91.87650412778784,5291.79515827304,501.157954652734,202.23515827304004
8,774.0000000000002,249.86507631127373,1214.0000000000002,439.00000000000017,3109.649633542783,729.6400000000006,322.1164327020373
9,819.613002815008,1686.613002815008,1480.613002815008,510.61300281500803,5884.930000000001,795.5430028150083,1.306078591119723e-12
10,781.0000000000001,841.091106049292,1470.0,39.199151801354795,3136.3047446510955,759.33,520.6408078076311
11,785.0000000000005,1590.0000000000005,1358.0000000000005,501.00000000000045,5764.118131584387,560.3100000000009,123.80813158438676
12,4.325884204110475,1596.0000000000002,114.20527127004715,471.4058640245782,2472.5629521295655,127.49648908917993,328.2507744803314
13,398.00215858484813,1618.0,587.0000000000001,332.6656928340786,1938.8647355859353,66.63349073191624,755.8601943281443
14,1082.0000000000002,1670.0000000000002,158.00000000000017,536.3872305154487,5578.116582814954,788.1754242639395,372.30658281495386
15,701.4411029611076,1645.0,2.000000000000092,728.0000000000001,6196.059402640396,1211.1400000000003,633.9194026403956
16,1574.3372794707893,1769.3372794707893,121.33727947078928,832.3372794707893,6142.830000000001,1978.1672794707893,4.802158752560724e-13
17,1895.4402094495822,1972.4402094495822,330.44020944958214,483.5475030736678,5941.261616786522,407.01208645369,1.763347383156409e-13
18,805.0103746389964,1660.0,5.634189629437553e-14,463.0365610288899,3393.376540260465,139.2919708477635,1034.1875530389827
19,1090.783562726127,1943.3064712967223,226.3064712967222,966.3064712967222,6062.87,1231.6284619393698,2.5747424511718187e-13
20,1701.0000000000007,1553.0422858716308,6.686457209261164e-13,816.0000000000007,5812.3134394009685,952.1700000000006,87.14343940096836
21,1553.8096184060953,1855.8096184060953,110.80961840609525,384.0502395738226,5418.2300000000005,936.0396184060949,5.258396220508134e-13
22,1122.0000000000002,1784.0000000000002,2.7151579922619883e-13,819.0000000000002,5214.182936655304,825.9857438764404,214.60293665530358
23,739.0000000000001,1684.0000000000002,1.4461349913108082e-13,791.0000000000001,3735.9819077012467,880.5400000000001,402.92288211241106
24,688.2075050573017,1285.195558136024,6.120916674459953e-14,882.0000000000001,2263.556047165688,101.4135019509876,951.9503525572411
25,705.0000000000001,1594.0,8.365510636279481e-14,993.0000000000001,5041.01756891561,765.4899999999999,696.5275689156105
