,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
1206,5732.6547470773285,12186.65474707733,16814.65474707733,6210.6547470773285,1473.0125411798263,8640.854225036614,1810.654747077329,1162.654747077329,1122.654747077329,1188.654747077329,4005.654747077329,72251.9694,7789.034147077334,6.1944180947685e-14
1207,4985.856271575388,3752.0658580369663,15863.856271575389,5432.856271575388,18467.856271575387,9590.856271575389,1175.8562715753883,395.85627157538823,2226.8562715753883,388.5934055746086,3270.8562715753883,74127.551,4315.397173292713,3.37089810691927e-13
1208,5368.169567534513,11552.169567534513,3192.5399911262457,5175.169567534513,18801.16956753451,9946.169567534513,1023.2784303054748,759.1695675345126,6150.169567534513,593.8070429076902,2878.1695675345127,74289.6735,5864.698745148719,1.0867473909456147e-13
1209,4828.0,10844.0,12587.131176918128,4583.0,18240.0,9411.0,1093.0,223.00000000000003,3036.6516649553364,71.41616210735518,848.2847164216167,59513.03795444765,6681.278799999996,2191.9077170976025
1210,2749.2626048051907,11672.938693268792,16560.938693268792,4513.938693268791,13978.523074394116,10010.938693268792,1684.9386932687917,814.9386932687916,5586.697598921957,844.9386932687916,1481.7031783036323,75546.4184,7319.947093268781,9.827000417367392e-14
1211,3045.817014223661,11151.0,15855.0,3988.0,4259.903183794844,9428.0,1063.0,127.11722830854801,1056.4238993744032,198.00000000000009,770.4989118284516,45958.97377861499,5367.3688866522025,676.5583648844388
1212,4266.165322758889,11832.948159130223,16361.948159130223,3512.5734635108965,18824.94815913022,6895.593247412702,872.2854026873318,860.036818744499,762.915403088627,942.948159130222,2999.948159130222,74757.2653,7276.323459130227,8.207372202167956e-14
1213,4998.867315954516,11367.867315954516,15475.867315954516,2510.7671894593145,15566.535605623836,9602.867315954516,243.15731314229117,397.8673159545159,8153.867315954516,391.8673159545159,3094.867315954516,71477.9361745523,6873.364915954522,3.3131845758837133e-13
1214,6262.928434100773,12850.928434100773,16871.928434100773,5221.928434100773,3618.0302557358564,3583.1917476026256,2332.9284341007733,1487.0346394359715,3001.4477446507963,1661.928434100773,5589.928434100773,73082.2551,8335.113534100763,4.0606964415456544e-14
1215,6369.133099831426,8303.05866953211,6697.891210766582,4876.133099831426,11679.399030039496,10950.133099831426,2426.133099831426,1748.133099831426,3579.133099831426,1821.133099831426,6615.133099831426,71989.8265,4084.3038847354596,3.818021368430652e-14
1216,4863.0,11941.0,15715.0,2796.290628784257,18215.0,9426.0,955.0,222.0,213.0,452.0,3775.673123450748,27978.96607082375,3702.9792100992895,5547.940887489538
1217,4868.0,12203.0,5875.195970113097,5553.0,18234.0,9427.0,1046.0,222.00000000000006,5.670178609207208e-14,278.44870249489287,7555.0,77234.48059968378,7533.137099999993,1027.6234996837834
1218,4897.851405184448,11579.851405184447,15848.851405184447,3739.8514051844477,18266.851405184447,9455.851405184447,950.8514051844476,62.78806237792199,33.851405184447536,886.8514051844476,6673.225024391489,75635.0714,7426.662805184449,1.7212900777605253e-12
1219,5920.544903937286,11679.544903937285,6274.619297001262,1253.2986601165737,15030.842218735434,10482.544903937285,1982.5449039372859,1255.4667006891586,1068.5449039372859,2049.544903937286,3052.66113683841,72291.3878,8747.602703937277,5.453031280908792e-14
1220,4843.0,2219.4840654944364,15332.0,2720.0,18116.0,6221.1618922360485,917.0,223.0,8.006039683237613e-15,840.0,8492.0,10421.090964800856,7555.782700000005,7278.0163685990465
1221,4815.0,2894.3168098456035,15206.0,2869.0,16238.02387858388,6608.2765852545335,916.0000000000001,223.00000000000009,8.552387516530712e-14,659.0000000000001,7629.0,66015.30785408906,6964.529999999997,681.3078540890596
1222,5017.786196141458,8877.786196141458,15149.786196141458,2595.7861961414587,18128.78619614146,3731.141245472997,1134.7861961414587,438.78619614145873,216.78619614145873,293.9819894576855,7149.786196141458,61514.1837,4752.73989614146,2.687813564671593e-13
1223,5342.563852469649,9183.563852469648,14978.563852469648,2704.5638524696487,5037.749843008229,9995.563852469648,1505.5638524696485,790.5638524696485,570.5638524696485,1276.5638524696485,7149.563852469649,58597.4082,3724.9720524696468,1.0212369327297466e-13
1224,4710.896080181205,8603.0,14248.0,2122.0,17925.0,9433.0,938.0000000000001,219.00000000000009,8.109955098870739e-14,536.0000000000001,1237.259383320982,57528.27198466253,1432.708560750802,718.476084662537
1225,5305.413949776283,8890.413949776283,14934.413949776283,2645.4139497762826,18445.41394977628,1771.072766369431,1481.4139497762826,757.4139497762826,538.4139497762826,744.151150187203,5879.343511804573,55831.5408,1447.5549989829947,1.0822172769941851e-13
1226,4759.0,8334.0,14385.0,2088.0000000000005,17856.0,9447.0,594.7722041554953,205.3515893512632,2.767905927408223e-13,271.0000000000003,3032.405089272858,56208.401052221736,316.9464004027882,210.51325222173853
1227,4752.0,4514.525782962041,14389.0,2072.0,17915.0,106.47930372124625,955.0,219.0,1.0439196604622097e-14,202.0,5051.539437306737,8970.409812185115,1188.2040293824643,5581.663998593325
1228,3868.321311393764,1829.155021501343,15837.246843296887,3285.2468432968876,13874.479716246033,10589.246843296887,2103.2468432968876,1190.9914068972073,1141.2468432968876,1305.2468432968876,2129.4708022265995,60051.5612,5402.728043296882,5.10565161292621e-14
1229,4759.0,8225.954880793828,15059.0,3977.0,902.069660654816,3834.927785839075,751.0317329771292,221.00000000000003,2.5239040808042466e-14,127.00000000000003,2334.208236350822,21035.812679021645,6969.806300000006,2308.6490610090646
1230,4796.0,10894.0,3719.032639012578,5625.0,17608.264073411214,9446.0,1038.0,78.17640397656763,257.0,109.00000000000001,5080.0,26353.08836325169,7243.025099999994,5756.930208810344
1231,4819.0,11069.0,14983.0,6068.0,17618.0,9448.0,44.856208912151814,223.0,2822.0,97.00000000000001,4323.172687840035,45132.69697114099,7150.118599999999,4638.250471209092
1232,4766.0,10916.0,15023.0,4840.0,17497.298232836605,9449.0,987.0,222.00000000000003,5280.105571051297,69.00000000000004,3248.0,64169.95676674748,7341.361799999995,1540.906531699088
1233,4445.993573630406,5536.223479687053,15042.0,3411.0,17667.0,9448.0,992.0000000000001,222.0000000000001,12124.0,41.000000000000114,1279.5033194539471,67964.36369858154,7371.6553,520.0138175194568
1234,4745.0,10606.0,15157.0,2717.0,17850.0,9072.663408579485,997.0000000000002,217.18018830899385,7674.737033030393,41.05797460281435,2342.0,75435.63513241158,7661.390399999993,313.11473241159445
1235,3098.55658176629,11378.142731524178,16034.142731524178,2944.0264948145445,920.5960277565243,5499.485337661733,1795.142731524178,945.5562620253411,16575.142731524178,840.316334420654,2714.0135335009118,74319.0306,8371.103331524175,7.337231148665825e-14
1236,5002.49438056592,10761.49438056592,15490.49438056592,1779.8872573739327,9069.50778252745,9641.49438056592,1205.49438056592,422.49438056592,14932.49438056592,293.49438056592,3491.49438056592,73732.0102,7232.054580565926,2.906220498439341e-13
1237,4793.0,4992.004419121311,15315.0,2252.0,18016.0,9445.0,1011.0,151.47966010695174,12069.0,53.32576876906503,3937.0,74172.09190590744,7009.870800000001,1492.0511059074415
1238,3405.5677987683416,10580.0,15274.0,2582.0,14918.793105668705,9448.0,1016.0000000000001,209.48626787405078,7077.656307892739,99.00000000000011,3674.042304260102,72255.56161170779,6119.581271876181,494.37791170779286
1239,4832.0,10706.0,15233.0,3022.0,17886.0,9444.0,1025.0000000000002,201.14957977281776,3375.0,97.93544950999731,1685.4503800272912,70942.4532690231,7072.873699999995,359.76956902311196
1240,4849.0,10692.0,15255.0,3041.0,17879.0,9444.0,1113.0,222.00000000000006,418.00000000000006,115.00000000000004,6629.0,73429.5476057421,7001.3332821467775,1288.8435057421016
1241,4895.207315731272,10279.691096953427,15355.207315731272,5471.207315731272,17987.20731573127,2420.877950723997,1256.2073157312716,263.2073157312716,41.207315731271564,141.20731573127156,8441.207315731272,75745.9184,7597.759994196533,1.4140228944353918e-12
1242,2496.0305520320503,3321.3894326577324,9237.1841051182,5651.740964444925,18522.740964444925,3248.6745856002403,1211.4524246826998,574.9979510632786,563.7409644449252,622.3971197753463,10390.740964444925,75343.102,8180.522964444925,1.0335968385698127e-13
1243,5554.392412023262,8862.781344603847,16041.392412023262,4035.3924120232623,18716.392412023262,10181.392412023262,989.4491967331586,960.3924120232625,738.3924120232625,793.3924120232625,6103.537848378835,71476.5306,1108.519078000184,7.89120891730143e-14
1244,5259.508498087404,4583.432706531234,15682.508498087405,2925.508498087405,18427.508498087405,5566.039363019447,1496.5084980874046,462.2821692489745,439.5084980874047,474.5084980874047,4468.250254296546,68199.0306,7509.929098087409,1.325755659237995e-13
1245,4457.256332199092,2007.1494078323265,14844.0,1840.005302334584,17973.0,9450.0,1056.0,222.00000000000003,2.0809730093951794e-14,26.130298843444404,10193.0,40533.44908619711,6583.613300000001,2800.040538689728
1246,5133.97182076332,8539.97182076332,14900.97182076332,2389.97182076332,17966.80016968828,9783.97182076332,1122.9714116817017,564.9718207633199,342.9718207633199,400.59067896142005,1309.121118655984,55407.40557972295,3682.449497204157,1.6989176467202342e-13
1247,386.850824931527,6823.0,14601.0,698.5589790930139,17918.0,9434.0,247.15291546657724,222.00000000000003,1.841673506491896e-14,42.00000000000002,9882.0,32663.887544671743,2661.543700000002,3163.8663235835074
1248,1341.8888793695778,2045.1274435607634,14617.943975859085,2812.4426848809853,11505.565902516006,7167.124931058708,1747.4426848809853,1011.4426848809854,789.4426848809854,832.4426848809854,10446.442684880985,56826.5,2709.8426848809777,7.380914280185056e-14
1249,4888.973240370019,6761.973240370019,14111.97324037002,283.1044737681828,18059.973240370018,9575.97324037002,1094.973240370019,254.81606473768755,135.9732403700191,141.99323107875142,5297.674093601359,55880.4898,1554.4030403700242,4.2852614017062105e-13
