,biomass,gas,hard_coal,hydro,lignite,nuclear,other_fossil,other_renewable,solar,wind_offshore,wind_onshore,demand,s_l,s_r
0,2153.2178431493526,1633.6974913495656,1609.0000079966592,2414.0000120163113,6810.000040458991,4754.0000261319265,868.0000041119677,85.6496438426237,0.0,2999.0000154030267,31300.05157209019,44142.346981481234,2716.9969137695753,0.0
1,2855.780128860674,2398.0000162478764,1683.0000102102083,383.4810737371573,6766.000274965473,4591.000053764717,822.0000042385934,146.0000006906438,0.0,505.1403781003606,41661.50237118417,42825.42862967398,1538.9886088829026,0.0
2,4771.000014842026,2414.0000089528116,1679.0000067118128,909.9645615731819,6728.000018326157,4889.00001504519,813.0000034529858,7.549747446414979,0.0,3137.0000109647362,15503.868015295157,24514.550961610184,52.599962860404446,0.0
3,556.3371391332992,2411.0000121072117,1678.000008343509,1660.0000080243694,6710.000039305231,4696.000025589624,478.16732454257124,53.427140262193845,0.0,3212.000016563226,33179.94228571115,42205.55108163288,0.0,162.1290007216236
4,4769.000017526916,2306.6893795662863,1682.0000072241714,1327.3164047860537,987.4157402805945,4831.000017649379,429.8247604119429,146.00000067189325,0.0,2172.5449314065418,32063.000054344382,35684.08931018334,0.0,1464.772007099434
5,553.4915533125218,2304.000004371895,1689.0000038313897,1601.2543643310262,2959.049304444752,4763.000005543667,861.0000025809295,93.65419900299571,0.0,287.43771538537516,10965.470227213911,8381.687974942462,0.0,1299.8271959862216
6,14504.996932791573,1330.4296833271603,1804.5134909309206,2592.826880235911,10050.833982378805,13526.053540409566,863.0000086492515,146.00000074616298,0.0,2856.592169188492,6344.179433806335,41524.14290706607,0.0,1601.387103623687
7,756.45377746556,347.48872157540796,1508.000008475598,2030.0000118452097,6507.000097332906,2980.031825844804,862.0000043668019,71.08874540506211,173.00000079303962,193.86656567633742,40529.62030154622,42384.06123520484,0.0,1047.1588042235637
8,3279.489947558806,2415.000042765609,1355.877506699589,1364.1702260600725,12939.402519378382,127.63343064405996,854.0000053054887,146.00000070902058,1272.6185194422592,3278.028270078095,13182.049676970473,28155.89839620746,0.0,148.72555502978884
9,4866.000010881225,2493.0000074478294,1544.0000053908732,2105.0000066054254,6570.00001238278,799.4074527264296,854.0000033093734,146.00000065613176,4037.0000097538127,3196.0000086703544,6391.8402895445,22527.514742172858,5.713128012140522,0.0
10,4863.000027970323,2506.000012880091,1564.0000078397413,2051.0000102094837,524.2755153702154,1468.9957156624694,858.0000040848737,6.031318901156704,5670.353946521512,3253.0000172505383,42417.643079877154,50052.81637690873,1014.8463048660351,0.0
11,4850.000027516408,2520.0000128815805,1595.0000079758918,2505.0000126434957,5931.182085090084,881.715252774012,857.0000040721254,42.12246740455949,6409.000037809276,1088.3918830968653,38388.30380621268,51191.336780410245,2122.476710616028,0.0
12,4851.00000187305,2538.000001740381,1631.000001612881,1596.849844498856,6347.000001909215,6298.000001909148,862.0000013482418,146.0000005086361,5685.00000189244,3286.000001800729,29291.000002013552,18656.518826129184,2448.562187063523,0.0
13,1088.9870490757883,217.03327347018276,316.89812267340176,617.6413555385184,6366.000041658119,7285.000051393737,860.0000041224642,146.0000006820065,4028.000022307811,3280.0000179282765,31627.242241782988,47840.815141305,893.79041753764,0.0
14,4867.000001835141,2559.0000017092257,1807.0000016169422,418.9602376619392,6897.000001878975,7966.0000018948185,858.0000013261678,147.00000050834575,1215.737092155991,4231.00000181237,22183.000001960212,30400.539983709135,106.23589813531846,0.0
