,hydro,nuclear,solar,wind_onshore,AT -> CH,DE -> CH,FR -> CH,IT -> CH,demand,CH -> AT,CH -> DE,CH -> FR,CH -> IT,mismatch
2796,1942.144178019557,4774.328063111495,404.9407833022549,10.537623996135338,1132.3714485379744,714.7211423947658,2331.1406662123245,19.816094425899404,7211.000000000067,1.0285603251067844e-10,7.453464445496404e-11,7.091868365767243e-11,4119.000000000091,9.094947017729282e-13
2797,2137.5117943832556,4624.45728516626,351.6748572386697,11.342779856381217,949.5103413597128,269.49124758470595,2515.3720749875083,22.079619423963432,6650.000000000074,1.2374887623355714e-10,149.44000000007998,8.068101607865112e-11,4082.0000000001,-9.094947017729282e-13
2798,2724.1787680134657,5121.963556819637,315.77671102103113,19.311990403469462,544.4316227324708,216.29116142303883,2517.474983875907,0.05120571130583439,6433.000000000055,8.831076147825597e-11,950.4800000000579,5.79483019117008e-11,4076.0000000000673,9.094947017729282e-13
2799,3849.334229088916,4921.74518592316,211.17843458113197,19.243469488233252,365.9618661406904,70.0845473241053,1952.4234046655906,0.04886278852638512,6151.000000000061,9.023186103397217e-11,973.020000000067,6.436171708359125e-11,4266.000000000071,0.0
2800,5101.585046644679,5078.0565570565095,110.71972142775962,26.13948682569921,128.68733556961223,19.712612568757585,1467.9875153711941,0.05172453611586587,6139.0000000000555,8.142479704829242e-11,1625.9400000000614,6.111053147620611e-11,4168.000000000066,1.8189894035458565e-12
2801,5948.817196268876,4510.672030828147,31.62014555290262,16.705912726966833,46.01308578308519,15.25029924716277,1328.6369175620846,0.03441203124861861,6018.000000000079,166.28000000010792,1747.4700000000992,8.676201788403334e-11,3966.0000000001,1.8189894035458565e-12
2802,5846.441890892671,4304.841696476911,2.0360009960701415,12.671579628898305,75.0706200504458,12.59752229639412,1242.3140196929119,0.026669966285068274,5936.000000000094,22.960000000134176,1838.0400000001296,1.0092844625758841e-10,3699.000000000129,0.0
2803,5068.828329884698,4093.165709425342,0.27489113537074444,8.061188766945941,306.40183313361126,32.25128523432243,1689.125634012546,0.021128407929572848,5923.0000000001155,1.391197553129897e-10,1021.130000000228,1.1923865389799028e-10,4254.000000000163,0.0
2804,3830.2123991745125,3869.3313713649704,0.25512578780943335,13.4973522897513,456.2370988126527,19.97943964344489,1920.7085503568933,0.008662571402860027,5800.000000000154,2.1331305548089057e-10,849.2300000004512,2.2019288713290338e-10,3461.000000000398,1.8189894035458565e-12
2805,2409.8037171796004,4105.80340823789,0.3122994360242255,13.43157437381858,700.215203655277,92.66482522877547,2095.7470776265923,0.021894262822304913,5561.0000000001155,1.8078122656931118e-10,2.2486179156897706e-10,1.20948829398435e-10,3857.0000000001573,9.094947017729282e-13
2806,1883.2509428182345,4105.6398722774165,0.4547381705042341,10.84225947313252,1016.148617233099,685.9469850006025,2176.6940824444637,0.02250258328843757,5609.000000000116,1.4299611844515574e-10,2.1317118703699244e-10,1.1540928423866062e-10,4270.000000000153,9.094947017729282e-13
2807,1427.030293289196,4376.357767222989,0.4834438666710099,14.239941506483806,1061.5733569409656,764.1434189052591,2122.141729448057,0.030048820913429298,5556.00000000009,1.1803649204073451e-10,1.1950086003837297e-10,9.173540585989854e-11,4210.000000000115,9.094947017729282e-13
2808,1463.2090685160156,4314.9507573175215,0.4836583476252937,15.621791589904753,929.8179339068399,610.7035698308216,2296.18422414662,0.028996345177073703,5497.0000000000955,1.0959393139576385e-10,1.091969956544608e-10,9.109153397694711e-11,4134.000000000119,9.094947017729282e-13
2809,1413.3666697598435,4212.302761491244,0.4724129054837145,13.855617765420046,851.4603491329152,872.2957430013811,2289.219083512433,0.027362431849390117,5348.000000000105,1.1290156578080053e-10,1.2890605931180532e-10,9.799417122400682e-11,4305.000000000126,0.0
2810,1365.595595192851,4366.193399668197,0.4872120832925236,8.402688158736126,881.3982541807821,710.5793505302115,2393.309807683805,0.03369250261886486,5334.000000000092,9.745945900704843e-11,1.1474055804554579e-10,8.868824728334013e-11,4392.000000000103,-9.094947017729282e-13
2811,1677.4358200506367,4487.984875963656,0.5106552846539989,7.5645065932654525,645.3677238570057,314.963698595359,2297.1362932253,0.036426430583212877,5123.000000000083,9.420135064027022e-11,1.0241990209303683e-10,8.578129390306273e-11,4308.000000000095,0.0
2812,2289.0951960174298,4382.31555568285,3.9251991049422994,4.865931976194233,374.5672208537816,42.59463683228433,2081.4667931041304,0.029466428927547247,5067.000000000091,1.2402043068035575e-10,480.86000000011285,9.519092695763763e-11,3631.000000000117,9.094947017729282e-13
2813,2780.6028705262875,4504.028049434572,41.63877793623071,4.612473271354716,99.81235711441478,55.68670962864424,1275.0913015901344,0.027460498870173215,5260.000000000082,45.140000000103306,1136.360000000107,8.92722281034725e-11,2320.0000000001255,4.547473508864641e-13
2814,3036.5307610519612,4435.045427454488,109.36332325390117,4.10952344148177,127.29182248006438,37.12767459161048,556.74266090815,4.598806818903815,5421.000000000086,1.187220043964847e-10,1465.810000000123,8.990966251910068e-11,1424.0000000001417,1.8189894035458565e-12
2815,2650.6665975699307,4387.548624389358,193.96699498198555,4.350398978396574,230.9922873462442,68.13577151150503,344.22079496315564,14.868530259990042,5621.00000000009,1.0108264497465469e-10,1530.750000000127,178.00000000009018,565.0000000001586,-1.3642420526593924e-12
2816,2088.977616001237,4706.286855948072,281.1243970925421,3.8110956718739004,381.5523473287499,178.78377021250364,407.1604084382951,17.98350930714314,5826.000000000071,8.294712299773738e-11,1070.6200000000933,426.0600000000706,743.0000000000988,0.0
2817,2105.5047593818995,5053.781890431802,362.52722063342026,5.474400977020996,613.7242068151022,256.20639869828545,373.80907368666425,8.982049376130295,5931.000000000057,7.01865921819592e-11,1130.810000000067,866.200000000057,852.0000000000753,-2.7284841053187847e-12
2818,1867.8465961694942,4494.011434923951,354.5049690555906,5.277545497328882,692.4450291810302,213.46479991438014,300.5883227283547,17.361302530347718,5708.000000000082,9.422551157382201e-11,762.8100000000953,602.6900000000843,872.000000000122,0.0
2819,1778.8726809486254,4881.036144888969,396.46498954474924,7.580800049004985,726.6292424807082,385.8997478155096,551.1961508023431,24.3102434704353,6203.000000000063,7.3101550174898e-11,689.5700000000686,808.4200000000588,1051.0000000000805,1.8189894035458565e-12
