,gas,lignite,solar,wind_onshore,BG -> GR,IT -> GR,demand,GR -> BG,GR -> IT,mismatch
0,1495.3934159152327,2560.9515262894934,0.020402046543784545,179.3990490914286,464.3870481454637,321.43855851264743,5021.590000000169,5.963783645427511e-11,5.808669242247983e-10,-2.204906309319464e-13
1,1294.88404142287,2461.5012674216364,0.022158871991838892,179.57354159368293,447.69897294572854,355.0000000001725,4738.660000000155,5.446574965872509e-11,0.01998225587208603,5.097068600523613e-13
2,1326.6677412176443,2192.4553963927756,0.019090461695957215,171.49026457407174,429.92188411586716,359.63562323879955,4480.190000000181,5.281614333687813e-11,6.211797949519223e-10,-6.036427506063824e-14
3,1324.3270001187657,2122.060353828036,0.01204120166911485,200.55375044124037,424.7868178751847,346.32003653712684,4418.060000000287,5.6716136773583423e-11,1.679122831390375e-09,3.8641752056148825e-13
4,1209.7975790788385,2254.9815080684307,0.012749075690313794,275.1077439845859,401.02107356705386,344.8493462282123,4485.7700000002715,5.4216524027918617e-11,2.486331245124247e-09,-1.2385618021503632e-12
5,1051.6310191071304,2392.4022740660675,1.1658880479988873,331.1122055726757,393.89403248581004,372.5545807216284,4542.7600000002085,5.326469085629296e-11,1.0494724493017711e-09,4.799330924979352e-13
6,1049.7038817393272,2303.2565083697573,220.25036804367832,429.95683548932965,384.08835542701416,315.3140509321085,4702.570000000201,6.02074632722443e-11,9.540182824589492e-10,-1.391532543784412e-13
7,956.3368225392245,2179.3906986004763,886.6539887361276,527.4269661994732,416.0163993366725,123.73512458877391,5089.560000000171,6.466066899509048e-11,5.11538725884872e-10,4.202460440740281e-13
8,885.5716713234797,1937.0450123390588,1388.997427631265,502.2816068618704,388.9336161296166,418.81066571703,5521.6400000002395,7.239193121595179e-11,2.008465105503236e-09,6.684093727211364e-14
9,879.4998517089424,1863.4048471043377,1629.6281123275771,528.8347495438014,456.5362624028402,527.0261769139856,5884.930000000256,7.114404299232228e-11,1.1572469396660593e-09,-5.73135264928306e-13
10,885.0828132286538,1822.2959842144191,1665.9049109423083,536.0360699836529,498.21291975372253,524.7973018789179,5932.330000000259,6.98249069841355e-11,1.3458074015913292e-09,-4.585526167883177e-13
11,858.99867209541,1739.8826606769524,1486.0129894335762,548.2271779871392,498.8704609927386,508.3180395399663,5640.310000000367,7.283685221986248e-11,7.253432572809195e-07,-3.915149465224247e-13
12,802.3681248638617,1652.360680363771,1109.8562965855097,604.6232063492663,430.4561609756679,495.0000000007706,5094.6600000009785,8.076033424592125e-11,0.004469137788033924,1.1519778186919183e-13
13,1076.8759224711246,1768.9190279777113,641.7524532900478,715.0018815190231,495.6991751123679,408.26153963120925,5106.51000000037,8.868234725741296e-11,1.024753695821298e-09,6.94966593126301e-13
14,1289.2079461038475,1989.8126340049164,188.25772225931073,816.1806313135,472.3831677626091,449.9678985563537,5205.8100000001805,7.728911418625925e-11,2.79528713587563e-10,6.135900229385743e-13
15,1720.698586486383,2081.286157919164,2.5304390979038036,921.0798315898301,513.8972217200176,322.64776318707885,5562.14000000013,7.271975690793249e-11,1.7391192079629508e-10,-1.5861352376401393e-13
16,2063.8602763419563,2340.84083648419,0.04204131297611024,1009.9137346725339,578.2539150069165,149.91919618168106,6142.830000000082,5.655741606618429e-11,1.1529762415796144e-10,-8.700362908352178e-13
17,2239.268114393836,2349.4429673064997,0.04308422464251791,1047.3765237931977,588.27135177857,9.317958503494873,6233.72000000008,5.5247555428366654e-11,1.0549905044575047e-10,-6.755383620817572e-13
18,2255.8344648973625,2262.6496747611004,0.03630419737078101,1011.3771437788096,567.7195209142249,101.44289145141784,6199.060000000095,5.944651158403557e-11,1.3105538203251238e-10,4.919937557669792e-13
19,2236.935225658118,2233.0335944505746,0.030054373701285313,962.402364527395,572.268031155286,58.20072983532409,6062.8700000001145,6.527834080167021e-11,2.1868139894700936e-10,-1.9739279552596488e-13
20,2022.5901109814401,2071.341548106797,0.018905944396404552,970.2725047389868,498.9669965675221,162.00000000017178,5725.170000000183,8.32416092182086e-11,0.020066339048084345,1.914995939600317e-13
21,1682.28136786361,2034.3596582965604,0.016582215591295274,948.9792331539218,523.6308432957037,228.9623151766544,5418.230000000208,8.215904459044028e-11,1.7517883065045762e-09,5.034623809796863e-13
22,1337.1080695170845,2126.0256649004987,0.01917184238841543,976.0173876421984,559.3220013929124,1.0877047055980538,4999.58000000018,6.55199365174339e-11,4.34873663234382e-10,-1.7151377670537834e-13
23,885.2586583642027,2017.2876599257816,0.01979142891608709,947.5502013072737,598.831345090417,132.59234388389257,4581.540000000175,5.624396360248992e-11,2.532018762986594e-10,-2.1764129835370925e-13
24,833.0734601572785,1924.7691532959088,0.01918075271144343,1051.1742372799524,571.2688770142163,151.27509150041254,4531.58000000018,5.262887654452059e-11,2.476248681975689e-10,-1.2049315702316793e-13
25,822.3475712191024,1859.3220262738512,0.01664504577824519,1158.2853024404383,550.5033124218838,0.01514259943348446,4344.490000000207,5.2847460247601043e-11,46.0000000002275,-2.2737367544323206e-13
26,775.4998231166799,1758.168884694125,0.010785689361624943,1163.2497346748598,503.3083662526519,1.1124055730287556,4201.3500000003205,5.7301253120177883e-11,3.295704529669714e-10,-1.2459525354277145e-12
27,817.6789096216078,1773.3063699817408,0.011248831570276256,1096.9134760365012,524.7719346460071,56.10806088323834,4268.7900000003065,5.8065252729237166e-11,3.006625908216346e-10,-3.8693105233804746e-13
28,948.208530005605,1935.218432082882,0.02125428789104312,1085.2258751342688,521.3316692231963,85.85423926656443,4575.860000000162,6.06200947283084e-11,1.8477857949181098e-10,1.0743899603441765e-12
