,biomass,gas,hard_coal,hydro,other_fossil,other_renewable,solar,wind_onshore,AT -> IT,CH -> IT,FR -> IT,GR -> IT,SI -> IT,demand,IT -> AT,IT -> CH,IT -> FR,IT -> GR,IT -> SI,mismatch
8642,578.2656303940333,6875.08327430743,1675.721409376529,2122.10865646251,1104.4842156757004,737.2134949725515,0.046242548574319906,1986.9287863662112,183.0562039010606,2351.484551367477,1143.5253528337726,8.501876041409501e-10,1137.4100000001195,19743.0000000003,6.378470190055885e-10,7.873322918594232e-09,2.3446301422310713e-10,152.29893123536755,0.02888696240809578,-2.5863755581667647e-12
8643,562.4234241084331,7066.755005426931,1679.717342937256,2112.338492602704,1087.5026962482007,740.5169736080502,0.01069652646362278,2086.213709627513,192.88886564567196,2538.217108531755,1111.341758629442,8.038808971285114e-10,1134.6800000001142,20139.000000000324,9.729314814355453e-10,3.0684860447914895e-08,2.7498890653508683e-10,173.57587630463027,0.03019755645354914,-2.9274360713316128e-12
8644,559.3809873561249,7343.184727838673,1852.1820190455878,2164.139494473015,1094.078940767406,740.1861344874401,0.010631143493818202,2171.489674349601,190.0000000012973,3320.3913204765345,1126.5551510773391,6.858063388679586e-10,1233.0600000001155,21589.000000000324,0.0026561144984935873,3.191976716151159e-08,3.111634931014848e-10,205.62658619412144,0.02983867614077226,-6.821210263296962e-13
8645,566.3246122865095,8841.980809455674,2296.568714452768,2794.4397896322284,1186.18823767392,752.8543206247514,0.012657267685438421,2145.969877348951,189.00000000147995,3837.576720713921,1611.6665784726347,6.939826396984429e-10,1004.520000000188,25072.000000000273,0.0023286927864388136,4.219910755399664e-09,3.9341770872648887e-10,155.08165783068853,0.018331403044275302,-2.0463630789890885e-12
8646,577.0483179602061,11309.996352200773,2656.160120415261,4271.250776506044,1284.1855200635346,762.2249590843254,68.20458366258066,2034.6671870292917,218.52504109079092,3856.04167727512,1842.3316611524897,2.4882301633532315e-09,952.210000000473,29726.000000000244,7.489347735015887e-09,9.500075988550957e-09,3.609658765732402e-10,106.83890782025131,0.007288605532790112,2.6716406864579767e-12
8647,588.426219106081,12584.26871194987,2943.698543247131,5893.453834485763,1354.3165743613044,771.138306845864,1168.7986457026009,1965.784780146783,272.2691872712553,3894.0000004388016,1640.154245774161,0.23941487705594847,1051.4600000004082,34025.00000000022,2.000020637742466e-09,1.85501813557697e-05,2.5926963924602976e-10,103.00000000077674,0.008445653640019384,3.979039320256561e-12
8648,599.2015546683106,13751.884376268268,3043.9503872946007,6585.197037363141,1428.551063434415,784.459598397411,3163.267840954757,1844.696708681,262.3646404136366,3612.0000000006557,1393.813378785338,0.00922073193181699,810.6100000063182,37199.0000000002,8.322054069445921e-10,0.005256579173842444,2.2454391537724058e-10,81.00000000037369,0.0005504189858844795,-3.524291969370097e-12
8649,585.8756555846295,13062.375236526423,3019.6663438736773,6426.547852292786,1373.240036545822,777.058881374589,4503.458493423357,1736.5433400459071,248.96627532938763,3661.0000000003165,1479.4512538929444,0.00884471676834977,627.8200000026013,37363.000000000204,1.4883817888211395e-09,0.010888680557845747,2.2970097599010629e-10,139.00000000038958,0.0013249263368150103,4.405364961712621e-12
8650,581.0646508051884,12422.841316677142,3162.140271245491,5581.214285367909,1364.4886397178025,776.6493424976641,5494.295610908396,1790.5032987588374,254.27707925971293,3534.0000000002897,1591.4027711230653,0.007499219075403258,599.250000000846,37007.000000000204,1.1905125557714888e-09,1.1306927683731536,2.3356876669018976e-10,144.0000000004594,0.004072810956392239,7.531752999057062e-12
8651,604.6753456310063,12720.756951711712,3015.2418806567202,4777.267655665058,1393.0445397531216,783.8785486233263,5687.369486309801,1878.312562804963,258.47068333831936,3307.0000000002724,1395.245145409611,0.009749946770194312,518.1965607453502,36050.0000000002,7.298219914318201e-10,2.4691105802467486,2.071542076836424e-10,287.00000000035345,1.4296709052217625e-08,-2.2737367544323206e-13
8652,609.2391326344448,12836.752861646484,2912.8986589259603,4585.713302668957,1424.4028465341758,780.8678864484547,5112.761830563202,1789.1955590246982,242.35466315136568,3070.000000000337,1576.6759235539414,0.009137360594491446,475.0933259850901,35028.000000000204,7.531699305253632e-10,1.9651284949354713,1.9976153379931183e-10,386.0000000003771,1.2394638820315718e-09,-7.901235221652314e-12
8653,608.8995361929086,13414.20542565297,2891.294767676546,4667.88374542707,1476.432276136725,779.7256188985323,3448.7883044636073,1694.629212852036,262.01570852221454,3732.0000000003224,1872.4194804282592,0.0076673935623724696,728.7089534609562,35197.000000000204,1.2852750492173254e-09,0.010697100551134181,2.0486327132440874e-10,380.00000000044935,3.012026203984591e-09,3.922195901395753e-12
8654,596.8675893729903,14499.57794185041,3029.3339024264537,5382.60629576492,1467.944890550882,773.3451658292194,1510.858542307926,1721.8750303261313,257.26270020681966,3846.0000000003074,2268.1511728585133,0.00615750154288638,739.1818277448535,35792.00000000022,1.9556308462970665e-09,0.01121673638041381,2.373036086749596e-10,301.0000000005594,1.616516646485347e-09,7.673861546209082e-12
8655,598.2253093630345,15501.46151163219,3174.8700376286365,6811.235961605587,1497.2986556403825,773.6875172237934,133.47583246722212,1696.714798129421,247.87203021367435,3914.0000000002433,2489.9446315357613,0.21173124756756287,782.2630803090233,37414.00000000022,5.873954288151876e-09,1.2610969818507358,2.678212354816673e-10,206.00000000180563,6.521955100497421e-09,5.968558980384842e-13
8656,592.4474454850217,16105.18325635577,3488.870744171427,9270.358788750318,1517.222281864501,774.3062271184557,0.032161315105506974,1675.721748236168,253.85646966520994,3871.000000000169,2347.959221045487,8.778568766559005e-10,748.258012419387,40581.00000000021,1.1438144496373406e-09,0.02040522709475853,2.9925886700849613e-10,64.1959511980527,1.0948558431093742e-09,-1.4210854715202004e-13
8657,598.40138401676,16446.312161976395,3564.6027793409617,9934.616034976505,1532.199596476109,778.8112984107987,0.01645359602414454,1534.8140815254035,245.2709960630476,3423.0000000001633,1936.4377028874733,84.00000000078732,701.3915110023017,40769.00000000021,8.189587719946513e-10,0.02112432777382296,2.613314713892305e-10,10.852875942789641,8.74303133641897e-10,-9.07718344933528e-13
